experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	aben2147 	 T1 	 True 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	ACT 	ACT 	1 	-99 	-99 	-99 	-99 	0
main	1 	aben2147 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	HOP 	HOP 	1 	1 	SUM 	SUM 	1 	0
main	2 	aben2147 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	KIT 	GIG 	0 	-99 	-99 	-99 	-99 	0
main	3 	aben2147 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	SKY 	SKY 	1 	0 	FIT 	FIT 	1 	0
main	4 	aben2147 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	LEG 	LEG 	1 	0 	RUB 	RUB 	1 	0
main	5 	aben2147 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	EAT 	EAT 	1 	1 	SEA 	SEA 	1 	0
main	6 	aben2147 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	DAD 	DAD 	1 	0 	PIT 	PIT 	1 	0
main	7 	aben2147 	 T1 	 True 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	0 	HER 	HER 	1 	-99 	-99 	-99 	-99 	0
main	8 	aben2147 	 T1 	 False 	 0.0 	1.0 	-0.55 	False 	False 	False 	both 	(0, -1) 	0 	TWO 	SUM 	0 	1 	RUN 	EYE 	0 	0
main	9 	aben2147 	 T1 	 True 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	0 	GUT 	SON 	0 	-99 	-99 	-99 	-99 	0
main	10 	aben2147 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	False 	both 	(0, 1) 	0 	SAY 	SAY 	1 	1 	DIG 	DIG 	1 	0
main	11 	aben2147 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	True 	both 	(0, 1) 	1 	WAR 	WAR 	1 	0 	FLY 	FLY 	1 	0
main	12 	aben2147 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, -1) 	1 	FLY 	FLY 	1 	0 	TAN 	TAN 	1 	0
main	13 	aben2147 	 T1 	 True 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, 1) 	0 	FOX 	NET 	0 	-99 	-99 	-99 	-99 	0
main	14 	aben2147 	 T1 	 True 	 0.0 	2.0 	0.65 	False 	False 	True 	both 	(0, -1) 	0 	BEG 	RAP 	0 	-99 	-99 	-99 	-99 	0
main	15 	aben2147 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, -1) 	0 	RIG 	RIG 	1 	1 	WIG 	WIG 	1 	0
main	16 	aben2147 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, 1) 	0 	PIE 	PIE 	1 	1 	LAP 	LAP 	1 	0
main	17 	aben2147 	 T1 	 False 	 0.0 	2.0 	0.75 	False 	False 	False 	both 	(0, -1) 	0 	PIT 	PIT 	1 	1 	BEE 	BEE 	1 	0
main	18 	aben2147 	 T1 	 False 	 0.0 	2.0 	0.75 	False 	False 	True 	both 	(0, 1) 	1 	MAY 	MAY 	1 	0 	CAP 	CAP 	1 	0
