experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	ahac3976 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	PIG 	CAT 	0 	1 	ADD 	DOG 	0 	0
main	1 	ahac3976 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	MAP 	MAP 	1 	1 	FLY 	FLY 	1 	0
main	2 	ahac3976 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	SEC 	SEC 	1 	0 	LEG 	LEG 	1 	0
main	3 	ahac3976 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	SHE 	SHE 	1 	-99 	-99 	-99 	-99 	0
main	4 	ahac3976 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	YES 	YES 	1 	1 	MAY 	MAY 	1 	0
main	5 	ahac3976 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	HAS 	HAS 	1 	0 	SKI 	SKI 	1 	0
main	6 	ahac3976 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	AGE 	HER 	0 	-99 	-99 	-99 	-99 	0
main	7 	ahac3976 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	AYE 	NAP 	0 	1 	NAP 	AYE 	0 	0
main	8 	ahac3976 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	BUS 	BUS 	1 	-99 	-99 	-99 	-99 	0
main	9 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	RED 	RED 	1 	0 	HAS 	HAS 	1 	0
main	10 	ahac3976 	 T1 	 True 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, -1) 	0 	WIN 	CAN 	0 	-99 	-99 	-99 	-99 	0
main	11 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	TIN 	TIN 	1 	0 	TUB 	TUB 	1 	0
main	12 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	TIL 	TIN 	0 	1 	OIL 	OIL 	1 	0
main	13 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	LAD 	LAP 	0 	1 	TOP 	TOP 	1 	0
main	14 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	END 	SHE 	0 	0 	BED 	END 	0 	0
main	15 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	SEX 	SEX 	1 	1 	SAD 	RED 	0 	0
main	16 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	SPY 	SPY 	1 	0 	MUM 	MUM 	1 	0
main	17 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	HER 	HER 	1 	1 	SKI 	SKI 	1 	0
main	18 	ahac3976 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	RAY 	RAY 	1 	-99 	-99 	-99 	-99 	0
main	19 	ahac3976 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	MOB 	MOB 	1 	-99 	-99 	-99 	-99 	0
main	20 	ahac3976 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, -1) 	1 	AGO 	RAY 	0 	0 	HUT 	HUH 	0 	0
main	21 	ahac3976 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	ACT 	ACT 	1 	0 	TIE 	TIE 	1 	0
main	22 	ahac3976 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	PIN 	WIN 	0 	-99 	-99 	-99 	-99 	0
main	23 	ahac3976 	 T1 	 True 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, 1) 	0 	BUS 	PAN 	0 	-99 	-99 	-99 	-99 	0
main	24 	ahac3976 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	HAS 	HAS 	1 	-99 	-99 	-99 	-99 	0
main	25 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	CAB 	CAB 	1 	0 	CUT 	CUT 	1 	0
main	26 	ahac3976 	 T1 	 True 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, -1) 	0 	COW 	AIM 	0 	-99 	-99 	-99 	-99 	0
main	27 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	FOG 	FOG 	1 	1 	ONE 	ONE 	1 	0
main	28 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	OWE 	OWL 	0 	1 	CRY 	CRY 	1 	0
main	29 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	RAW 	RAW 	1 	0 	NEW 	NEW 	1 	0
main	30 	ahac3976 	 T1 	 True 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, 1) 	0 	BAY 	ZIP 	0 	-99 	-99 	-99 	-99 	0
main	31 	ahac3976 	 T1 	 True 	 0.0 	3.0 	0.05 	False 	False 	False 	both 	(0, 1) 	0 	MIX 	MIZ 	0 	-99 	-99 	-99 	-99 	0
main	32 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	JAR 	ZIP 	0 	0 	BUS 	BUZ 	0 	0
main	33 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	True 	both 	(0, 1) 	1 	NUT 	NUT 	1 	0 	BIG 	DOG 	0 	0
main	34 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, -1) 	0 	ROT 	ROT 	1 	1 	WON 	WON 	1 	0
main	35 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	BYE 	BOY 	0 	1 	ODD 	DOG 	0 	0
main	36 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, 1) 	0 	SPY 	SPY 	1 	1 	NUT 	NUT 	1 	0
main	37 	ahac3976 	 T1 	 True 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, -1) 	0 	TEN 	TEN 	1 	-99 	-99 	-99 	-99 	0
main	38 	ahac3976 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	0 	RAP 	COW 	0 	-99 	-99 	-99 	-99 	0
main	39 	ahac3976 	 T1 	 True 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, 1) 	0 	GIN 	GIN 	1 	-99 	-99 	-99 	-99 	0
main	40 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, 1) 	0 	PAY 	PAY 	1 	1 	ZOO 	ZOO 	1 	0
main	41 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	PUT 	PUT 	1 	0 	GAG 	GAG 	1 	0
main	42 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	FAT 	LOL 	0 	0 	COP 	LOL 	0 	0
main	43 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	True 	both 	(0, 1) 	1 	WET 	TRY 	0 	0 	VAN 	PAN 	0 	0
main	44 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, -1) 	0 	FLY 	FLY 	1 	1 	SAT 	SAT 	1 	0
main	45 	ahac3976 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, -1) 	1 	RIG 	RIG 	1 	0 	OLD 	OLD 	1 	0
main	46 	ahac3976 	 T1 	 True 	 0.0 	3.0 	0.15 	False 	False 	True 	both 	(0, 1) 	0 	FLU 	MAY 	0 	-99 	-99 	-99 	-99 	0
