experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	alim6577 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	K 	K 	1 	2 	E 	L 	0 	0 	G 	G 	1 	0
main	1 	alim6577 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	T 	T 	1 	0 	S 	S 	1 	1 	J 	J 	1 	0
main	2 	alim6577 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	M 	M 	1 	0 	N 	N 	1 	2 	H 	H 	1 	0
main	3 	alim6577 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	S 	S 	1 	2 	M 	S 	0 	0 	M 	M 	1 	0
main	4 	alim6577 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	Z 	Z 	1 	1 	N 	N 	1 	2 	H 	H 	1 	0
main	5 	alim6577 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	F 	F 	1 	2 	A 	A 	1 	1 	T 	T 	1 	0
main	6 	alim6577 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	1 	F 	T 	0 	0 	F 	N 	0 	2 	J 	J 	1 	0
main	7 	alim6577 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	U 	U 	1 	1 	H 	H 	1 	2 	N 	N 	1 	0
main	8 	alim6577 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	C 	C 	1 	1 	G 	G 	1 	0 	Y 	Y 	1 	0
main	9 	alim6577 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	E 	E 	1 	2 	H 	H 	1 	0 	G 	G 	1 	0
main	10 	alim6577 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, -1) 	0 	T 	T 	1 	1 	T 	T 	1 	2 	N 	G 	0 	0
main	11 	alim6577 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	0 	T 	T 	1 	1 	U 	S 	0 	2 	F 	G 	0 	0
main	12 	alim6577 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	Y 	T 	0 	1 	H 	H 	1 	2 	U 	G 	0 	0
main	13 	alim6577 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	S 	S 	1 	2 	R 	R 	1 	1 	U 	U 	1 	0
main	14 	alim6577 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	E 	E 	1 	0 	J 	J 	1 	1 	Z 	Z 	1 	0
main	15 	alim6577 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	F 	F 	1 	1 	M 	M 	1 	2 	K 	K 	1 	0
main	16 	alim6577 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	J 	C 	0 	0 	C 	C 	1 	2 	Y 	Y 	1 	0
