experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	amal4837 	 T1 	 True 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	ASS 	WAS 	0 	-99 	-99 	-99 	-99 	0
main	1 	amal4837 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	SAT 	SAT 	1 	-99 	-99 	-99 	-99 	0
main	2 	amal4837 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	HAM 	HAM 	1 	0 	HEY 	HEY 	1 	0
main	3 	amal4837 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	PEN 	PEN 	1 	1 	PRO 	PRO 	1 	0
main	4 	amal4837 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	MOM 	MOM 	1 	1 	POT 	POT 	1 	0
main	5 	amal4837 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	OWE 	OWE 	1 	-99 	-99 	-99 	-99 	0
main	6 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	PRO 	PRO 	1 	1 	OUT 	PET 	0 	0
main	7 	amal4837 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	1 	BUS 	POP 	0 	0 	PRO 	PRO 	1 	0
main	8 	amal4837 	 T1 	 True 	 0.0 	1.0 	-0.55 	False 	False 	True 	both 	(0, 1) 	0 	LIT 	IDK 	0 	-99 	-99 	-99 	-99 	0
main	9 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	0 	PAY 	PET 	0 	1 	MAN 	MAN 	1 	0
main	10 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, -1) 	1 	LED 	IDK 	0 	0 	BAT 	BET 	0 	0
main	11 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	True 	both 	(0, 1) 	1 	USE 	USE 	1 	0 	JAW 	JAW 	1 	0
main	12 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	True 	both 	(0, 1) 	1 	DUG 	DUG 	1 	0 	MET 	MET 	1 	0
main	13 	amal4837 	 T1 	 True 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, -1) 	0 	TIP 	NOW 	0 	-99 	-99 	-99 	-99 	0
main	14 	amal4837 	 T1 	 True 	 0.0 	2.0 	0.65 	False 	False 	False 	both 	(0, -1) 	0 	EYE 	EYE 	1 	-99 	-99 	-99 	-99 	0
main	15 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	False 	both 	(0, -1) 	0 	BET 	BEG 	0 	1 	ICE 	ICE 	1 	0
main	16 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.25 	False 	False 	False 	both 	(0, -1) 	0 	BIG 	PEG 	0 	1 	SIR 	SIR 	1 	0
main	17 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.25 	False 	False 	False 	both 	(0, 1) 	0 	RAP 	IDK 	0 	1 	BIG 	BIG 	1 	0
main	18 	amal4837 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	True 	both 	(0, -1) 	1 	OWE 	IDK 	0 	0 	MAY 	MAY 	1 	0
main	19 	amal4837 	 T1 	 True 	 0.0 	1.0 	-0.15 	False 	False 	False 	both 	(0, 1) 	0 	LED 	IDK 	0 	-99 	-99 	-99 	-99 	0
main	20 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, 1) 	0 	TIP 	TIP 	1 	1 	CON 	CON 	1 	0
main	21 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, -1) 	1 	FOG 	IDK 	0 	0 	HUT 	HUT 	1 	0
main	22 	amal4837 	 T1 	 True 	 0.0 	1.0 	-0.15 	False 	False 	True 	both 	(0, 1) 	0 	DID 	ROT 	0 	-99 	-99 	-99 	-99 	0
main	23 	amal4837 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, 1) 	1 	KIT 	IDK 	0 	0 	OLD 	OLD 	1 	0
main	24 	amal4837 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, -1) 	1 	NUT 	IDK 	0 	0 	SON 	NUN 	0 	0
main	25 	amal4837 	 T1 	 True 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, -1) 	0 	SON 	BIT 	0 	-99 	-99 	-99 	-99 	0
main	26 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, 1) 	1 	JAM 	JAW 	0 	0 	PEN 	PEN 	1 	0
main	27 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, -1) 	1 	BIT 	ODL 	0 	0 	SIX 	SIX 	1 	0
main	28 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	0 	SEX 	IDK 	0 	1 	BOW 	IDK 	0 	0
main	29 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, 1) 	0 	TEN 	IDK 	0 	1 	SEA 	SEA 	1 	0
main	30 	amal4837 	 T1 	 True 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, 1) 	0 	BIT 	BIT 	1 	-99 	-99 	-99 	-99 	0
main	31 	amal4837 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	0 	FEW 	FEW 	1 	1 	RAY 	FEW 	0 	0
main	32 	amal4837 	 T1 	 True 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	0 	VAN 	SAD 	0 	-99 	-99 	-99 	-99 	0
main	33 	amal4837 	 T1 	 True 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	TIL 	IDK 	0 	-99 	-99 	-99 	-99 	0
