experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	amcc8372 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	LIT 	LIP 	0 	1 	BUD 	BUD 	1 	0
main	1 	amcc8372 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	TRY 	TRY 	1 	0 	HIT 	HIT 	1 	0
main	2 	amcc8372 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	FAT 	FAT 	1 	-99 	-99 	-99 	-99 	0
main	3 	amcc8372 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	WAS 	MET 	0 	-99 	-99 	-99 	-99 	0
main	4 	amcc8372 	 T1 	 True 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	KIT 	KIT 	1 	-99 	-99 	-99 	-99 	0
main	5 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	WET 	WET 	1 	1 	GUM 	GUM 	1 	0
main	6 	amcc8372 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	0 	TIN 	GIG 	0 	-99 	-99 	-99 	-99 	0
main	7 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	ART 	ART 	1 	0 	PIE 	PIE 	1 	0
main	8 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	HIM 	HIM 	1 	0 	BID 	BID 	1 	0
main	9 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	FLY 	FIT 	0 	1 	GUT 	GUY 	0 	0
main	10 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	LOW 	LOT 	0 	1 	MOM 	MOM 	1 	0
main	11 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	BUY 	BUT 	0 	0 	WAS 	WAS 	1 	0
main	12 	amcc8372 	 T1 	 True 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, 1) 	0 	NET 	ROD 	0 	-99 	-99 	-99 	-99 	0
main	13 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	MAD 	MAD 	1 	1 	SIR 	SIR 	1 	0
main	14 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	RID 	RID 	1 	1 	BUG 	BUG 	1 	0
main	15 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	WAS 	WAS 	1 	0 	KIT 	KIT 	1 	0
main	16 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	NOT 	NOT 	1 	1 	WEE 	WEE 	1 	0
main	17 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	False 	both 	(0, -1) 	0 	ROT 	ROT 	1 	1 	MEN 	MEN 	1 	0
main	18 	amcc8372 	 T1 	 True 	 0.0 	2.0 	0.2 	False 	False 	True 	both 	(0, -1) 	0 	DID 	OUT 	0 	-99 	-99 	-99 	-99 	0
main	19 	amcc8372 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	BED 	BED 	1 	-99 	-99 	-99 	-99 	0
main	20 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	LIT 	LIT 	1 	0 	RUM 	RUN 	0 	0
main	21 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	True 	both 	(0, 1) 	1 	FAN 	FAN 	1 	0 	LED 	LED 	1 	0
main	22 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	True 	both 	(0, -1) 	1 	SAD 	SAD 	1 	0 	PAN 	PAN 	1 	0
main	23 	amcc8372 	 T1 	 True 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	HOW 	HOW 	1 	-99 	-99 	-99 	-99 	0
main	24 	amcc8372 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	SIX 	SIX 	1 	0 	ROB 	ROD 	0 	0
