experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	anxu7878 	 T1 	 True 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	TOP 	TOP 	1 	-99 	-99 	-99 	-99 	0
main	1 	anxu7878 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	FRY 	ART 	0 	-99 	-99 	-99 	-99 	0
main	2 	anxu7878 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	APE 	TOY 	0 	-99 	-99 	-99 	-99 	0
main	3 	anxu7878 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	RUN 	RUN 	1 	1 	HAT 	HAT 	1 	0
main	4 	anxu7878 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	FAN 	FAT 	0 	0 	RAT 	RAT 	1 	0
main	5 	anxu7878 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	FRY 	GIV 	0 	1 	WAY 	WAY 	1 	0
main	6 	anxu7878 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	SHY 	SHY 	1 	-99 	-99 	-99 	-99 	0
main	7 	anxu7878 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, -1) 	1 	DOC 	HEY 	0 	0 	BRA 	TIP 	0 	0
main	8 	anxu7878 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	BAG 	BEG 	0 	0 	EGG 	EGG 	1 	0
main	9 	anxu7878 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	MOM 	MOM 	1 	1 	HAD 	HAT 	0 	0
main	10 	anxu7878 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, 1) 	1 	ALL 	RID 	0 	0 	VAN 	KID 	0 	0
main	11 	anxu7878 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	WHO 	WHO 	1 	1 	GUM 	GUN 	0 	0
main	12 	anxu7878 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	JAR 	YES 	0 	0 	CAP 	FUN 	0 	0
main	13 	anxu7878 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, 1) 	0 	PIN 	SAY 	0 	-99 	-99 	-99 	-99 	0
main	14 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	OLD 	OLD 	1 	-99 	-99 	-99 	-99 	0
main	15 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	USE 	USE 	1 	-99 	-99 	-99 	-99 	0
main	16 	anxu7878 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	FOX 	FOX 	1 	1 	WET 	WAY 	0 	0
main	17 	anxu7878 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	RIP 	RIP 	1 	0 	FIT 	HIP 	0 	0
main	18 	anxu7878 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	FUN 	FAB 	0 	1 	LAB 	CAB 	0 	0
main	19 	anxu7878 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, 1) 	1 	CAP 	CAT 	0 	0 	BET 	HIT 	0 	0
main	20 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	GOD 	GAP 	0 	1 	MAP 	MOM 	0 	0
main	21 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	NOT 	GAP 	0 	0 	SAT 	VIP 	0 	0
main	22 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.7 	False 	False 	True 	both 	(0, -1) 	0 	BAD 	AIR 	0 	-99 	-99 	-99 	-99 	0
main	23 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	CAR 	CAR 	1 	1 	WAS 	WAS 	1 	0
main	24 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	True 	both 	(0, -1) 	1 	TOE 	TOO 	0 	0 	MUD 	MUD 	1 	0
main	25 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	COP 	COP 	1 	-99 	-99 	-99 	-99 	0
main	26 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.7 	False 	False 	True 	both 	(0, 1) 	1 	BID 	BIG 	0 	0 	FEW 	FEW 	1 	0
main	27 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	AYE 	AYW 	0 	1 	NEW 	WAY 	0 	0
main	28 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	LIP 	LIP 	1 	0 	TWO 	WOP 	0 	0
main	29 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	0 	CAB 	HIP 	0 	-99 	-99 	-99 	-99 	0
main	30 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.6 	False 	False 	False 	both 	(0, -1) 	0 	TOE 	WOO 	0 	1 	ROT 	ROT 	1 	0
main	31 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.6 	False 	False 	False 	both 	(0, -1) 	0 	TOY 	TOY 	1 	-99 	-99 	-99 	-99 	0
main	32 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	FAT 	FAT 	1 	1 	TOP 	TAP 	0 	0
main	33 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	PAL 	RIG 	0 	0 	GUM 	GUN 	0 	0
main	34 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.6 	False 	False 	True 	both 	(0, -1) 	0 	FEW 	WAD 	0 	-99 	-99 	-99 	-99 	0
main	35 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	LAD 	LOP 	0 	1 	OWN 	WON 	0 	0
main	36 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	HIM 	GIV 	0 	1 	HAT 	HAT 	1 	0
main	37 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.8 	False 	False 	True 	both 	(0, -1) 	0 	BAR 	BEG 	0 	-99 	-99 	-99 	-99 	0
main	38 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	EGO 	WLM 	0 	0 	NAP 	NAP 	1 	0
main	39 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	FOX 	FOX 	1 	1 	BOX 	BOX 	1 	0
main	40 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	APE 	APP 	0 	-99 	-99 	-99 	-99 	0
main	41 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.85 	False 	False 	True 	both 	(0, -1) 	1 	BUD 	BEC 	0 	0 	SEC 	SEC 	1 	0
main	42 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.85 	False 	False 	False 	both 	(0, 1) 	0 	BAY 	BEC 	0 	1 	GAY 	GAY 	1 	0
main	43 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	GYM 	GAY 	0 	1 	WHY 	WAY 	0 	0
main	44 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.85 	False 	False 	True 	both 	(0, 1) 	1 	EGG 	EGG 	1 	0 	BOY 	BOY 	1 	0
main	45 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.85 	False 	False 	True 	both 	(0, -1) 	1 	SUM 	LIP 	0 	0 	USE 	USE 	1 	0
main	46 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.8 	False 	False 	True 	both 	(0, 1) 	0 	NOW 	BIT 	0 	-99 	-99 	-99 	-99 	0
main	47 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.85 	False 	False 	False 	both 	(0, 1) 	0 	END 	EGG 	0 	-99 	-99 	-99 	-99 	0
main	48 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	ASK 	NIP 	0 	0 	SUB 	SUB 	1 	0
main	49 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	JAW 	JAR 	0 	1 	FAR 	FAR 	1 	0
main	50 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.85 	False 	False 	True 	both 	(0, 1) 	1 	RIP 	RUG 	0 	0 	BUG 	MUH 	0 	0
main	51 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	DAY 	DAD 	0 	0 	TAN 	FUN 	0 	0
main	52 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.95 	False 	False 	False 	both 	(0, 1) 	0 	JAW 	JAR 	0 	1 	BYE 	EYE 	0 	0
main	53 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	True 	both 	(0, -1) 	1 	AIR 	WHY 	0 	0 	EGG 	EGG 	1 	0
main	54 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	GUT 	GUN 	0 	1 	INN 	INN 	1 	0
main	55 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.95 	False 	False 	False 	both 	(0, 1) 	0 	KEY 	KEY 	1 	-99 	-99 	-99 	-99 	0
main	56 	anxu7878 	 T1 	 False 	 0.0 	3.0 	0.95 	False 	False 	False 	both 	(0, 1) 	0 	SIT 	SET 	0 	1 	INN 	INN 	1 	0
main	57 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	RIP 	LET 	0 	-99 	-99 	-99 	-99 	0
main	58 	anxu7878 	 T1 	 True 	 0.0 	3.0 	0.95 	False 	False 	False 	both 	(0, -1) 	0 	TIE 	CUT 	0 	-99 	-99 	-99 	-99 	0
main	59 	anxu7878 	 T1 	 True 	 0.0 	4.0 	0.0 	False 	False 	True 	both 	(0, -1) 	0 	ROB 	TAP 	0 	-99 	-99 	-99 	-99 	0
main	60 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.05 	False 	False 	False 	both 	(0, -1) 	0 	LIE 	LIT 	0 	1 	BAY 	BAB 	0 	0
main	61 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	SIR 	SIR 	1 	1 	WEB 	WAR 	0 	0
main	62 	anxu7878 	 T1 	 True 	 0.0 	4.0 	0.1 	False 	False 	True 	both 	(0, 1) 	0 	DAD 	HAS 	0 	-99 	-99 	-99 	-99 	0
main	63 	anxu7878 	 T1 	 True 	 0.0 	4.0 	0.15 	False 	False 	True 	both 	(0, -1) 	0 	HAS 	EAT 	0 	-99 	-99 	-99 	-99 	0
main	64 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.2 	False 	False 	True 	both 	(0, -1) 	1 	GET 	GET 	1 	0 	ZOO 	ZOO 	1 	0
main	65 	anxu7878 	 T1 	 True 	 0.0 	4.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	EGO 	EGG 	0 	-99 	-99 	-99 	-99 	0
main	66 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.25 	False 	False 	False 	both 	(0, -1) 	0 	RIG 	RED 	0 	1 	TOY 	TOY 	1 	0
main	67 	anxu7878 	 T1 	 True 	 0.0 	4.0 	0.25 	False 	False 	False 	both 	(0, -1) 	0 	VAN 	GIV 	0 	-99 	-99 	-99 	-99 	0
main	68 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	WAY 	WAE 	0 	0 	ICE 	ICE 	1 	0
main	69 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	SHY 	SEE 	0 	1 	SAW 	SAW 	1 	0
main	70 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.25 	False 	False 	True 	both 	(0, 1) 	1 	SEX 	SEX 	1 	0 	OWE 	OWE 	1 	0
main	71 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.25 	False 	False 	True 	both 	(0, 1) 	1 	BAY 	BAY 	1 	0 	GAY 	GAY 	1 	0
main	72 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.2 	False 	False 	False 	both 	(0, -1) 	0 	BED 	BED 	1 	1 	DIE 	WET 	0 	0
main	73 	anxu7878 	 T1 	 False 	 0.0 	4.0 	0.2 	False 	False 	False 	both 	(0, -1) 	0 	RAT 	SAT 	0 	1 	SET 	SET 	1 	0
