experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	azha6455 	 T1 	 True 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	PIN 	PIN 	1 	-99 	-99 	-99 	-99 	0
main	1 	azha6455 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	CUP 	CUP 	1 	-99 	-99 	-99 	-99 	0
main	2 	azha6455 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	WET 	WET 	1 	0 	AID 	ALD 	0 	0
main	3 	azha6455 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	ALL 	ALL 	1 	1 	TIE 	TIE 	1 	0
main	4 	azha6455 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	ZOO 	ZOO 	1 	0 	FAR 	FAR 	1 	0
main	5 	azha6455 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	BRA 	WET 	0 	-99 	-99 	-99 	-99 	0
main	6 	azha6455 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	OWE 	OWE 	1 	0 	COW 	COW 	1 	0
main	7 	azha6455 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	AYE 	ALD 	0 	1 	LET 	DOT 	0 	0
main	8 	azha6455 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	JAW 	JAW 	1 	1 	TOY 	TOY 	1 	0
main	9 	azha6455 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	DOG 	DOG 	1 	0 	YOU 	YOU 	1 	0
main	10 	azha6455 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	KEY 	KEY 	1 	1 	AIR 	AIR 	1 	0
main	11 	azha6455 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	FEE 	WAS 	0 	-99 	-99 	-99 	-99 	0
main	12 	azha6455 	 T1 	 True 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	POD 	TUB 	0 	-99 	-99 	-99 	-99 	0
main	13 	azha6455 	 T1 	 True 	 0.0 	3.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	LAW 	LAW 	1 	-99 	-99 	-99 	-99 	0
main	14 	azha6455 	 T1 	 False 	 0.0 	3.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	OFF 	OFF 	1 	0 	BAG 	BEG 	0 	0
main	15 	azha6455 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	RAW 	RAW 	1 	1 	TOY 	TOY 	1 	0
