experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	bcha7479 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	NEW 	CAT 	0 	0 	HIP 	CAT 	0 	0
main	1 	bcha7479 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	TIN 	TIN 	1 	1 	TAG 	TAG 	1 	0
main	2 	bcha7479 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	END 	END 	1 	-99 	-99 	-99 	-99 	0
main	3 	bcha7479 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	JAM 	JAM 	1 	0 	HER 	HAM 	0 	0
main	4 	bcha7479 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	END 	END 	1 	1 	INN 	INN 	1 	0
main	5 	bcha7479 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	TIN 	TEN 	0 	1 	AIR 	INN 	0 	0
main	6 	bcha7479 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	0 	BRA 	VAN 	0 	-99 	-99 	-99 	-99 	0
main	7 	bcha7479 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	KID 	WEB 	0 	1 	WEB 	TOP 	0 	0
main	8 	bcha7479 	 T1 	 False 	 0.0 	4.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	TON 	NOT 	0 	0 	GAY 	GAY 	1 	0
main	9 	bcha7479 	 T1 	 True 	 0.0 	4.0 	0.1 	False 	False 	True 	both 	(0, 1) 	0 	BUY 	SIX 	0 	-99 	-99 	-99 	-99 	0
main	10 	bcha7479 	 T1 	 True 	 0.0 	4.0 	0.6 	False 	False 	False 	both 	(0, 1) 	0 	OUT 	CUT 	0 	-99 	-99 	-99 	-99 	0
main	11 	bcha7479 	 T1 	 False 	 0.0 	5.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	GAG 	GAG 	1 	0 	HIS 	TAH 	0 	0
main	12 	bcha7479 	 T1 	 False 	 0.0 	5.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	EGG 	EGG 	1 	0 	HUT 	HUT 	1 	0
main	13 	bcha7479 	 T1 	 False 	 0.0 	4.0 	0.6 	False 	False 	True 	both 	(0, -1) 	1 	KIT 	NOT 	0 	0 	JOB 	JOB 	1 	0
main	14 	bcha7479 	 T1 	 True 	 0.0 	4.0 	0.6 	False 	False 	False 	both 	(0, -1) 	0 	BUM 	BUM 	1 	-99 	-99 	-99 	-99 	0
main	15 	bcha7479 	 T1 	 True 	 0.0 	4.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	GUT 	GUT 	1 	-99 	-99 	-99 	-99 	0
main	16 	bcha7479 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	SAY 	GAY 	0 	0 	JOY 	IOY 	0 	0
main	17 	bcha7479 	 T1 	 True 	 0.0 	4.0 	0.5 	False 	False 	True 	both 	(0, 1) 	0 	RAN 	WEE 	0 	-99 	-99 	-99 	-99 	0
main	18 	bcha7479 	 T1 	 False 	 0.0 	4.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	FIT 	BUT 	0 	1 	OIL 	OIL 	1 	0
main	19 	bcha7479 	 T1 	 False 	 0.0 	4.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	AID 	AND 	0 	0 	END 	END 	1 	0
