experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	bfor0205 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	GET 	GRE 	0 	0 	TEA 	TEA 	1 	0
main	1 	bfor0205 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	PAN 	PAN 	1 	0 	PEN 	PEN 	1 	0
main	2 	bfor0205 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	APE 	APP 	0 	0 	YET 	YET 	1 	0
main	3 	bfor0205 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	HIM 	HIM 	1 	0 	EAR 	EAR 	1 	0
main	4 	bfor0205 	 T1 	 True 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	TRY 	MAD 	0 	-99 	-99 	-99 	-99 	0
main	5 	bfor0205 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	BEG 	BEG 	1 	1 	CRY 	CRY 	1 	0
main	6 	bfor0205 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	BAD 	BAD 	1 	-99 	-99 	-99 	-99 	0
main	7 	bfor0205 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, -1) 	0 	HIP 	KKK 	0 	1 	ART 	KKK 	0 	0
main	8 	bfor0205 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	PRO 	MAD 	0 	-99 	-99 	-99 	-99 	0
main	9 	bfor0205 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	FOG 	FOG 	1 	-99 	-99 	-99 	-99 	0
main	10 	bfor0205 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	PEN 	PEN 	1 	1 	GUT 	GUT 	1 	0
main	11 	bfor0205 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	LOT 	LAD 	0 	1 	ODD 	LOT 	0 	0
main	12 	bfor0205 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	RIP 	RIP 	1 	1 	ARM 	ARM 	1 	0
main	13 	bfor0205 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	ANY 	ANY 	1 	-99 	-99 	-99 	-99 	0
main	14 	bfor0205 	 T1 	 True 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, 1) 	0 	RAW 	BUS 	0 	-99 	-99 	-99 	-99 	0
main	15 	bfor0205 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	CUE 	CUY 	0 	-99 	-99 	-99 	-99 	0
