experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	bmul5851 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	DUE 	DUE 	1 	1 	AGE 	AGE 	1 	0
main	1 	bmul5851 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	RIP 	WET 	0 	-99 	-99 	-99 	-99 	0
main	2 	bmul5851 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	USE 	UAW 	0 	0 	PEN 	PEN 	1 	0
main	3 	bmul5851 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	PIN 	PIN 	1 	1 	LOT 	LOT 	1 	0
main	4 	bmul5851 	 T1 	 True 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	FEW 	FEW 	1 	-99 	-99 	-99 	-99 	0
main	5 	bmul5851 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	ROW 	BOT 	0 	0 	MAD 	MAD 	1 	0
main	6 	bmul5851 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	JOB 	JOB 	1 	-99 	-99 	-99 	-99 	0
main	7 	bmul5851 	 T1 	 True 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, -1) 	0 	DUG 	RED 	0 	-99 	-99 	-99 	-99 	0
main	8 	bmul5851 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	AIM 	FAR 	0 	1 	AGE 	AGE 	1 	0
main	9 	bmul5851 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	LIP 	LIP 	1 	1 	NOW 	NOW 	1 	0
main	10 	bmul5851 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, 1) 	1 	FLU 	IDK 	0 	0 	AIR 	AIR 	1 	0
