experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	bphi3183 	 T1 	 True 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	BAD 	BAD 	1 	-99 	-99 	-99 	-99 	0
main	1 	bphi3183 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	SUE 	HER 	0 	1 	HER 	SUE 	0 	0
main	2 	bphi3183 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	CON 	CON 	1 	-99 	-99 	-99 	-99 	0
main	3 	bphi3183 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	GAL 	GAL 	1 	1 	SAD 	SAD 	1 	0
main	4 	bphi3183 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	TIP 	TIP 	1 	0 	HER 	HER 	1 	0
main	5 	bphi3183 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	BAG 	LAB 	0 	-99 	-99 	-99 	-99 	0
main	6 	bphi3183 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	SAY 	SAY 	1 	0 	SEE 	SEE 	1 	0
main	7 	bphi3183 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	LAB 	LAB 	1 	0 	TAP 	HER 	0 	0
main	8 	bphi3183 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	FLY 	FLY 	1 	1 	LOW 	LOW 	1 	0
main	9 	bphi3183 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	CUT 	CUT 	1 	1 	BUY 	BUY 	1 	0
main	10 	bphi3183 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	0 	RAW 	FED 	0 	-99 	-99 	-99 	-99 	0
