experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	broj3335 	 T1 	 True 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	EAR 	EAR 	1 	-99 	-99 	-99 	-99 	0
main	1 	broj3335 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	BAG 	BAG 	1 	1 	YOU 	YOU 	1 	0
main	2 	broj3335 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	AIM 	ONE 	0 	0 	ONE 	ONE 	1 	0
main	3 	broj3335 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	GAS 	GAS 	1 	-99 	-99 	-99 	-99 	0
main	4 	broj3335 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	FAX 	TAX 	0 	0 	POT 	POT 	1 	0
main	5 	broj3335 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	ROT 	LOG 	0 	1 	LOG 	LOG 	1 	0
main	6 	broj3335 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	LEG 	LAY 	0 	1 	LAY 	LAY 	1 	0
main	7 	broj3335 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	1 	BIT 	LAY 	0 	0 	BAT 	BAG 	0 	0
main	8 	broj3335 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	BIG 	TAX 	0 	-99 	-99 	-99 	-99 	0
main	9 	broj3335 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	GAY 	LOG 	0 	-99 	-99 	-99 	-99 	0
main	10 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	ROD 	WON 	0 	1 	WON 	WON 	1 	0
main	11 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	ATE 	EYE 	0 	0 	HAT 	HAT 	1 	0
main	12 	broj3335 	 T1 	 True 	 0.0 	3.0 	0.0 	False 	False 	False 	both 	(0, 1) 	0 	DOC 	CAT 	0 	-99 	-99 	-99 	-99 	0
main	13 	broj3335 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	0 	TON 	WAY 	0 	-99 	-99 	-99 	-99 	0
main	14 	broj3335 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	True 	both 	(0, -1) 	1 	TIP 	TOP 	0 	0 	HIM 	HIM 	1 	0
main	15 	broj3335 	 T1 	 True 	 0.0 	4.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	SET 	SET 	1 	-99 	-99 	-99 	-99 	0
main	16 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.6 	False 	False 	False 	both 	(0, 1) 	0 	KEY 	AGE 	0 	1 	TIL 	HIM 	0 	0
main	17 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	RAY 	WAY 	0 	1 	HAM 	HAM 	1 	0
main	18 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	ACT 	CAT 	0 	0 	NOW 	NOW 	1 	0
main	19 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.6 	False 	False 	False 	both 	(0, -1) 	0 	NEW 	NEW 	1 	1 	YOU 	NEW 	0 	0
main	20 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.6 	False 	False 	True 	both 	(0, 1) 	1 	TIE 	SAT 	0 	0 	SIT 	SIT 	1 	0
main	21 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	DAD 	DAY 	0 	0 	AGO 	AGO 	1 	0
main	22 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	BAD 	DIP 	0 	1 	ZIP 	ZIP 	1 	0
main	23 	broj3335 	 T1 	 True 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, -1) 	0 	MAN 	WEB 	0 	-99 	-99 	-99 	-99 	0
main	24 	broj3335 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, 1) 	0 	NOT 	WEE 	0 	-99 	-99 	-99 	-99 	0
main	25 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, 1) 	1 	NUN 	SAW 	0 	0 	RAW 	RAW 	1 	0
main	26 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, 1) 	1 	BUM 	SET 	0 	0 	PET 	PET 	1 	0
main	27 	broj3335 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	DIE 	DIE 	1 	-99 	-99 	-99 	-99 	0
main	28 	broj3335 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	TIL 	EYE 	0 	-99 	-99 	-99 	-99 	0
main	29 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	OWN 	OWN 	1 	1 	BAD 	BAD 	1 	0
main	30 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, -1) 	0 	TOP 	TOP 	1 	1 	EAT 	EAT 	1 	0
main	31 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	WEE 	CUP 	0 	0 	CUT 	CUT 	1 	0
main	32 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	SAW 	SAW 	1 	0 	CON 	SAW 	0 	0
main	33 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	FLU 	PIG 	0 	1 	PIG 	PIG 	1 	0
main	34 	broj3335 	 T1 	 True 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, -1) 	0 	SEC 	PET 	0 	-99 	-99 	-99 	-99 	0
main	35 	broj3335 	 T1 	 False 	 0.0 	3.0 	0.05 	False 	False 	False 	both 	(0, 1) 	0 	DOG 	DOG 	1 	1 	FEE 	FEE 	1 	0
