experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	bsze6874 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	BIG 	BIG 	1 	1 	ADD 	ADD 	1 	0
main	1 	bsze6874 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	BUY 	BOY 	0 	0 	HUT 	HUT 	1 	0
main	2 	bsze6874 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	GUM 	GUM 	1 	0 	ARE 	ARE 	1 	0
main	3 	bsze6874 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	RED 	RED 	1 	0 	RAW 	RAW 	1 	0
main	4 	bsze6874 	 T1 	 True 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	CAT 	CAT 	1 	-99 	-99 	-99 	-99 	0
main	5 	bsze6874 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	SON 	SON 	1 	0 	SON 	SON 	1 	0
main	6 	bsze6874 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	FIT 	FIT 	1 	1 	PAN 	PAN 	1 	0
main	7 	bsze6874 	 T1 	 True 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	0 	DRY 	WEE 	0 	-99 	-99 	-99 	-99 	0
main	8 	bsze6874 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	0 	BOY 	FAN 	0 	-99 	-99 	-99 	-99 	0
main	9 	bsze6874 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	INN 	BUM 	0 	1 	BUM 	BUM 	1 	0
main	10 	bsze6874 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	MAP 	MAP 	1 	1 	LOT 	LOT 	1 	0
main	11 	bsze6874 	 T1 	 True 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	FUN 	FUN 	1 	-99 	-99 	-99 	-99 	0
main	12 	bsze6874 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	ASS 	ASS 	1 	1 	LAY 	LAY 	1 	0
main	13 	bsze6874 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	1 	RAT 	HAT 	0 	0 	RIG 	RNG 	0 	0
main	14 	bsze6874 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	KEY 	KEY 	1 	0 	PIN 	PIN 	1 	0
main	15 	bsze6874 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	HAT 	DAT 	0 	1 	BYE 	BYE 	1 	0
main	16 	bsze6874 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	ADD 	ROA 	0 	0 	OFF 	OFF 	1 	0
main	17 	bsze6874 	 T1 	 True 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	0 	PIG 	RAT 	0 	-99 	-99 	-99 	-99 	0
main	18 	bsze6874 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	PAN 	CAT 	0 	0 	POD 	POD 	1 	0
main	19 	bsze6874 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	BOY 	BOY 	1 	-99 	-99 	-99 	-99 	0
main	20 	bsze6874 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	MEN 	MEN 	1 	1 	FIX 	FIX 	1 	0
main	21 	bsze6874 	 T1 	 True 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, -1) 	0 	BID 	SEX 	0 	-99 	-99 	-99 	-99 	0
main	22 	bsze6874 	 T1 	 True 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	BEE 	BOY 	0 	-99 	-99 	-99 	-99 	0
main	23 	bsze6874 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	BEE 	BEE 	1 	1 	INN 	INN 	1 	0
main	24 	bsze6874 	 T1 	 True 	 0.0 	2.0 	0.2 	False 	False 	True 	both 	(0, 1) 	0 	MAY 	ROT 	0 	-99 	-99 	-99 	-99 	0
