experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	bzha5709 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	GOD 	HHH 	0 	1 	MET 	UUU 	0 	0
main	1 	bzha5709 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	NOW 	HIS 	0 	0 	HIS 	NOT 	0 	0
main	2 	bzha5709 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	VAN 	VAN 	1 	1 	NET 	YET 	0 	0
main	3 	bzha5709 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	TIL 	TIL 	1 	0 	ILL 	ILL 	1 	0
main	4 	bzha5709 	 T1 	 True 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	GIN 	GIL 	0 	-99 	-99 	-99 	-99 	0
main	5 	bzha5709 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	HIT 	GAS 	0 	1 	WAX 	WAX 	1 	0
main	6 	bzha5709 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	DIE 	ULT 	0 	0 	VAN 	VAN 	1 	0
main	7 	bzha5709 	 T1 	 True 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	0 	MEN 	JJJ 	0 	-99 	-99 	-99 	-99 	0
main	8 	bzha5709 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	LET 	LEF 	0 	0 	FAT 	LEF 	0 	0
main	9 	bzha5709 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	TAP 	OIL 	0 	-99 	-99 	-99 	-99 	0
main	10 	bzha5709 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	GUT 	GUD 	0 	-99 	-99 	-99 	-99 	0
main	11 	bzha5709 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	TWO 	TWO 	1 	1 	ACT 	CAT 	0 	0
