experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	cela3470 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	COW 	COW 	1 	1 	ATE 	ATE 	1 	0
main	1 	cela3470 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	AIM 	LIE 	0 	-99 	-99 	-99 	-99 	0
main	2 	cela3470 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	RUG 	RUG 	1 	0 	HAD 	HAG 	0 	0
main	3 	cela3470 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	PIT 	PIT 	1 	1 	NOT 	NOT 	1 	0
main	4 	cela3470 	 T1 	 True 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	DOC 	DOC 	1 	-99 	-99 	-99 	-99 	0
main	5 	cela3470 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	CAP 	COP 	0 	0 	TRY 	TRY 	1 	0
main	6 	cela3470 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	MUM 	LOW 	0 	-99 	-99 	-99 	-99 	0
main	7 	cela3470 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	ROD 	TRO 	0 	1 	EGO 	EGO 	1 	0
main	8 	cela3470 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	HAM 	DUO 	0 	0 	LAB 	LAB 	1 	0
main	9 	cela3470 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	SIT 	SUT 	0 	0 	EAR 	EAR 	1 	0
main	10 	cela3470 	 T1 	 True 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	SUM 	SUM 	1 	-99 	-99 	-99 	-99 	0
main	11 	cela3470 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, -1) 	0 	OWE 	TRE 	0 	1 	SUN 	TRO 	0 	0
main	12 	cela3470 	 T1 	 True 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	0 	WEB 	BET 	0 	-99 	-99 	-99 	-99 	0
main	13 	cela3470 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	NUT 	NET 	0 	0 	LOW 	HOW 	0 	0
main	14 	cela3470 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	CON 	LIE 	0 	1 	LIE 	COM 	0 	0
main	15 	cela3470 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	BAT 	BET 	0 	0 	CRY 	CRY 	1 	0
main	16 	cela3470 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	DOG 	GAP 	0 	0 	PAD 	PAD 	1 	0
main	17 	cela3470 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	DOC 	DOC 	1 	1 	RAW 	RAW 	1 	0
main	18 	cela3470 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	DRY 	COY 	0 	-99 	-99 	-99 	-99 	0
main	19 	cela3470 	 T1 	 False 	 0.0 	3.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	FEE 	SEE 	0 	1 	TAP 	TOP 	0 	0
main	20 	cela3470 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	RIP 	TIP 	0 	0 	SEE 	SEE 	1 	0
main	21 	cela3470 	 T1 	 True 	 0.0 	4.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	SUB 	SAD 	0 	-99 	-99 	-99 	-99 	0
