experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	cpra8536 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	2 	H 	H 	1 	1 	A 	A 	1 	0 	H 	H 	1 	0
main	1 	cpra8536 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	F 	F 	1 	0 	R 	R 	1 	1 	Y 	Y 	1 	0
main	2 	cpra8536 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	A 	A 	1 	2 	Z 	Z 	1 	1 	Z 	Z 	1 	0
main	3 	cpra8536 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	N 	N 	1 	0 	F 	F 	1 	2 	C 	C 	1 	0
main	4 	cpra8536 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	E 	E 	1 	1 	H 	H 	1 	0 	Y 	Y 	1 	0
main	5 	cpra8536 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	U 	W 	0 	1 	H 	H 	1 	2 	R 	R 	1 	0
main	6 	cpra8536 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	0 	Y 	Y 	1 	2 	U 	U 	1 	1 	S 	S 	1 	0
main	7 	cpra8536 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	1 	F 	F 	1 	0 	K 	G 	0 	2 	G 	Z 	0 	0
main	8 	cpra8536 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	U 	U 	1 	2 	M 	M 	1 	1 	C 	Z 	0 	0
main	9 	cpra8536 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	2 	G 	G 	1 	1 	C 	H 	0 	0 	H 	C 	0 	0
main	10 	cpra8536 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	Y 	S 	0 	2 	M 	M 	1 	0 	S 	Y 	0 	0
main	11 	cpra8536 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	2 	R 	R 	1 	0 	Y 	H 	0 	1 	H 	Y 	0 	0
main	12 	cpra8536 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	True 	both 	(0, -1) 	0 	F 	F 	1 	2 	J 	J 	1 	1 	A 	A 	1 	0
main	13 	cpra8536 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	H 	H 	1 	2 	F 	F 	1 	0 	E 	E 	1 	0
main	14 	cpra8536 	 T1 	 False 	 0.0 	3.0 	0.6 	False 	False 	True 	both 	(0, -1) 	2 	Y 	Y 	1 	1 	R 	R 	1 	0 	A 	A 	1 	0
main	15 	cpra8536 	 T1 	 False 	 0.0 	3.0 	0.6 	False 	False 	True 	both 	(0, 1) 	2 	N 	N 	1 	0 	G 	G 	1 	1 	T 	T 	1 	0
main	16 	cpra8536 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	E 	N 	0 	2 	G 	G 	1 	1 	A 	A 	1 	0
main	17 	cpra8536 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, 1) 	2 	N 	N 	1 	0 	G 	G 	1 	1 	T 	T 	1 	0
main	18 	cpra8536 	 T1 	 False 	 0.0 	2.0 	0.6 	False 	False 	True 	both 	(0, -1) 	1 	K 	K 	1 	0 	M 	M 	1 	2 	G 	G 	1 	0
main	19 	cpra8536 	 T1 	 False 	 0.0 	2.0 	0.6 	False 	False 	False 	both 	(0, -1) 	2 	C 	C 	1 	0 	E 	E 	1 	1 	M 	M 	1 	0
main	20 	cpra8536 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, 1) 	2 	K 	K 	1 	1 	R 	R 	1 	0 	T 	T 	1 	0
main	21 	cpra8536 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	T 	T 	1 	1 	Y 	Y 	1 	2 	H 	R 	0 	0
main	22 	cpra8536 	 T1 	 False 	 0.0 	1.0 	-0.4 	False 	False 	False 	both 	(0, 1) 	1 	T 	R 	0 	2 	C 	B 	0 	0 	F 	C 	0 	0
main	23 	cpra8536 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, -1) 	1 	F 	R 	0 	0 	R 	B 	0 	2 	N 	C 	0 	0
main	24 	cpra8536 	 T1 	 False 	 0.0 	2.0 	0.6 	False 	False 	True 	both 	(0, 1) 	2 	Y 	C 	0 	1 	T 	S 	0 	0 	U 	T 	0 	0
main	25 	cpra8536 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	1 	M 	U 	0 	2 	K 	K 	1 	0 	U 	M 	0 	0
