experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	csal4405 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	T 	T 	1 	2 	J 	J 	1 	1 	J 	J 	1 	0
main	1 	csal4405 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	S 	S 	1 	0 	F 	F 	1 	1 	G 	G 	1 	0
main	2 	csal4405 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	2 	E 	E 	1 	0 	C 	C 	1 	1 	M 	M 	1 	0
main	3 	csal4405 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	H 	H 	1 	0 	C 	C 	1 	2 	M 	M 	1 	0
main	4 	csal4405 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	R 	R 	1 	0 	C 	C 	1 	2 	T 	T 	1 	0
main	5 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	Y 	Y 	1 	1 	R 	R 	1 	2 	R 	R 	1 	0
main	6 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	2 	R 	S 	0 	0 	T 	S 	0 	1 	S 	T 	0 	0
main	7 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	K 	K 	1 	0 	F 	F 	1 	2 	Z 	Z 	1 	0
main	8 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	H 	H 	1 	1 	M 	M 	1 	2 	Y 	Y 	1 	0
main	9 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	2 	J 	J 	1 	0 	H 	M 	0 	1 	J 	K 	0 	0
main	10 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	Z 	Z 	1 	1 	S 	S 	1 	2 	H 	K 	0 	0
main	11 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	H 	H 	1 	0 	N 	C 	0 	2 	F 	F 	1 	0
main	12 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, 1) 	2 	R 	R 	1 	1 	G 	R 	0 	0 	Z 	Z 	1 	0
main	13 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	0 	A 	A 	1 	2 	R 	R 	1 	1 	M 	M 	1 	0
main	14 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, -1) 	2 	C 	C 	1 	1 	G 	G 	1 	0 	S 	S 	1 	0
main	15 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	0 	Z 	Z 	1 	1 	Z 	R 	0 	2 	E 	E 	1 	0
main	16 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	2 	N 	S 	0 	1 	F 	F 	1 	0 	Z 	Z 	1 	0
main	17 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	2 	N 	N 	1 	0 	F 	F 	1 	1 	Y 	T 	0 	0
main	18 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.55 	False 	False 	False 	both 	(0, -1) 	0 	T 	Z 	0 	1 	E 	R 	0 	2 	C 	C 	1 	0
main	19 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	False 	both 	(0, 1) 	1 	N 	C 	0 	0 	F 	N 	0 	2 	N 	X 	0 	0
main	20 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	2 	N 	N 	1 	1 	U 	U 	1 	0 	U 	O 	0 	0
main	21 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	0 	M 	N 	0 	2 	R 	R 	1 	1 	C 	C 	1 	0
main	22 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	True 	both 	(0, -1) 	0 	R 	R 	1 	1 	G 	S 	0 	2 	N 	C 	0 	0
main	23 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	False 	both 	(0, -1) 	1 	E 	S 	0 	0 	M 	M 	1 	2 	S 	C 	0 	0
main	24 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, -1) 	2 	F 	F 	1 	0 	C 	S 	0 	1 	K 	K 	1 	0
main	25 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, 1) 	1 	Z 	Z 	1 	0 	J 	Z 	0 	2 	C 	C 	1 	0
main	26 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	True 	both 	(0, -1) 	0 	K 	A 	0 	2 	K 	K 	1 	1 	C 	C 	1 	0
main	27 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	False 	both 	(0, -1) 	1 	J 	J 	1 	2 	E 	E 	1 	0 	K 	K 	1 	0
main	28 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	True 	both 	(0, 1) 	0 	R 	R 	1 	1 	R 	E 	0 	2 	R 	C 	0 	0
main	29 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	True 	both 	(0, 1) 	0 	M 	M 	1 	2 	U 	U 	1 	1 	C 	Z 	0 	0
main	30 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	False 	both 	(0, 1) 	0 	C 	C 	1 	1 	T 	T 	1 	2 	N 	S 	0 	0
main	31 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	False 	both 	(0, -1) 	2 	A 	A 	1 	0 	F 	X 	0 	1 	Z 	S 	0 	0
main	32 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, 1) 	1 	F 	F 	1 	2 	G 	X 	0 	0 	A 	A 	1 	0
main	33 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	2 	H 	H 	1 	1 	M 	M 	1 	0 	H 	K 	0 	0
main	34 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	True 	both 	(0, 1) 	2 	F 	S 	0 	1 	H 	M 	0 	0 	M 	K 	0 	0
main	35 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	2 	K 	K 	1 	1 	H 	M 	0 	0 	K 	A 	0 	0
main	36 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	True 	both 	(0, 1) 	0 	K 	S 	0 	2 	T 	H 	0 	1 	K 	K 	1 	0
main	37 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	2 	Z 	Z 	1 	1 	K 	M 	0 	0 	R 	S 	0 	0
main	38 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, -1) 	0 	R 	R 	1 	2 	A 	K 	0 	1 	Z 	S 	0 	0
main	39 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, 1) 	0 	E 	E 	1 	1 	G 	G 	1 	2 	G 	G 	1 	0
main	40 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, -1) 	2 	J 	J 	1 	1 	Y 	K 	0 	0 	R 	R 	1 	0
main	41 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, 1) 	1 	E 	E 	1 	0 	Y 	S 	0 	2 	R 	R 	1 	0
main	42 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, -1) 	0 	H 	S 	0 	2 	T 	K 	0 	1 	Y 	D 	0 	0
main	43 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, -1) 	0 	S 	S 	1 	1 	Y 	Y 	1 	2 	T 	K 	0 	0
main	44 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, -1) 	2 	U 	U 	1 	1 	G 	G 	1 	0 	Y 	K 	0 	0
main	45 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, 1) 	0 	H 	S 	0 	1 	R 	R 	1 	2 	K 	S 	0 	0
main	46 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, -1) 	2 	F 	F 	1 	1 	M 	M 	1 	0 	F 	F 	1 	0
main	47 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, 1) 	2 	S 	S 	1 	1 	G 	G 	1 	0 	U 	U 	1 	0
main	48 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, -1) 	2 	K 	S 	0 	1 	U 	U 	1 	0 	R 	S 	0 	0
main	49 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, -1) 	2 	A 	A 	1 	0 	F 	G 	0 	1 	Y 	S 	0 	0
main	50 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	1 	U 	A 	0 	2 	H 	Z 	0 	0 	Y 	H 	0 	0
main	51 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	2 	H 	S 	0 	1 	Z 	O 	0 	0 	Z 	G 	0 	0
main	52 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, 1) 	1 	F 	F 	1 	0 	J 	J 	1 	2 	J 	K 	0 	0
main	53 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, 1) 	1 	H 	S 	0 	0 	U 	U 	1 	2 	T 	T 	1 	0
main	54 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	0 	C 	C 	1 	1 	J 	J 	1 	2 	H 	K 	0 	0
main	55 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	Y 	Y 	1 	2 	M 	M 	1 	1 	M 	N 	0 	0
main	56 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	0 	E 	E 	1 	1 	M 	M 	1 	2 	A 	A 	1 	0
main	57 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	2 	M 	M 	1 	0 	F 	F 	1 	1 	G 	G 	1 	0
main	58 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	N 	N 	1 	0 	K 	K 	1 	2 	E 	E 	1 	0
main	59 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, -1) 	2 	R 	A 	0 	1 	A 	R 	0 	0 	H 	K 	0 	0
main	60 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	0 	M 	M 	1 	1 	U 	U 	1 	2 	C 	C 	1 	0
main	61 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	0 	Z 	Z 	1 	1 	G 	G 	1 	2 	F 	K 	0 	0
main	62 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	F 	S 	0 	0 	U 	U 	1 	2 	G 	G 	1 	0
main	63 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, -1) 	2 	S 	S 	1 	1 	S 	S 	1 	0 	T 	T 	1 	0
main	64 	csal4405 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, -1) 	1 	N 	T 	0 	2 	E 	G 	0 	0 	R 	K 	0 	0
main	65 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	0 	E 	E 	1 	2 	K 	J 	0 	1 	J 	K 	0 	0
main	66 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	2 	T 	E 	0 	0 	J 	K 	0 	1 	N 	G 	0 	0
main	67 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	N 	M 	0 	2 	C 	C 	1 	0 	G 	G 	1 	0
main	68 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	A 	A 	1 	2 	T 	G 	0 	1 	F 	K 	0 	0
main	69 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, -1) 	1 	U 	U 	1 	0 	G 	G 	1 	2 	Z 	Z 	1 	0
main	70 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, -1) 	0 	S 	S 	1 	1 	Z 	G 	0 	2 	Z 	Z 	1 	0
main	71 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, -1) 	1 	Z 	S 	0 	0 	F 	F 	1 	2 	H 	K 	0 	0
main	72 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, 1) 	0 	S 	S 	1 	2 	H 	K 	0 	1 	H 	H 	1 	0
main	73 	csal4405 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, 1) 	2 	T 	S 	0 	1 	A 	T 	0 	0 	A 	A 	1 	0
