experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	czhu0720 	 T1 	 True 	 0.0 	52 	0.9 	True 	True 	False 	both 	(0, -1) 	0 	Z 	I 	0 	-99 	-99 	-99 	-99 	0
main	1 	czhu0720 	 T1 	 False 	 0.0 	40 	0.9 	True 	True 	False 	both 	(0, -1) 	0 	U 	U 	1 	1 	U 	A 	0 	0
main	2 	czhu0720 	 T1 	 False 	 0.0 	32 	0.9 	True 	True 	True 	both 	(0, -1) 	1 	E 	S 	0 	0 	Y 	Y 	1 	0
main	3 	czhu0720 	 T1 	 False 	 0.0 	32 	0.9 	True 	True 	False 	both 	(0, -1) 	0 	G 	G 	1 	1 	A 	R 	0 	0
main	4 	czhu0720 	 T1 	 False 	 0.0 	24 	0.9 	True 	True 	False 	both 	(0, 1) 	0 	J 	D 	0 	1 	H 	D 	0 	0
main	5 	czhu0720 	 T1 	 False 	 0.0 	4.0 	0.9 	True 	True 	True 	both 	(0, 1) 	1 	S 	P 	0 	0 	C 	A 	0 	0
main	6 	czhu0720 	 T1 	 False 	 0.0 	5.0 	0.5 	True 	True 	False 	both 	(0, 1) 	0 	S 	A 	0 	1 	M 	P 	0 	0
main	7 	czhu0720 	 T1 	 True 	 0.0 	6.0 	0.1 	True 	True 	True 	both 	(0, 1) 	0 	R 	A 	0 	-99 	-99 	-99 	-99 	0
main	8 	czhu0720 	 T1 	 False 	 0.0 	6.0 	0.7 	True 	True 	True 	both 	(0, -1) 	1 	E 	J 	0 	0 	R 	R 	1 	0
main	9 	czhu0720 	 T1 	 True 	 0.0 	6.0 	0.1 	True 	True 	False 	both 	(0, 1) 	0 	R 	A 	0 	-99 	-99 	-99 	-99 	0
main	10 	czhu0720 	 T1 	 False 	 0.0 	6.0 	0.6 	True 	True 	True 	both 	(0, 1) 	1 	U 	U 	1 	0 	S 	A 	0 	0
main	11 	czhu0720 	 T1 	 True 	 0.0 	6.0 	0.6 	True 	True 	True 	both 	(0, -1) 	0 	M 	Y 	0 	-99 	-99 	-99 	-99 	0
main	12 	czhu0720 	 T1 	 False 	 0.0 	7.0 	0.1 	True 	True 	True 	both 	(0, 1) 	1 	T 	L 	0 	0 	H 	H 	1 	0
main	13 	czhu0720 	 T1 	 False 	 0.0 	7.0 	0.1 	True 	True 	False 	both 	(0, -1) 	0 	Y 	L 	0 	1 	R 	Y 	0 	0
main	14 	czhu0720 	 T1 	 False 	 0.0 	7.0 	0.6 	True 	True 	False 	both 	(0, 1) 	0 	Z 	S 	0 	1 	Z 	P 	0 	0
main	15 	czhu0720 	 T1 	 False 	 0.0 	8.0 	0.1 	True 	True 	True 	both 	(0, 1) 	1 	S 	S 	1 	0 	T 	Y 	0 	0
main	16 	czhu0720 	 T1 	 False 	 0.0 	8.0 	0.1 	True 	True 	True 	both 	(0, -1) 	1 	E 	R 	0 	0 	A 	A 	1 	0
main	17 	czhu0720 	 T1 	 False 	 0.0 	7.0 	0.6 	True 	True 	False 	both 	(0, -1) 	0 	M 	R 	0 	1 	F 	S 	0 	0
main	18 	czhu0720 	 T1 	 False 	 0.0 	7.0 	1.0 	True 	True 	True 	both 	(0, -1) 	1 	S 	R 	0 	0 	E 	P 	0 	0
main	19 	czhu0720 	 T1 	 True 	 0.0 	8.0 	0.4 	True 	True 	False 	both 	(0, 1) 	0 	A 	S 	0 	-99 	-99 	-99 	-99 	0
main	20 	czhu0720 	 T1 	 True 	 0.0 	8.0 	0.8 	True 	True 	True 	both 	(0, 1) 	0 	U 	M 	0 	-99 	-99 	-99 	-99 	0
main	21 	czhu0720 	 T1 	 True 	 0.0 	9.0 	0.2 	True 	True 	False 	both 	(0, -1) 	0 	A 	S 	0 	-99 	-99 	-99 	-99 	0
main	22 	czhu0720 	 T1 	 True 	 0.0 	9.0 	0.6 	True 	True 	True 	both 	(0, -1) 	0 	A 	A 	1 	-99 	-99 	-99 	-99 	0
main	23 	czhu0720 	 T1 	 False 	 0.0 	9.0 	0.6 	True 	True 	False 	both 	(0, 1) 	0 	Z 	S 	0 	1 	E 	R 	0 	0
main	24 	czhu0720 	 T1 	 False 	 0.0 	10.0 	0.0 	True 	True 	False 	both 	(0, -1) 	0 	G 	K 	0 	1 	K 	G 	0 	0
main	25 	czhu0720 	 T1 	 False 	 0.0 	10.0 	0.4 	True 	True 	True 	both 	(0, -1) 	1 	J 	H 	0 	0 	T 	N 	0 	0
main	26 	czhu0720 	 T1 	 False 	 0.0 	10.0 	0.8 	True 	True 	False 	both 	(0, -1) 	0 	A 	M 	0 	1 	M 	A 	0 	0
