experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	dste0526 	 T1 	 True 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	GIN 	GIN 	1 	-99 	-99 	-99 	-99 	0
main	1 	dste0526 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	FAR 	FIA 	0 	0 	LIP 	LIP 	1 	0
main	2 	dste0526 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	LOT 	TUB 	0 	1 	TUB 	TUB 	1 	0
main	3 	dste0526 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	WEE 	MIX 	0 	-99 	-99 	-99 	-99 	0
main	4 	dste0526 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	SAW 	SAW 	1 	1 	ANY 	ANY 	1 	0
main	5 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	WAS 	SAW 	0 	0 	ART 	ART 	1 	0
main	6 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	BYE 	KYE 	0 	1 	KIT 	BIT 	0 	0
main	7 	dste0526 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	TEN 	TEN 	1 	-99 	-99 	-99 	-99 	0
main	8 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	BOX 	BOX 	1 	0 	ZIP 	ZIP 	1 	0
main	9 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	FAR 	TOP 	0 	1 	AID 	AIR 	0 	0
main	10 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	ARM 	TOP 	0 	0 	CUE 	CUE 	1 	0
main	11 	dste0526 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	ROW 	FOG 	0 	-99 	-99 	-99 	-99 	0
main	12 	dste0526 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	BUM 	BOX 	0 	1 	TAX 	TAX 	1 	0
main	13 	dste0526 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	TOY 	BOX 	0 	1 	HEY 	HEY 	1 	0
main	14 	dste0526 	 T1 	 True 	 0.0 	2.0 	1.0 	False 	False 	True 	both 	(0, 1) 	0 	PET 	ICE 	0 	-99 	-99 	-99 	-99 	0
main	15 	dste0526 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	COW 	BOW 	0 	0 	RAN 	RAN 	1 	0
main	16 	dste0526 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	WAX 	BOX 	0 	0 	MOB 	MOB 	1 	0
main	17 	dste0526 	 T1 	 True 	 0.0 	2.0 	1.0 	False 	False 	False 	both 	(0, 1) 	0 	HIP 	HIP 	1 	-99 	-99 	-99 	-99 	0
main	18 	dste0526 	 T1 	 True 	 0.0 	2.0 	1.0 	False 	False 	False 	both 	(0, -1) 	0 	BAD 	BAD 	1 	-99 	-99 	-99 	-99 	0
main	19 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	ROD 	DDD 	0 	1 	OUR 	ANY 	0 	0
main	20 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, -1) 	1 	PAY 	HER 	0 	0 	HIM 	HIM 	1 	0
main	21 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	SUM 	SHE 	0 	1 	TON 	HOT 	0 	0
main	22 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	BAD 	DDD 	0 	0 	END 	END 	1 	0
main	23 	dste0526 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	GOD 	AND 	0 	-99 	-99 	-99 	-99 	0
main	24 	dste0526 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	True 	both 	(0, -1) 	1 	SKY 	SKY 	1 	0 	BAT 	BAT 	1 	0
main	25 	dste0526 	 T1 	 True 	 0.0 	2.0 	1.0 	False 	False 	True 	both 	(0, -1) 	0 	SIX 	POP 	0 	-99 	-99 	-99 	-99 	0
main	26 	dste0526 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	END 	END 	1 	-99 	-99 	-99 	-99 	0
main	27 	dste0526 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	NOW 	AAA 	0 	1 	AIM 	AIM 	1 	0
main	28 	dste0526 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	True 	both 	(0, -1) 	1 	OUR 	DDD 	0 	0 	RAW 	RAW 	1 	0
main	29 	dste0526 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	False 	both 	(0, 1) 	0 	PAN 	DDD 	0 	1 	BAR 	BAR 	1 	0
main	30 	dste0526 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	ZIP 	MUM 	0 	-99 	-99 	-99 	-99 	0
main	31 	dste0526 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	True 	both 	(0, 1) 	1 	RED 	HER 	0 	0 	HIS 	HIS 	1 	0
main	32 	dste0526 	 T1 	 True 	 0.0 	2.0 	1.0 	False 	False 	False 	both 	(0, 1) 	0 	ASK 	ASK 	1 	-99 	-99 	-99 	-99 	0
main	33 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	HOT 	GGG 	0 	1 	EGO 	EGO 	1 	0
main	34 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	PEN 	PEN 	1 	0 	RAY 	WHY 	0 	0
main	35 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	NAP 	SUN 	0 	1 	SUN 	SUN 	1 	0
main	36 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	DRY 	APE 	0 	1 	APE 	APE 	1 	0
main	37 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, 1) 	1 	NOT 	BUT 	0 	0 	BUD 	BUT 	0 	0
main	38 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.75 	False 	False 	True 	both 	(0, 1) 	1 	BAD 	BUT 	0 	0 	DIP 	DIP 	1 	0
main	39 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.75 	False 	False 	False 	both 	(0, -1) 	0 	DID 	DIP 	0 	1 	ROD 	RED 	0 	0
main	40 	dste0526 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, 1) 	0 	SIX 	ARE 	0 	-99 	-99 	-99 	-99 	0
main	41 	dste0526 	 T1 	 True 	 0.0 	2.0 	0.85 	False 	False 	False 	both 	(0, -1) 	0 	WAX 	WAX 	1 	-99 	-99 	-99 	-99 	0
main	42 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.85 	False 	False 	True 	both 	(0, -1) 	1 	CUT 	DDD 	0 	0 	COP 	COP 	1 	0
main	43 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	SUB 	XXX 	0 	1 	ZIP 	ZIP 	1 	0
main	44 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	ROT 	DDD 	0 	1 	ODD 	ODD 	1 	0
main	45 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.75 	False 	False 	True 	both 	(0, -1) 	1 	GUT 	DDD 	0 	0 	BUG 	BUG 	1 	0
main	46 	dste0526 	 T1 	 True 	 0.0 	2.0 	0.75 	False 	False 	False 	both 	(0, 1) 	0 	GAL 	GAL 	1 	-99 	-99 	-99 	-99 	0
main	47 	dste0526 	 T1 	 True 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, -1) 	0 	RUM 	RUG 	0 	-99 	-99 	-99 	-99 	0
main	48 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.75 	False 	False 	False 	both 	(0, 1) 	0 	SHE 	COW 	0 	1 	COW 	COW 	1 	0
main	49 	dste0526 	 T1 	 True 	 0.0 	2.0 	0.75 	False 	False 	False 	both 	(0, 1) 	0 	GUT 	GUT 	1 	-99 	-99 	-99 	-99 	1
main	50 	dste0526 	 T1 	 True 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, 1) 	0 	DRY 	PAL 	0 	-99 	-99 	-99 	-99 	0
main	51 	dste0526 	 T1 	 True 	 0.0 	2.0 	0.75 	False 	False 	False 	both 	(0, -1) 	0 	DID 	AND 	0 	-99 	-99 	-99 	-99 	0
main	52 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, -1) 	1 	MAY 	DDD 	0 	0 	PAY 	PAY 	1 	0
main	53 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	BYE 	SKY 	0 	1 	ODD 	ODD 	1 	0
main	54 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.75 	False 	False 	False 	both 	(0, 1) 	0 	RAW 	FOX 	0 	1 	FOX 	ODD 	0 	0
main	55 	dste0526 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, -1) 	0 	NUT 	WAX 	0 	-99 	-99 	-99 	-99 	0
main	56 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.85 	False 	False 	False 	both 	(0, -1) 	0 	KID 	DDD 	0 	1 	TIP 	TIP 	1 	0
main	57 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.85 	False 	False 	True 	both 	(0, -1) 	1 	TON 	DDD 	0 	0 	TOE 	TOE 	1 	0
main	58 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, 1) 	1 	COW 	COW 	1 	0 	WIN 	WIN 	1 	0
main	59 	dste0526 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, 1) 	1 	CUT 	DDD 	0 	0 	BYE 	DDD 	0 	0
