experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	ecot5870 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	FUR 	FUR 	1 	0 	TOP 	TOP 	1 	0
main	1 	ecot5870 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	MOM 	MOM 	1 	1 	MOM 	MOM 	1 	0
main	2 	ecot5870 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	GAL 	GAL 	1 	1 	BYE 	BYE 	1 	0
main	3 	ecot5870 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	NOT 	NOT 	1 	1 	AGE 	AGE 	1 	0
main	4 	ecot5870 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	ROW 	NOW 	0 	0 	MAN 	MAN 	1 	0
main	5 	ecot5870 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	PEN 	PEN 	1 	-99 	-99 	-99 	-99 	0
main	6 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	ART 	RAT 	0 	1 	PIG 	PIG 	1 	0
main	7 	ecot5870 	 T1 	 True 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, -1) 	0 	CAB 	HOT 	0 	-99 	-99 	-99 	-99 	0
main	8 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	NOR 	NOT 	0 	0 	EGO 	EGO 	1 	0
main	9 	ecot5870 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	HAD 	END 	0 	-99 	-99 	-99 	-99 	0
main	10 	ecot5870 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	COP 	COP 	1 	-99 	-99 	-99 	-99 	0
main	11 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	FIX 	FIX 	1 	0 	SUB 	SUB 	1 	0
main	12 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	CAT 	CAT 	1 	0 	BAT 	BAT 	1 	0
main	13 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	PAN 	FUN 	0 	1 	AGO 	AGO 	1 	0
main	14 	ecot5870 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, 1) 	0 	RAT 	CAR 	0 	1 	PER 	PET 	0 	0
main	15 	ecot5870 	 T1 	 True 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	0 	GAL 	HUG 	0 	-99 	-99 	-99 	-99 	0
main	16 	ecot5870 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	MAP 	MAD 	0 	-99 	-99 	-99 	-99 	0
main	17 	ecot5870 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	0 	ADD 	HUG 	0 	-99 	-99 	-99 	-99 	0
main	18 	ecot5870 	 T1 	 True 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	POT 	POT 	1 	-99 	-99 	-99 	-99 	0
main	19 	ecot5870 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	CUE 	CUE 	1 	1 	SIT 	SIT 	1 	0
main	20 	ecot5870 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	WIG 	WEE 	0 	0 	PEE 	PEE 	1 	0
main	21 	ecot5870 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	FIT 	FIT 	1 	1 	SAT 	SIT 	0 	0
main	22 	ecot5870 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	RAN 	FUN 	0 	0 	AID 	AID 	1 	0
main	23 	ecot5870 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	MEN 	SOD 	0 	0 	ROD 	ROD 	1 	0
main	24 	ecot5870 	 T1 	 True 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	LOT 	LOT 	1 	-99 	-99 	-99 	-99 	0
main	25 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	BIG 	PIG 	0 	0 	ZIP 	ZIG 	0 	0
main	26 	ecot5870 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	False 	both 	(0, 1) 	0 	ARM 	PAN 	0 	1 	SAD 	SAM 	0 	0
main	27 	ecot5870 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	NET 	MAD 	0 	0 	ADD 	ADD 	1 	0
main	28 	ecot5870 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	TIN 	FUN 	0 	1 	GUT 	GUT 	1 	0
main	29 	ecot5870 	 T1 	 True 	 0.0 	3.0 	0.0 	False 	False 	False 	both 	(0, 1) 	0 	BUS 	BUS 	1 	-99 	-99 	-99 	-99 	0
main	30 	ecot5870 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	RUB 	RUB 	1 	1 	BUG 	BUG 	1 	0
main	31 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	BOX 	BOX 	1 	1 	MAY 	MAX 	0 	0
main	32 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, 1) 	1 	RIG 	PIG 	0 	0 	BAG 	BAG 	1 	0
main	33 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	FAX 	FOX 	0 	0 	OWN 	OWL 	0 	0
main	34 	ecot5870 	 T1 	 True 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	0 	SKI 	RED 	0 	-99 	-99 	-99 	-99 	0
main	35 	ecot5870 	 T1 	 True 	 0.0 	2.0 	0.6 	False 	False 	True 	both 	(0, 1) 	0 	BUG 	WIG 	0 	-99 	-99 	-99 	-99 	0
main	36 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, 1) 	1 	OWE 	PAN 	0 	0 	RUN 	OWN 	0 	0
main	37 	ecot5870 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	HAM 	HAM 	1 	-99 	-99 	-99 	-99 	0
main	38 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	GIN 	PUG 	0 	1 	MUD 	MUD 	1 	0
main	39 	ecot5870 	 T1 	 True 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, 1) 	0 	GAS 	TIL 	0 	-99 	-99 	-99 	-99 	0
main	40 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	TAP 	PEE 	0 	1 	INN 	TIL 	0 	0
main	41 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	SAW 	SAW 	1 	0 	NEW 	NEW 	1 	0
main	42 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	RED 	BOX 	0 	1 	BOX 	BOX 	1 	0
main	43 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, 1) 	1 	MOB 	BOB 	0 	0 	ILL 	ILL 	1 	0
main	44 	ecot5870 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	RIG 	RIG 	1 	-99 	-99 	-99 	-99 	0
main	45 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	GIN 	PIG 	0 	0 	FUN 	FUN 	1 	0
main	46 	ecot5870 	 T1 	 True 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, -1) 	0 	HIT 	LAW 	0 	-99 	-99 	-99 	-99 	0
main	47 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.75 	False 	False 	False 	both 	(0, -1) 	0 	SIR 	SIR 	1 	1 	OWE 	OWN 	0 	0
main	48 	ecot5870 	 T1 	 True 	 0.0 	2.0 	0.75 	False 	False 	False 	both 	(0, -1) 	0 	PRO 	PIG 	0 	-99 	-99 	-99 	-99 	0
main	49 	ecot5870 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, 1) 	1 	TAX 	FAX 	0 	0 	CAT 	CAT 	1 	0
