experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	espi7956 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	F 	F 	1 	2 	U 	U 	1 	1 	Y 	Y 	1 	0
main	1 	espi7956 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	K 	K 	1 	0 	Z 	Z 	1 	2 	E 	E 	1 	0
main	2 	espi7956 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	N 	N 	1 	0 	K 	K 	1 	2 	Y 	Y 	1 	0
main	3 	espi7956 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	A 	A 	1 	0 	M 	M 	1 	2 	Y 	Y 	1 	0
main	4 	espi7956 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	Y 	Y 	1 	2 	K 	K 	1 	0 	A 	A 	1 	0
main	5 	espi7956 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	R 	R 	1 	1 	M 	M 	1 	0 	K 	K 	1 	0
main	6 	espi7956 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	2 	F 	F 	1 	1 	S 	S 	1 	0 	K 	K 	1 	0
main	7 	espi7956 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	1 	F 	D 	0 	2 	N 	D 	0 	0 	T 	D 	0 	0
main	8 	espi7956 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	Z 	Z 	1 	2 	Y 	Y 	1 	1 	M 	M 	1 	0
main	9 	espi7956 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	1 	A 	A 	1 	0 	C 	C 	1 	2 	U 	U 	1 	0
main	10 	espi7956 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	1 	J 	E 	0 	2 	U 	T 	0 	0 	R 	H 	0 	0
