experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	hjan7489 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	SHY 	SHY 	1 	1 	POD 	POD 	1 	0
main	1 	hjan7489 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	BYE 	BYE 	1 	1 	BRA 	BRA 	1 	0
main	2 	hjan7489 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	YOU 	YOU 	1 	-99 	-99 	-99 	-99 	0
main	3 	hjan7489 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	HIT 	BIT 	0 	0 	LIP 	LIP 	1 	0
main	4 	hjan7489 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	FUR 	FOR 	0 	1 	RAW 	RAW 	1 	0
main	5 	hjan7489 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	KIT 	KIT 	1 	-99 	-99 	-99 	-99 	0
main	6 	hjan7489 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	SAT 	SAW 	0 	0 	CON 	CON 	1 	0
main	7 	hjan7489 	 T1 	 True 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, -1) 	0 	LIE 	LIP 	0 	-99 	-99 	-99 	-99 	0
main	8 	hjan7489 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	JAM 	JAM 	1 	1 	WAS 	WAS 	1 	0
main	9 	hjan7489 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	0 	EGO 	ROW 	0 	-99 	-99 	-99 	-99 	0
main	10 	hjan7489 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	ROB 	BOW 	0 	0 	TEA 	TEA 	1 	0
main	11 	hjan7489 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	WAS 	WAS 	1 	0 	BUD 	BUD 	1 	0
main	12 	hjan7489 	 T1 	 True 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	0 	GOD 	SEC 	0 	-99 	-99 	-99 	-99 	0
main	13 	hjan7489 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	PAN 	PEN 	0 	1 	RAW 	RAW 	1 	0
main	14 	hjan7489 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	GYM 	FOR 	0 	-99 	-99 	-99 	-99 	0
main	15 	hjan7489 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	FLY 	FLY 	1 	-99 	-99 	-99 	-99 	0
main	16 	hjan7489 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	0 	MEN 	COW 	0 	-99 	-99 	-99 	-99 	0
main	17 	hjan7489 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	OWN 	OWN 	1 	0 	TAG 	TAG 	1 	0
