experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	hmac3100 	 T1 	 True 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	SUB 	SUB 	1 	-99 	-99 	-99 	-99 	0
main	1 	hmac3100 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	YET 	YET 	1 	0 	ILL 	ILL 	1 	0
main	2 	hmac3100 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	SHE 	SHE 	1 	1 	ANY 	ANY 	1 	0
main	3 	hmac3100 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	EGG 	LET 	0 	-99 	-99 	-99 	-99 	0
main	4 	hmac3100 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	FAX 	TAX 	0 	0 	TON 	TON 	1 	0
main	5 	hmac3100 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	ACT 	PET 	0 	0 	PEN 	PEN 	1 	0
main	6 	hmac3100 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	WHO 	WHO 	1 	1 	ART 	ART 	1 	0
main	7 	hmac3100 	 T1 	 True 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	0 	GAG 	WAS 	0 	-99 	-99 	-99 	-99 	0
main	8 	hmac3100 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	BOW 	WHO 	0 	0 	TOO 	TOO 	1 	0
main	9 	hmac3100 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	HER 	HAD 	0 	1 	PIE 	PIE 	1 	0
main	10 	hmac3100 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	0 	WAS 	WAS 	1 	1 	WET 	SET 	0 	0
main	11 	hmac3100 	 T1 	 True 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, 1) 	0 	PIE 	BET 	0 	-99 	-99 	-99 	-99 	0
main	12 	hmac3100 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	ROW 	ROW 	1 	-99 	-99 	-99 	-99 	0
main	13 	hmac3100 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	GAL 	YET 	0 	-99 	-99 	-99 	-99 	0
main	14 	hmac3100 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, 1) 	1 	KIT 	KIT 	1 	0 	ADD 	ADD 	1 	0
main	15 	hmac3100 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, -1) 	0 	MAP 	SIT 	0 	-99 	-99 	-99 	-99 	0
main	16 	hmac3100 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	INK 	INK 	1 	1 	TIP 	SIT 	0 	0
main	17 	hmac3100 	 T1 	 True 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	HAM 	HAM 	1 	-99 	-99 	-99 	-99 	0
main	18 	hmac3100 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	NEW 	FEW 	0 	0 	FEE 	FEE 	1 	0
main	19 	hmac3100 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	LOT 	LOW 	0 	1 	YET 	YET 	1 	0
main	20 	hmac3100 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	GET 	DIG 	0 	0 	ADD 	ADD 	1 	0
main	21 	hmac3100 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	YES 	EYE 	0 	1 	OUR 	OUR 	1 	0
main	22 	hmac3100 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	BUY 	BUY 	1 	1 	FAX 	FAX 	1 	0
main	23 	hmac3100 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	ARE 	ARE 	1 	0 	FLY 	FLY 	1 	0
main	24 	hmac3100 	 T1 	 True 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	0 	FIX 	FIX 	1 	-99 	-99 	-99 	-99 	0
main	25 	hmac3100 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, -1) 	0 	HUT 	BUT 	0 	1 	LAD 	HAD 	0 	0
main	26 	hmac3100 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	True 	both 	(0, -1) 	1 	DAY 	DAY 	1 	0 	LAB 	LAD 	0 	0
main	27 	hmac3100 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	True 	both 	(0, 1) 	1 	FLU 	FUL 	0 	0 	SAW 	SAW 	1 	0
main	28 	hmac3100 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	0 	WAR 	FAX 	0 	1 	INN 	INK 	0 	0
main	29 	hmac3100 	 T1 	 True 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	0 	NAP 	PAD 	0 	-99 	-99 	-99 	-99 	0
main	30 	hmac3100 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, 1) 	0 	CUT 	CUT 	1 	1 	RAT 	FAD 	0 	0
main	31 	hmac3100 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, -1) 	0 	DIE 	DOG 	0 	1 	FOG 	FOG 	1 	0
main	32 	hmac3100 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, 1) 	1 	FEE 	FAC 	0 	0 	ACT 	ACT 	1 	0
main	33 	hmac3100 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	1 	FIX 	FIX 	1 	0 	FAN 	FAX 	0 	0
main	34 	hmac3100 	 T1 	 True 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, -1) 	0 	ATE 	PEN 	0 	-99 	-99 	-99 	-99 	0
main	35 	hmac3100 	 T1 	 True 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, 1) 	0 	HAM 	WAX 	0 	-99 	-99 	-99 	-99 	0
main	36 	hmac3100 	 T1 	 True 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	0 	DRY 	SAD 	0 	-99 	-99 	-99 	-99 	0
main	37 	hmac3100 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	False 	both 	(0, -1) 	0 	DIG 	CAP 	0 	1 	CAP 	CAP 	1 	0
main	38 	hmac3100 	 T1 	 True 	 0.0 	1.0 	-0.0 	False 	False 	False 	both 	(0, 1) 	0 	NUT 	NUT 	1 	-99 	-99 	-99 	-99 	0
