experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	huho7028 	 T1 	 True 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	WEB 	WEB 	1 	-99 	-99 	-99 	-99 	0
main	1 	huho7028 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	DAD 	DAD 	1 	1 	MOB 	MYE 	0 	0
main	2 	huho7028 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	CAN 	SEA 	0 	-99 	-99 	-99 	-99 	0
main	3 	huho7028 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	CAR 	CAR 	1 	1 	MIX 	MIX 	1 	0
main	4 	huho7028 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	PIE 	BRA 	0 	0 	PUT 	PUT 	1 	0
main	5 	huho7028 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	RAW 	UNI 	0 	0 	DIP 	DIP 	1 	0
main	6 	huho7028 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	RED 	TOP 	0 	0 	WHO 	WHO 	1 	0
main	7 	huho7028 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, -1) 	0 	TWO 	END 	0 	1 	END 	END 	1 	0
main	8 	huho7028 	 T1 	 False 	 0.0 	1.0 	-0.55 	False 	False 	False 	both 	(0, 1) 	0 	SIN 	TOP 	0 	1 	JAM 	CAR 	0 	0
main	9 	huho7028 	 T1 	 True 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, -1) 	0 	TUB 	GET 	0 	-99 	-99 	-99 	-99 	0
main	10 	huho7028 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	True 	both 	(0, -1) 	1 	TEN 	DIG 	0 	0 	RUG 	RUG 	1 	0
main	11 	huho7028 	 T1 	 True 	 0.0 	2.0 	0.65 	False 	False 	False 	both 	(0, -1) 	0 	HEY 	HEY 	1 	-99 	-99 	-99 	-99 	0
main	12 	huho7028 	 T1 	 True 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, 1) 	0 	ADD 	MOM 	0 	-99 	-99 	-99 	-99 	0
main	13 	huho7028 	 T1 	 True 	 0.0 	2.0 	0.65 	False 	False 	False 	both 	(0, 1) 	0 	LET 	GET 	0 	-99 	-99 	-99 	-99 	0
main	14 	huho7028 	 T1 	 False 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, 1) 	0 	SUN 	SUN 	1 	1 	ROB 	CUM 	0 	0
main	15 	huho7028 	 T1 	 True 	 0.0 	3.0 	0.15 	False 	False 	False 	both 	(0, -1) 	0 	TEA 	TEA 	1 	-99 	-99 	-99 	-99 	0
main	16 	huho7028 	 T1 	 False 	 0.0 	2.0 	0.75 	False 	False 	True 	both 	(0, 1) 	1 	CUT 	DAD 	0 	0 	SUM 	BED 	0 	0
main	17 	huho7028 	 T1 	 False 	 0.0 	3.0 	0.05 	False 	False 	True 	both 	(0, -1) 	1 	NAP 	IDK 	0 	0 	ROB 	ROB 	1 	0
