experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	ibur4151 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	RAY 	RAN 	0 	0 	JOY 	JOY 	1 	0
main	1 	ibur4151 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	RED 	BOW 	0 	-99 	-99 	-99 	-99 	0
main	2 	ibur4151 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	LIT 	LIT 	1 	-99 	-99 	-99 	-99 	0
main	3 	ibur4151 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	PAN 	PAT 	0 	1 	FUN 	FUN 	1 	0
main	4 	ibur4151 	 T1 	 True 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	MIX 	MIX 	1 	-99 	-99 	-99 	-99 	0
main	5 	ibur4151 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	BRA 	RAN 	0 	0 	NET 	BAR 	0 	0
main	6 	ibur4151 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	GYM 	GYM 	1 	0 	DAY 	DAY 	1 	0
main	7 	ibur4151 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	FUR 	SHY 	0 	1 	SHY 	SHY 	1 	0
main	8 	ibur4151 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	MAD 	LET 	0 	1 	LET 	MAD 	0 	0
main	9 	ibur4151 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	SON 	SAY 	0 	0 	SUM 	SUN 	0 	0
main	10 	ibur4151 	 T1 	 True 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	BAD 	LEG 	0 	-99 	-99 	-99 	-99 	0
