experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	ilac4471 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	PIT 	PIT 	1 	1 	SUE 	SUR 	0 	0
main	1 	ilac4471 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	DOG 	JOB 	0 	-99 	-99 	-99 	-99 	0
main	2 	ilac4471 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	RAP 	RAP 	1 	1 	EAT 	EAT 	1 	0
main	3 	ilac4471 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	DRY 	DRY 	1 	1 	BET 	BET 	1 	0
main	4 	ilac4471 	 T1 	 True 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	WAR 	SUN 	0 	-99 	-99 	-99 	-99 	0
main	5 	ilac4471 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	DIE 	DIR 	0 	0 	ACE 	ACE 	1 	0
main	6 	ilac4471 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	MIX 	DIE 	0 	-99 	-99 	-99 	-99 	0
main	7 	ilac4471 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	ZOO 	ZOO 	1 	-99 	-99 	-99 	-99 	0
main	8 	ilac4471 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	ZOO 	ZOO 	1 	0 	MOM 	MOM 	1 	0
main	9 	ilac4471 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	BEG 	RUG 	0 	1 	TUB 	TUB 	1 	0
main	10 	ilac4471 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	FAX 	REX 	0 	0 	ART 	ART 	1 	0
main	11 	ilac4471 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	1 	ARE 	ARE 	1 	0 	LET 	ARE 	0 	0
main	12 	ilac4471 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	1 	MUD 	MUD 	1 	0 	ASK 	ASK 	1 	0
main	13 	ilac4471 	 T1 	 False 	 0.0 	1.0 	-0.55 	False 	False 	False 	both 	(0, 1) 	0 	OIL 	ART 	0 	1 	HOT 	ART 	0 	0
main	14 	ilac4471 	 T1 	 True 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, 1) 	0 	INK 	DOE 	0 	-99 	-99 	-99 	-99 	0
main	15 	ilac4471 	 T1 	 False 	 0.0 	2.0 	0.45 	False 	False 	True 	both 	(0, 1) 	1 	CUT 	CUT 	1 	0 	EAR 	EAT 	0 	0
main	16 	ilac4471 	 T1 	 True 	 0.0 	2.0 	0.45 	False 	False 	True 	both 	(0, -1) 	0 	ASK 	ACE 	0 	-99 	-99 	-99 	-99 	0
main	17 	ilac4471 	 T1 	 False 	 0.0 	2.0 	0.95 	False 	False 	False 	both 	(0, 1) 	0 	WOW 	WOW 	1 	1 	SEX 	SEX 	1 	0
main	18 	ilac4471 	 T1 	 False 	 0.0 	2.0 	0.95 	False 	False 	False 	both 	(0, -1) 	0 	SHY 	SPY 	0 	1 	CUP 	CUP 	1 	0
main	19 	ilac4471 	 T1 	 True 	 0.0 	2.0 	0.55 	False 	False 	False 	both 	(0, -1) 	0 	YES 	YES 	1 	-99 	-99 	-99 	-99 	0
main	20 	ilac4471 	 T1 	 True 	 0.0 	2.0 	0.55 	False 	False 	False 	both 	(0, 1) 	0 	TIN 	THI 	0 	-99 	-99 	-99 	-99 	0
main	21 	ilac4471 	 T1 	 False 	 0.0 	2.0 	0.85 	False 	False 	True 	both 	(0, -1) 	1 	POD 	POP 	0 	0 	HOW 	HOW 	1 	0
main	22 	ilac4471 	 T1 	 False 	 0.0 	2.0 	0.85 	False 	False 	False 	both 	(0, -1) 	0 	SHE 	SHE 	1 	1 	CUE 	CAN 	0 	0
main	23 	ilac4471 	 T1 	 False 	 0.0 	2.0 	0.55 	False 	False 	True 	both 	(0, 1) 	1 	DIP 	POP 	0 	0 	DRY 	DRY 	1 	0
