experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	jalu3808 	 T1 	 False 	 0.0 	52 	0.9 	True 	True 	True 	both 	(0, 1) 	1 	N 	N 	1 	0 	G 	G 	1 	0
main	1 	jalu3808 	 T1 	 False 	 0.0 	40 	0.9 	True 	True 	False 	both 	(0, -1) 	0 	R 	R 	1 	1 	S 	S 	1 	0
main	2 	jalu3808 	 T1 	 False 	 0.0 	32 	0.9 	True 	True 	False 	both 	(0, 1) 	0 	E 	E 	1 	1 	Y 	Y 	1 	0
main	3 	jalu3808 	 T1 	 False 	 0.0 	32 	0.9 	True 	True 	False 	both 	(0, 1) 	0 	U 	U 	1 	1 	G 	G 	1 	0
main	4 	jalu3808 	 T1 	 False 	 0.0 	24 	0.9 	True 	True 	True 	both 	(0, -1) 	1 	F 	F 	1 	0 	R 	R 	1 	0
main	5 	jalu3808 	 T1 	 True 	 0.0 	4.0 	0.9 	True 	True 	False 	both 	(0, 1) 	0 	U 	U 	1 	-99 	-99 	-99 	-99 	0
main	6 	jalu3808 	 T1 	 False 	 0.0 	4.0 	0.3 	True 	True 	False 	both 	(0, -1) 	0 	R 	N 	0 	1 	N 	R 	0 	0
main	7 	jalu3808 	 T1 	 True 	 0.0 	4.0 	0.9 	True 	True 	True 	both 	(0, -1) 	0 	Z 	M 	0 	-99 	-99 	-99 	-99 	0
main	8 	jalu3808 	 T1 	 False 	 0.0 	5.0 	0.5 	True 	True 	True 	both 	(0, -1) 	1 	Y 	Y 	1 	0 	T 	T 	1 	0
main	9 	jalu3808 	 T1 	 True 	 0.0 	5.0 	0.5 	True 	True 	True 	both 	(0, 1) 	0 	H 	N 	0 	-99 	-99 	-99 	-99 	0
main	10 	jalu3808 	 T1 	 True 	 0.0 	6.0 	0.1 	True 	True 	False 	both 	(0, -1) 	0 	F 	R 	0 	-99 	-99 	-99 	-99 	0
main	11 	jalu3808 	 T1 	 False 	 0.0 	6.0 	0.7 	True 	True 	True 	both 	(0, 1) 	1 	F 	F 	1 	0 	U 	U 	1 	0
main	12 	jalu3808 	 T1 	 False 	 0.0 	6.0 	0.7 	True 	True 	True 	both 	(0, 1) 	1 	Z 	Z 	1 	0 	N 	N 	1 	0
main	13 	jalu3808 	 T1 	 False 	 0.0 	6.0 	0.2 	True 	True 	False 	both 	(0, -1) 	0 	J 	J 	1 	1 	J 	I 	0 	0
main	14 	jalu3808 	 T1 	 False 	 0.0 	6.0 	0.2 	True 	True 	False 	both 	(0, 1) 	0 	C 	C 	1 	1 	T 	T 	1 	0
main	15 	jalu3808 	 T1 	 True 	 0.0 	5.0 	0.7 	True 	True 	True 	both 	(0, 1) 	0 	Z 	T 	0 	-99 	-99 	-99 	-99 	0
main	16 	jalu3808 	 T1 	 True 	 0.0 	6.0 	0.2 	True 	True 	False 	both 	(0, -1) 	0 	H 	H 	1 	-99 	-99 	-99 	-99 	0
main	17 	jalu3808 	 T1 	 True 	 0.0 	6.0 	0.2 	True 	True 	True 	both 	(0, -1) 	0 	A 	M 	0 	-99 	-99 	-99 	-99 	0
main	18 	jalu3808 	 T1 	 True 	 0.0 	6.0 	0.7 	True 	True 	False 	both 	(0, 1) 	0 	Z 	Z 	1 	-99 	-99 	-99 	-99 	0
main	19 	jalu3808 	 T1 	 False 	 0.0 	6.0 	0.7 	True 	True 	False 	both 	(0, 1) 	0 	K 	K 	1 	1 	A 	G 	0 	0
main	20 	jalu3808 	 T1 	 False 	 0.0 	6.0 	0.3 	True 	True 	True 	both 	(0, -1) 	1 	K 	K 	1 	0 	H 	H 	1 	0
main	21 	jalu3808 	 T1 	 False 	 0.0 	6.0 	0.3 	True 	True 	False 	both 	(0, -1) 	0 	Z 	Z 	1 	1 	F 	F 	1 	0
main	22 	jalu3808 	 T1 	 False 	 0.0 	5.0 	0.9 	True 	True 	True 	both 	(0, -1) 	1 	A 	S 	0 	0 	M 	M 	1 	0
main	23 	jalu3808 	 T1 	 False 	 0.0 	5.0 	0.9 	True 	True 	True 	both 	(0, 1) 	1 	U 	U 	1 	0 	K 	K 	1 	0
main	24 	jalu3808 	 T1 	 True 	 0.0 	5.0 	0.5 	True 	True 	False 	both 	(0, -1) 	0 	S 	S 	1 	-99 	-99 	-99 	-99 	0
main	25 	jalu3808 	 T1 	 False 	 0.0 	5.0 	0.5 	True 	True 	True 	both 	(0, -1) 	1 	T 	T 	1 	0 	H 	H 	1 	0
main	26 	jalu3808 	 T1 	 False 	 0.0 	5.0 	0.1 	True 	True 	False 	both 	(0, 1) 	0 	G 	G 	1 	1 	F 	T 	0 	0
main	27 	jalu3808 	 T1 	 False 	 0.0 	5.0 	0.1 	True 	True 	True 	both 	(0, 1) 	1 	T 	T 	1 	0 	C 	C 	1 	0
main	28 	jalu3808 	 T1 	 False 	 0.0 	4.0 	0.7 	True 	True 	False 	both 	(0, -1) 	0 	R 	J 	0 	1 	J 	I 	0 	0
main	29 	jalu3808 	 T1 	 True 	 0.0 	5.0 	0.0 	True 	True 	False 	both 	(0, 1) 	0 	K 	K 	1 	-99 	-99 	-99 	-99 	0
main	30 	jalu3808 	 T1 	 False 	 0.0 	5.0 	0.0 	True 	True 	False 	both 	(0, -1) 	0 	Y 	K 	0 	1 	U 	U 	1 	0
main	31 	jalu3808 	 T1 	 False 	 0.0 	4.0 	0.7 	True 	True 	False 	both 	(0, 1) 	0 	A 	A 	1 	1 	T 	T 	1 	0
main	32 	jalu3808 	 T1 	 False 	 0.0 	4.0 	0.7 	True 	True 	True 	both 	(0, 1) 	1 	T 	K 	0 	0 	T 	T 	1 	0
main	33 	jalu3808 	 T1 	 False 	 0.0 	4.0 	0.4 	True 	True 	True 	both 	(0, -1) 	1 	E 	E 	1 	0 	U 	U 	1 	0
