experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	jhat0038 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	T 	T 	1 	2 	Y 	Y 	1 	1 	S 	S 	1 	0
main	1 	jhat0038 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	T 	T 	1 	2 	F 	F 	1 	0 	J 	J 	1 	0
main	2 	jhat0038 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	2 	S 	S 	1 	1 	G 	G 	1 	0 	C 	C 	1 	0
main	3 	jhat0038 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	H 	H 	1 	2 	Y 	Y 	1 	1 	G 	G 	1 	0
main	4 	jhat0038 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	Y 	J 	0 	0 	K 	K 	1 	1 	J 	Y 	0 	0
main	5 	jhat0038 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	N 	N 	1 	0 	N 	M 	0 	2 	M 	U 	0 	0
main	6 	jhat0038 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	2 	Z 	Z 	1 	0 	E 	E 	1 	1 	N 	N 	1 	0
main	7 	jhat0038 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	U 	U 	1 	1 	T 	F 	0 	2 	F 	C 	0 	0
main	8 	jhat0038 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	0 	J 	J 	1 	1 	R 	F 	0 	2 	F 	R 	0 	0
main	9 	jhat0038 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	N 	N 	1 	0 	Z 	Z 	1 	1 	S 	S 	1 	0
main	10 	jhat0038 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	M 	M 	1 	0 	Z 	Z 	1 	2 	N 	S 	0 	0
main	11 	jhat0038 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	C 	C 	1 	2 	N 	N 	1 	0 	T 	T 	1 	0
main	12 	jhat0038 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	Y 	Y 	1 	2 	Z 	Z 	1 	1 	C 	C 	1 	0
main	13 	jhat0038 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	2 	S 	S 	1 	1 	F 	H 	0 	0 	H 	C 	0 	0
main	14 	jhat0038 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	False 	both 	(0, 1) 	2 	A 	A 	1 	0 	H 	H 	1 	1 	H 	N 	0 	0
main	15 	jhat0038 	 T1 	 False 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	S 	S 	1 	0 	C 	C 	1 	2 	A 	A 	1 	0
main	16 	jhat0038 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	False 	both 	(0, 1) 	2 	S 	S 	1 	0 	J 	J 	1 	1 	A 	A 	1 	0
main	17 	jhat0038 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	True 	both 	(0, -1) 	0 	H 	H 	1 	2 	N 	N 	1 	1 	U 	U 	1 	0
main	18 	jhat0038 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, 1) 	0 	S 	S 	1 	2 	H 	K 	0 	1 	K 	J 	0 	0
main	19 	jhat0038 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	False 	both 	(0, -1) 	1 	K 	K 	1 	2 	A 	A 	1 	0 	R 	R 	1 	0
main	20 	jhat0038 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	True 	both 	(0, 1) 	0 	R 	R 	1 	1 	F 	F 	1 	2 	C 	C 	1 	0
main	21 	jhat0038 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	G 	G 	1 	1 	U 	R 	0 	0 	G 	C 	0 	0
main	22 	jhat0038 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	True 	both 	(0, -1) 	1 	U 	U 	1 	0 	R 	H 	0 	2 	J 	J 	1 	0
main	23 	jhat0038 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	False 	both 	(0, -1) 	1 	N 	N 	1 	0 	C 	C 	1 	2 	J 	J 	1 	0
main	24 	jhat0038 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	T 	T 	1 	1 	Z 	Z 	1 	2 	T 	T 	1 	0
main	25 	jhat0038 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	F 	F 	1 	0 	R 	R 	1 	2 	K 	K 	1 	0
main	26 	jhat0038 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, -1) 	0 	E 	E 	1 	1 	S 	Y 	0 	2 	M 	S 	0 	0
main	27 	jhat0038 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	J 	J 	1 	2 	G 	G 	1 	0 	K 	K 	1 	0
main	28 	jhat0038 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	F 	J 	0 	0 	H 	F 	0 	2 	N 	F 	0 	0
main	29 	jhat0038 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	False 	both 	(0, 1) 	1 	R 	K 	0 	2 	K 	R 	0 	0 	N 	S 	0 	0
main	30 	jhat0038 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	1 	N 	N 	1 	0 	J 	J 	1 	2 	U 	A 	0 	0
