experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	jhep7570 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	FLY 	FLY 	1 	0 	MIX 	MIX 	1 	0
main	1 	jhep7570 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	BUD 	NUN 	0 	-99 	-99 	-99 	-99 	0
main	2 	jhep7570 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	NOW 	NOW 	1 	1 	WHY 	WHY 	1 	0
main	3 	jhep7570 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	BUD 	BUD 	1 	-99 	-99 	-99 	-99 	0
main	4 	jhep7570 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	SUN 	SUN 	1 	0 	PAL 	PAL 	1 	0
main	5 	jhep7570 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	WAR 	WAR 	1 	1 	POT 	POT 	1 	0
main	6 	jhep7570 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	RUG 	PUG 	0 	-99 	-99 	-99 	-99 	0
main	7 	jhep7570 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	RAP 	RAT 	0 	1 	ZOO 	ZOO 	1 	0
main	8 	jhep7570 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	OUR 	PIE 	0 	-99 	-99 	-99 	-99 	0
main	9 	jhep7570 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	OLD 	OLD 	1 	1 	HAT 	HAT 	1 	0
main	10 	jhep7570 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	FLU 	FLU 	1 	0 	AGO 	AGO 	1 	0
main	11 	jhep7570 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	FUN 	FUN 	1 	0 	FEE 	LEE 	0 	0
main	12 	jhep7570 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	LEG 	LEG 	1 	1 	WEE 	WEE 	1 	0
main	13 	jhep7570 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	RAY 	RAD 	0 	1 	FAR 	FAR 	1 	0
main	14 	jhep7570 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	HUG 	HUG 	1 	0 	BAY 	BAY 	1 	0
main	15 	jhep7570 	 T1 	 True 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, -1) 	0 	PIN 	KEY 	0 	-99 	-99 	-99 	-99 	0
main	16 	jhep7570 	 T1 	 True 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	FLU 	FLU 	1 	-99 	-99 	-99 	-99 	0
main	17 	jhep7570 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	SIT 	SIT 	1 	1 	TON 	TON 	1 	0
