experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	jhwa3551 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	J 	J 	1 	2 	G 	G 	1 	0 	G 	G 	1 	0
main	1 	jhwa3551 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	F 	F 	1 	0 	R 	R 	1 	1 	G 	G 	1 	0
main	2 	jhwa3551 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	K 	K 	1 	2 	Y 	Y 	1 	0 	N 	N 	1 	0
main	3 	jhwa3551 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	K 	K 	1 	1 	S 	D 	0 	0 	K 	H 	0 	0
main	4 	jhwa3551 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	S 	S 	1 	0 	K 	K 	1 	1 	R 	R 	1 	0
main	5 	jhwa3551 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	G 	G 	1 	1 	M 	M 	1 	2 	T 	T 	1 	0
main	6 	jhwa3551 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	G 	I 	0 	2 	Y 	H 	0 	0 	K 	D 	0 	0
main	7 	jhwa3551 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	U 	U 	1 	2 	J 	J 	1 	0 	K 	K 	1 	0
main	8 	jhwa3551 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	U 	U 	1 	1 	Y 	Y 	1 	0 	F 	F 	1 	0
main	9 	jhwa3551 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	2 	R 	D 	0 	1 	K 	U 	0 	0 	R 	R 	1 	0
main	10 	jhwa3551 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	S 	S 	1 	1 	H 	H 	1 	2 	A 	A 	1 	0
main	11 	jhwa3551 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	Z 	Z 	1 	1 	S 	S 	1 	0 	C 	C 	1 	0
main	12 	jhwa3551 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, -1) 	2 	R 	R 	1 	0 	M 	M 	1 	1 	E 	E 	1 	0
main	13 	jhwa3551 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, 1) 	0 	C 	C 	1 	2 	N 	N 	1 	1 	K 	K 	1 	0
main	14 	jhwa3551 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, -1) 	1 	C 	C 	1 	0 	U 	U 	1 	2 	H 	H 	1 	0
main	15 	jhwa3551 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	0 	U 	U 	1 	1 	A 	A 	1 	2 	S 	S 	1 	0
main	16 	jhwa3551 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	1 	M 	M 	1 	2 	N 	N 	1 	0 	A 	A 	1 	0
main	17 	jhwa3551 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, -1) 	1 	E 	E 	1 	2 	M 	M 	1 	0 	R 	R 	1 	0
main	18 	jhwa3551 	 T1 	 False 	 0.0 	1.0 	-0.55 	False 	False 	True 	both 	(0, 1) 	2 	Y 	I 	0 	0 	J 	F 	0 	1 	F 	F 	1 	0
main	19 	jhwa3551 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	True 	both 	(0, -1) 	2 	H 	K 	0 	0 	F 	Y 	0 	1 	F 	F 	1 	0
main	20 	jhwa3551 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	0 	Y 	Y 	1 	1 	U 	U 	1 	2 	F 	F 	1 	0
main	21 	jhwa3551 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	0 	E 	E 	1 	2 	U 	U 	1 	1 	E 	U 	0 	0
main	22 	jhwa3551 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	False 	both 	(0, 1) 	2 	A 	A 	1 	0 	K 	K 	1 	1 	K 	R 	0 	0
