experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	jwei7370 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	K 	K 	1 	1 	S 	S 	1 	0 	U 	U 	1 	0
main	1 	jwei7370 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	R 	R 	1 	0 	C 	C 	1 	2 	Y 	Y 	1 	0
main	2 	jwei7370 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	F 	F 	1 	1 	S 	S 	1 	0 	E 	E 	1 	0
main	3 	jwei7370 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	N 	N 	1 	0 	U 	U 	1 	2 	S 	S 	1 	0
main	4 	jwei7370 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	C 	C 	1 	0 	N 	N 	1 	2 	C 	C 	1 	0
main	5 	jwei7370 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	M 	M 	1 	1 	T 	T 	1 	2 	A 	A 	1 	0
main	6 	jwei7370 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	1 	J 	J 	1 	2 	S 	S 	1 	0 	T 	T 	1 	0
main	7 	jwei7370 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	2 	J 	C 	0 	0 	N 	Y 	0 	1 	T 	Y 	0 	0
main	8 	jwei7370 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	Z 	Z 	1 	2 	Z 	Z 	1 	1 	Z 	Z 	1 	0
main	9 	jwei7370 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	0 	R 	R 	1 	2 	Z 	Z 	1 	1 	F 	F 	1 	0
main	10 	jwei7370 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, 1) 	1 	J 	J 	1 	2 	T 	S 	0 	0 	S 	F 	0 	0
main	11 	jwei7370 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	2 	H 	H 	1 	1 	C 	F 	0 	0 	K 	K 	1 	0
main	12 	jwei7370 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	2 	Y 	R 	0 	1 	R 	Y 	0 	0 	Y 	F 	0 	0
main	13 	jwei7370 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, -1) 	2 	N 	N 	1 	0 	F 	F 	1 	1 	G 	G 	1 	0
main	14 	jwei7370 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	1 	H 	N 	0 	0 	G 	G 	1 	2 	T 	T 	1 	0
main	15 	jwei7370 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	0 	H 	H 	1 	1 	K 	K 	1 	2 	Y 	Y 	1 	0
main	16 	jwei7370 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	Z 	Z 	1 	1 	T 	T 	1 	2 	N 	N 	1 	0
main	17 	jwei7370 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, -1) 	2 	A 	A 	1 	0 	C 	C 	1 	1 	H 	H 	1 	0
main	18 	jwei7370 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	0 	M 	M 	1 	2 	Y 	Y 	1 	1 	S 	S 	1 	0
main	19 	jwei7370 	 T1 	 False 	 0.0 	1.0 	-0.4 	False 	False 	False 	both 	(0, -1) 	0 	H 	H 	1 	2 	Y 	Y 	1 	1 	U 	S 	0 	0
main	20 	jwei7370 	 T1 	 False 	 0.0 	1.0 	-0.4 	False 	False 	True 	both 	(0, -1) 	2 	N 	H 	0 	1 	C 	S 	0 	0 	U 	Y 	0 	0
main	21 	jwei7370 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	1 	T 	H 	0 	0 	A 	C 	0 	2 	T 	S 	0 	0
main	22 	jwei7370 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	True 	both 	(0, -1) 	0 	H 	H 	1 	1 	K 	K 	1 	2 	A 	A 	1 	0
