experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	kcas6871 	 T1 	 True 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	GOD 	POY 	0 	-99 	-99 	-99 	-99 	0
main	1 	kcas6871 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	TON 	TON 	1 	0 	ASK 	TON 	0 	0
main	2 	kcas6871 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	CAT 	CAT 	1 	1 	SEC 	SEC 	1 	0
main	3 	kcas6871 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	SUE 	TON 	0 	0 	ASS 	ASS 	1 	0
main	4 	kcas6871 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	POP 	POP 	1 	1 	FUN 	FUN 	1 	0
main	5 	kcas6871 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	MEN 	ASK 	0 	-99 	-99 	-99 	-99 	0
main	6 	kcas6871 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	GOT 	GOT 	1 	0 	SAT 	SAT 	1 	0
main	7 	kcas6871 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	FOG 	FOT 	0 	0 	TOE 	TOE 	1 	0
main	8 	kcas6871 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	GUN 	GUN 	1 	-99 	-99 	-99 	-99 	0
main	9 	kcas6871 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	HAM 	HAM 	1 	1 	RED 	RED 	1 	0
main	10 	kcas6871 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	COP 	COP 	1 	-99 	-99 	-99 	-99 	0
main	11 	kcas6871 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	0 	LAB 	LAB 	1 	1 	SUE 	SUE 	1 	0
main	12 	kcas6871 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	0 	TEN 	TEN 	1 	1 	FLY 	FLY 	1 	0
main	13 	kcas6871 	 T1 	 True 	 0.0 	1.0 	-0.55 	False 	False 	True 	both 	(0, 1) 	0 	DRY 	RED 	0 	-99 	-99 	-99 	-99 	0
main	14 	kcas6871 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, -1) 	1 	BUG 	FET 	0 	0 	NAP 	NAP 	1 	0
main	15 	kcas6871 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, -1) 	0 	WON 	WOT 	0 	1 	LAB 	TOE 	0 	0
main	16 	kcas6871 	 T1 	 True 	 0.0 	2.0 	0.45 	False 	False 	False 	both 	(0, -1) 	0 	BIT 	BIT 	1 	-99 	-99 	-99 	-99 	0
main	17 	kcas6871 	 T1 	 False 	 0.0 	2.0 	0.45 	False 	False 	False 	both 	(0, 1) 	0 	KEY 	KEY 	1 	1 	RID 	RID 	1 	0
main	18 	kcas6871 	 T1 	 True 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, 1) 	0 	SUN 	SUN 	1 	-99 	-99 	-99 	-99 	0
main	19 	kcas6871 	 T1 	 True 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, -1) 	0 	CRY 	MUD 	0 	-99 	-99 	-99 	-99 	0
main	20 	kcas6871 	 T1 	 False 	 0.0 	2.0 	0.35 	False 	False 	False 	both 	(0, -1) 	0 	SHY 	SHY 	1 	1 	LOT 	LOT 	1 	0
main	21 	kcas6871 	 T1 	 False 	 0.0 	2.0 	0.35 	False 	False 	True 	both 	(0, 1) 	1 	HOW 	HOW 	1 	0 	MIX 	MIX 	1 	0
main	22 	kcas6871 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, -1) 	1 	BRA 	BRA 	1 	0 	TUB 	TUB 	1 	0
main	23 	kcas6871 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	1 	HUG 	HUG 	1 	0 	PUT 	PUT 	1 	0
