experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	khob3756 	 T1 	 True 	 0.0 	52 	0.9 	True 	True 	False 	both 	(0, -1) 	0 	A 	Q 	0 	-99 	-99 	-99 	-99 	0
main	1 	khob3756 	 T1 	 False 	 0.0 	40 	0.9 	True 	True 	True 	both 	(0, 1) 	1 	U 	U 	1 	0 	U 	U 	1 	0
main	2 	khob3756 	 T1 	 False 	 0.0 	32 	0.9 	True 	True 	False 	both 	(0, 1) 	0 	K 	K 	1 	1 	H 	H 	1 	0
main	3 	khob3756 	 T1 	 False 	 0.0 	32 	0.9 	True 	True 	True 	both 	(0, 1) 	1 	H 	H 	1 	0 	T 	T 	1 	0
main	4 	khob3756 	 T1 	 True 	 0.0 	24 	0.9 	True 	True 	True 	both 	(0, -1) 	0 	S 	K 	0 	-99 	-99 	-99 	-99 	0
main	5 	khob3756 	 T1 	 True 	 0.0 	4.0 	0.9 	True 	True 	True 	both 	(0, 1) 	0 	K 	U 	0 	-99 	-99 	-99 	-99 	0
main	6 	khob3756 	 T1 	 False 	 0.0 	5.0 	0.5 	True 	True 	True 	both 	(0, -1) 	1 	S 	S 	1 	0 	F 	T 	0 	0
main	7 	khob3756 	 T1 	 False 	 0.0 	4.0 	0.9 	True 	True 	False 	both 	(0, 1) 	0 	K 	K 	1 	1 	J 	J 	1 	0
main	8 	khob3756 	 T1 	 False 	 0.0 	4.0 	0.9 	True 	True 	False 	both 	(0, -1) 	0 	F 	T 	0 	1 	F 	T 	0 	0
main	9 	khob3756 	 T1 	 True 	 0.0 	5.0 	0.4 	True 	True 	False 	both 	(0, 1) 	0 	N 	N 	1 	-99 	-99 	-99 	-99 	0
main	10 	khob3756 	 T1 	 False 	 0.0 	5.0 	0.4 	True 	True 	False 	both 	(0, -1) 	0 	A 	A 	1 	1 	R 	R 	1 	0
main	11 	khob3756 	 T1 	 False 	 0.0 	4.0 	0.9 	True 	True 	True 	both 	(0, -1) 	1 	N 	N 	1 	0 	R 	N 	0 	0
main	12 	khob3756 	 T1 	 False 	 0.0 	4.0 	0.9 	True 	True 	True 	both 	(0, 1) 	1 	U 	U 	1 	0 	U 	U 	1 	0
