experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	lang2356 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	Z 	S 	0 	1 	T 	T 	1 	0 	K 	K 	1 	0
main	1 	lang2356 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	2 	Y 	Y 	1 	0 	K 	K 	1 	1 	N 	N 	1 	0
main	2 	lang2356 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	S 	S 	1 	0 	Z 	Z 	1 	2 	F 	F 	1 	0
main	3 	lang2356 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	G 	G 	1 	2 	K 	K 	1 	0 	E 	E 	1 	0
main	4 	lang2356 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	K 	K 	1 	0 	F 	F 	1 	1 	Y 	Y 	1 	0
main	5 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	K 	K 	1 	2 	H 	H 	1 	1 	C 	C 	1 	0
main	6 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	U 	U 	1 	2 	C 	C 	1 	0 	G 	G 	1 	0
main	7 	lang2356 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	0 	T 	S 	0 	2 	K 	G 	0 	1 	Y 	K 	0 	0
main	8 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	2 	J 	J 	1 	0 	A 	A 	1 	1 	U 	U 	1 	0
main	9 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	2 	U 	U 	1 	0 	N 	N 	1 	1 	A 	A 	1 	0
main	10 	lang2356 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, 1) 	0 	E 	G 	0 	2 	Y 	C 	0 	1 	N 	E 	0 	0
main	11 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	2 	M 	M 	1 	1 	C 	C 	1 	0 	U 	U 	1 	0
main	12 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	1 	S 	S 	1 	2 	U 	U 	1 	0 	R 	R 	1 	0
main	13 	lang2356 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, 1) 	2 	G 	K 	0 	0 	C 	C 	1 	1 	G 	G 	1 	0
main	14 	lang2356 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	0 	M 	M 	1 	2 	H 	N 	0 	1 	N 	N 	1 	0
main	15 	lang2356 	 T1 	 False 	 0.0 	1.0 	-0.5 	False 	False 	True 	both 	(0, -1) 	2 	Z 	C 	0 	1 	H 	C 	0 	0 	A 	G 	0 	0
main	16 	lang2356 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, 1) 	1 	S 	A 	0 	0 	N 	N 	1 	2 	C 	A 	0 	0
main	17 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, 1) 	2 	K 	K 	1 	1 	C 	C 	1 	0 	F 	F 	1 	0
main	18 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, -1) 	1 	Y 	Y 	1 	2 	U 	C 	0 	0 	U 	U 	1 	0
main	19 	lang2356 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, 1) 	0 	C 	C 	1 	2 	G 	N 	0 	1 	E 	M 	0 	0
main	20 	lang2356 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	1 	N 	M 	0 	0 	G 	A 	0 	2 	A 	G 	0 	0
main	21 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	2 	A 	S 	0 	1 	A 	A 	1 	0 	S 	G 	0 	0
main	22 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, -1) 	1 	H 	H 	1 	2 	E 	E 	1 	0 	R 	R 	1 	0
main	23 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, 1) 	2 	U 	U 	1 	0 	Y 	Y 	1 	1 	N 	N 	1 	0
main	24 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, -1) 	1 	Z 	Z 	1 	0 	C 	C 	1 	2 	S 	S 	1 	0
main	25 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	T 	T 	1 	2 	H 	H 	1 	0 	T 	E 	0 	0
main	26 	lang2356 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	0 	F 	T 	0 	2 	C 	K 	0 	1 	Y 	C 	0 	0
main	27 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, -1) 	2 	U 	U 	1 	1 	F 	F 	1 	0 	U 	C 	0 	0
main	28 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, -1) 	0 	M 	M 	1 	2 	A 	C 	0 	1 	S 	S 	1 	0
main	29 	lang2356 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	2 	N 	S 	0 	0 	A 	C 	0 	1 	T 	J 	0 	0
main	30 	lang2356 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, 1) 	1 	Y 	T 	0 	0 	R 	R 	1 	2 	Y 	S 	0 	0
main	31 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, 1) 	1 	A 	S 	0 	0 	T 	T 	1 	2 	Z 	S 	0 	0
main	32 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	1 	K 	S 	0 	0 	A 	A 	1 	2 	H 	C 	0 	0
main	33 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, 1) 	1 	U 	U 	1 	2 	E 	E 	1 	0 	M 	S 	0 	0
main	34 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, 1) 	0 	Y 	Y 	1 	2 	R 	S 	0 	1 	H 	R 	0 	0
main	35 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, -1) 	2 	U 	U 	1 	1 	M 	M 	1 	0 	G 	G 	1 	0
main	36 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, -1) 	0 	T 	T 	1 	1 	R 	R 	1 	2 	R 	S 	0 	0
main	37 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	2 	T 	T 	1 	1 	J 	S 	0 	0 	T 	J 	0 	0
main	38 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, 1) 	2 	J 	J 	1 	1 	C 	C 	1 	0 	U 	X 	0 	0
main	39 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, -1) 	0 	G 	G 	1 	1 	H 	H 	1 	2 	J 	J 	1 	0
main	40 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	S 	S 	1 	1 	T 	T 	1 	2 	C 	C 	1 	0
main	41 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	Y 	J 	0 	0 	Y 	J 	0 	2 	J 	T 	0 	0
main	42 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, -1) 	1 	Z 	Z 	1 	0 	K 	X 	0 	2 	Y 	Y 	1 	0
main	43 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, 1) 	2 	R 	S 	0 	1 	R 	R 	1 	0 	H 	C 	0 	0
main	44 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	M 	M 	1 	2 	G 	S 	0 	1 	U 	G 	0 	0
main	45 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.25 	False 	False 	True 	both 	(0, -1) 	2 	F 	Z 	0 	0 	Z 	S 	0 	1 	K 	C 	0 	0
main	46 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	1 	E 	E 	1 	0 	R 	R 	1 	2 	E 	E 	1 	0
main	47 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	E 	G 	0 	2 	G 	R 	0 	0 	E 	E 	1 	0
main	48 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.35 	False 	False 	False 	both 	(0, -1) 	2 	M 	M 	1 	0 	T 	T 	1 	1 	G 	G 	1 	0
main	49 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.35 	False 	False 	True 	both 	(0, -1) 	2 	R 	R 	1 	1 	A 	E 	0 	0 	H 	S 	0 	0
main	50 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	1 	T 	T 	1 	2 	F 	F 	1 	0 	U 	U 	1 	0
main	51 	lang2356 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	0 	R 	F 	0 	2 	N 	N 	1 	1 	S 	S 	1 	0
