experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	llai6986 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	TWO 	TWO 	1 	1 	RUM 	RUM 	1 	0
main	1 	llai6986 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	BUY 	BUY 	1 	0 	APE 	APE 	1 	0
main	2 	llai6986 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	HIM 	HIM 	1 	0 	KEY 	KEY 	1 	0
main	3 	llai6986 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	MUD 	MUD 	1 	-99 	-99 	-99 	-99 	0
main	4 	llai6986 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	NOT 	NOT 	1 	1 	GAG 	GAG 	1 	0
main	5 	llai6986 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	HAS 	NOT 	0 	0 	OUT 	HAS 	0 	0
main	6 	llai6986 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	FRY 	FRY 	1 	-99 	-99 	-99 	-99 	0
main	7 	llai6986 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	WAR 	WED 	0 	0 	JET 	JET 	1 	0
main	8 	llai6986 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	TUB 	SIX 	0 	-99 	-99 	-99 	-99 	0
main	9 	llai6986 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	0 	SAY 	TOO 	0 	-99 	-99 	-99 	-99 	0
main	10 	llai6986 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	GOD 	GOD 	1 	1 	DUE 	DUE 	1 	0
main	11 	llai6986 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	HIM 	HIM 	1 	1 	TOE 	TOE 	1 	0
main	12 	llai6986 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	FEW 	TOR 	0 	1 	NOR 	NOR 	1 	0
main	13 	llai6986 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	0 	WOW 	SIX 	0 	-99 	-99 	-99 	-99 	0
main	14 	llai6986 	 T1 	 True 	 0.0 	3.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	HER 	HER 	1 	-99 	-99 	-99 	-99 	0
main	15 	llai6986 	 T1 	 False 	 0.0 	3.0 	0.8 	False 	False 	True 	both 	(0, -1) 	1 	SKI 	SKI 	1 	0 	HUT 	HUT 	1 	0
main	16 	llai6986 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	BUD 	BUD 	1 	1 	WEE 	WEE 	1 	0
