8.9650 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-0.7, -0.7, -0.7]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1ABF8130>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units='deg', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=False, winType='pyglet')
8.9650 	INFO 	Mouse: using default window
8.9653 	EXP 	window1: units = 'norm'
9.0460 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([-0.5,  0. ]), size=array([ 1.290625  ,  3.24814815]), texRes=128, units='norm', win=Window(...))
9.1213 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 1.290625  ,  3.24814815]), texRes=128, units='norm', win=Window(...))
9.1387 	EXP 	Created OKrespZone = GratingStim(autoDraw=False, autoLog=True, color=array([ 1. ,  0.5,  0.5]), colorSpace='rgb', contrast=1.0, depth=0, interpolate=False, mask='gauss', maskParams=None, name='OKrespZone', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([-0.2 , -0.92]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.,  0.]), size=array([ 2.3,  0.2]), tex='sin', texRes=256, units='norm', win=Window(...))
9.2844 	EXP 	unnamed ImageStim: size = (1, 2)
9.2844 	EXP 	unnamed ImageStim: size = (1, 2)
109.3457 	DATA 	Mouse: Left button down, pos=(819,38)
109.3622 	EXP 	window1: units = 'deg'
109.3624 	EXP 	window1: units = 'norm'
109.3828 	EXP 	Created OKrespZone = GratingStim(autoDraw=False, autoLog=True, color=array([ 1. ,  0.5,  0.5]), colorSpace='rgb', contrast=1.0, depth=0, interpolate=False, mask='gauss', maskParams=None, name='OKrespZone', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([-0.2 , -0.92]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.,  0.]), size=array([ 2.3,  0.2]), tex='sin', texRes=256, units='norm', win=Window(...))
109.4682 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='abgdj\\PISandConsentForm\\consentForm.png', interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.3375    ,  2.97407407]), texRes=128, units='norm', win=Window(...))
109.5060 	EXP 	Created unnamed GratingStim = GratingStim(autoDraw=False, autoLog=True, color=array([ 1. ,  0.5,  0.5]), colorSpace='rgb', contrast=1.0, depth=0, interpolate=False, mask='gauss', maskParams=None, name='unnamed GratingStim', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([-0.2 , -0.42]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.,  0.]), size=array([ 0.3,  0.2]), tex='sin', texRes=256, units='norm', win=Window(...))
109.5374 	EXP 	Created unnamed GratingStim = GratingStim(autoDraw=False, autoLog=True, color=array([ 1. ,  0.5,  0.5]), colorSpace='rgb', contrast=1.0, depth=0, interpolate=False, mask='gauss', maskParams=None, name='unnamed GratingStim', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.1 , -0.42]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.,  0.]), size=array([ 0.3,  0.2]), tex='sin', texRes=256, units='norm', win=Window(...))
109.5602 	EXP 	Created unnamed GratingStim = GratingStim(autoDraw=False, autoLog=True, color=array([ 1. ,  0.5,  0.5]), colorSpace='rgb', contrast=1.0, depth=0, interpolate=False, mask='gauss', maskParams=None, name='unnamed GratingStim', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([-0.2 , -0.72]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.,  0.]), size=array([ 0.3,  0.2]), tex='sin', texRes=256, units='norm', win=Window(...))
109.5820 	EXP 	Created unnamed GratingStim = GratingStim(autoDraw=False, autoLog=True, color=array([ 1. ,  0.5,  0.5]), colorSpace='rgb', contrast=1.0, depth=0, interpolate=False, mask='gauss', maskParams=None, name='unnamed GratingStim', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.1 , -0.72]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.,  0.]), size=array([ 0.3,  0.2]), tex='sin', texRes=256, units='norm', win=Window(...))
109.5853 	DATA 	Mouse:  Left button up, pos=(819,38)
109.5919 	EXP 	unnamed ImageStim: size = (1.1, 2)
124.8292 	DATA 	Mouse: Left button down, pos=(773,312)
124.9124 	DATA 	Mouse:  Left button up, pos=(773,312)
127.9626 	DATA 	Mouse: Left button down, pos=(764,146)
128.0623 	DATA 	Mouse:  Left button up, pos=(764,146)
129.0792 	DATA 	Mouse: Left button down, pos=(745,42)
129.0957 	EXP 	window1: units = 'deg'
129.1008 	EXP 	window1: mouseVisible = True
