experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	mpor5671 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	LIP 	LIP 	1 	1 	HAT 	HIP 	0 	0
main	1 	mpor5671 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	GUM 	GUM 	1 	1 	SUE 	SUE 	1 	0
main	2 	mpor5671 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	GIG 	GIP 	0 	1 	ZIP 	ZIP 	1 	0
main	3 	mpor5671 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	TAN 	TOR 	0 	0 	WAR 	WAR 	1 	0
main	4 	mpor5671 	 T1 	 True 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	FAN 	WIG 	0 	-99 	-99 	-99 	-99 	0
main	5 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	SAD 	SAD 	1 	-99 	-99 	-99 	-99 	0
main	6 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	GAL 	GAL 	1 	-99 	-99 	-99 	-99 	0
main	7 	mpor5671 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, -1) 	1 	TOY 	SUE 	0 	0 	PIE 	PIG 	0 	0
main	8 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	FED 	PIN 	0 	0 	TIN 	TIN 	1 	0
main	9 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	0 	DOC 	TWO 	0 	-99 	-99 	-99 	-99 	0
main	10 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	NOT 	NOT 	1 	1 	ACT 	ARE 	0 	0
main	11 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	BAG 	LIP 	0 	0 	DIG 	DIG 	1 	0
main	12 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	SAW 	SAW 	1 	1 	GOT 	TOP 	0 	0
main	13 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	BOW 	BAT 	0 	1 	RAT 	RAT 	1 	0
main	14 	mpor5671 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	1 	OIL 	OIL 	1 	0 	HOW 	HOT 	0 	0
main	15 	mpor5671 	 T1 	 True 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, 1) 	0 	BEE 	BAD 	0 	-99 	-99 	-99 	-99 	0
main	16 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, -1) 	0 	OWN 	FAD 	0 	-99 	-99 	-99 	-99 	0
main	17 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	GYM 	GYM 	1 	0 	LAB 	TIM 	0 	0
main	18 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	RUB 	BUD 	0 	1 	FIX 	FIX 	1 	0
main	19 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	ZIP 	ZAP 	0 	0 	LAD 	LAP 	0 	0
main	20 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	OFF 	SAW 	0 	1 	HOT 	HOT 	1 	0
main	21 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, 1) 	0 	PRO 	FAD 	0 	-99 	-99 	-99 	-99 	0
main	22 	mpor5671 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	HER 	HER 	1 	0 	RID 	RIP 	0 	0
main	23 	mpor5671 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	ROD 	ROD 	1 	-99 	-99 	-99 	-99 	0
main	24 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, 1) 	0 	ACE 	YES 	0 	-99 	-99 	-99 	-99 	0
main	25 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	DIP 	LIP 	0 	1 	HID 	HIP 	0 	0
main	26 	mpor5671 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	LOG 	FOR 	0 	0 	FUR 	FOR 	0 	0
main	27 	mpor5671 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	LIP 	LIP 	1 	0 	SHE 	SHE 	1 	0
main	28 	mpor5671 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	WHO 	WHO 	1 	0 	ASK 	ASK 	1 	0
main	29 	mpor5671 	 T1 	 True 	 0.0 	3.0 	0.0 	False 	False 	False 	both 	(0, 1) 	0 	JOY 	JOY 	1 	-99 	-99 	-99 	-99 	0
main	30 	mpor5671 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	False 	both 	(0, 1) 	0 	WEB 	RUB 	0 	1 	TUB 	TUB 	1 	0
main	31 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	WHY 	WHY 	1 	1 	WAS 	SHY 	0 	0
main	32 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	HAM 	NOT 	0 	0 	HOW 	HOW 	1 	0
main	33 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	ZIP 	ZIP 	1 	-99 	-99 	-99 	-99 	0
main	34 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	FLY 	FLY 	1 	1 	INK 	DIE 	0 	0
main	35 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, -1) 	0 	NEW 	DUE 	0 	-99 	-99 	-99 	-99 	0
main	36 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	FAN 	SAT 	0 	1 	FAT 	FAT 	1 	0
main	37 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, -1) 	1 	JOB 	JOB 	1 	0 	GUY 	GUY 	1 	0
main	38 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	KIT 	KIT 	1 	-99 	-99 	-99 	-99 	0
main	39 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	ROT 	ROD 	0 	0 	TIE 	TIE 	1 	0
main	40 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.6 	False 	False 	True 	both 	(0, 1) 	0 	OWE 	WAR 	0 	-99 	-99 	-99 	-99 	0
main	41 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	True 	both 	(0, 1) 	1 	LAB 	RAW 	0 	0 	MIX 	MIX 	1 	0
main	42 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	False 	both 	(0, -1) 	0 	LAY 	DAY 	0 	1 	WAY 	WAY 	1 	0
main	43 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.6 	False 	False 	False 	both 	(0, 1) 	0 	HID 	HAT 	0 	1 	CAT 	CAT 	1 	0
main	44 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.6 	False 	False 	False 	both 	(0, 1) 	0 	MAY 	MAY 	1 	-99 	-99 	-99 	-99 	0
main	45 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.55 	False 	False 	False 	both 	(0, -1) 	0 	PAD 	PAD 	1 	1 	NUT 	MAD 	0 	0
main	46 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.55 	False 	False 	True 	both 	(0, 1) 	1 	HAT 	GUY 	0 	0 	JOB 	JOB 	1 	0
main	47 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	0 	SIT 	OUT 	0 	-99 	-99 	-99 	-99 	0
main	48 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.55 	False 	False 	False 	both 	(0, 1) 	0 	POD 	POD 	1 	-99 	-99 	-99 	-99 	0
main	49 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.55 	False 	False 	True 	both 	(0, 1) 	1 	BIT 	SAY 	0 	0 	WAY 	WAY 	1 	0
main	50 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	DAY 	DAY 	1 	0 	SAT 	SAY 	0 	0
main	51 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	NAP 	BAN 	0 	0 	POD 	POD 	1 	0
main	52 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.45 	False 	False 	False 	both 	(0, -1) 	0 	LAW 	ZIP 	0 	1 	LIP 	LIP 	1 	0
main	53 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.45 	False 	False 	False 	both 	(0, -1) 	0 	HOW 	HOP 	0 	1 	CAP 	CAT 	0 	0
main	54 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	SEC 	SAC 	0 	0 	MIX 	MIX 	1 	0
main	55 	mpor5671 	 T1 	 True 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, 1) 	0 	FOX 	TIN 	0 	-99 	-99 	-99 	-99 	0
main	56 	mpor5671 	 T1 	 False 	 0.0 	2.0 	0.55 	False 	False 	False 	both 	(0, 1) 	0 	SPY 	SUN 	0 	1 	FUN 	FUN 	1 	0
