experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	mrus4711 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	RUB 	RED 	0 	1 	MUD 	MUD 	1 	0
main	1 	mrus4711 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	CUE 	CUE 	1 	-99 	-99 	-99 	-99 	0
main	2 	mrus4711 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	ROW 	RAW 	0 	0 	RAW 	ROT 	0 	0
main	3 	mrus4711 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	BUM 	LAB 	0 	-99 	-99 	-99 	-99 	0
main	4 	mrus4711 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	SIX 	SIX 	1 	0 	PET 	PET 	1 	0
main	5 	mrus4711 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	WHY 	WHY 	1 	0 	TAP 	TAP 	1 	0
main	6 	mrus4711 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	SEC 	SEC 	1 	1 	MEN 	MEN 	1 	0
main	7 	mrus4711 	 T1 	 True 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, -1) 	0 	PAY 	PAY 	1 	-99 	-99 	-99 	-99 	0
main	8 	mrus4711 	 T1 	 True 	 0.0 	1.0 	-0.55 	False 	False 	True 	both 	(0, 1) 	0 	BUG 	SEX 	0 	-99 	-99 	-99 	-99 	0
main	9 	mrus4711 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	1 	CAB 	CAB 	1 	0 	HER 	HER 	1 	0
main	10 	mrus4711 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	0 	POD 	POD 	1 	1 	OWN 	OWN 	1 	0
main	11 	mrus4711 	 T1 	 False 	 0.0 	1.0 	-0.45 	False 	False 	False 	both 	(0, 1) 	0 	RID 	RED 	0 	1 	CUP 	CUP 	1 	0
main	12 	mrus4711 	 T1 	 True 	 0.0 	1.0 	-0.45 	False 	False 	True 	both 	(0, 1) 	0 	DUG 	ABC 	0 	-99 	-99 	-99 	-99 	0
main	13 	mrus4711 	 T1 	 True 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, -1) 	0 	ONE 	COP 	0 	-99 	-99 	-99 	-99 	0
main	14 	mrus4711 	 T1 	 False 	 0.0 	2.0 	0.55 	False 	False 	True 	both 	(0, -1) 	1 	TAG 	TAP 	0 	0 	GAS 	GAS 	1 	0
main	15 	mrus4711 	 T1 	 False 	 0.0 	2.0 	0.55 	False 	False 	True 	both 	(0, 1) 	1 	FAR 	FAR 	1 	0 	LAB 	LAB 	1 	0
main	16 	mrus4711 	 T1 	 True 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, 1) 	0 	TOY 	TOY 	1 	-99 	-99 	-99 	-99 	0
main	17 	mrus4711 	 T1 	 True 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, -1) 	0 	MAD 	MAD 	1 	-99 	-99 	-99 	-99 	0
main	18 	mrus4711 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	False 	both 	(0, 1) 	0 	AIR 	AIR 	1 	1 	GUY 	GUY 	1 	0
