experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	msmi4959 	 T1 	 True 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	DIG 	DIG 	1 	-99 	-99 	-99 	-99 	0
main	1 	msmi4959 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	LET 	MEN 	0 	-99 	-99 	-99 	-99 	0
main	2 	msmi4959 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	LAD 	RED 	0 	1 	TAP 	TAP 	1 	0
main	3 	msmi4959 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	FOG 	TOD 	0 	0 	HAD 	HAG 	0 	0
main	4 	msmi4959 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	MET 	MET 	1 	1 	FLU 	FLY 	0 	0
main	5 	msmi4959 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	DAD 	DAT 	0 	-99 	-99 	-99 	-99 	0
main	6 	msmi4959 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	MAN 	MAN 	1 	0 	HER 	HER 	1 	0
main	7 	msmi4959 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	SAD 	SAD 	1 	0 	EGO 	EGO 	1 	0
main	8 	msmi4959 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	FUN 	FLU 	0 	1 	DIE 	DIN 	0 	0
main	9 	msmi4959 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	GUT 	GLY 	0 	0 	CRY 	CRU 	0 	0
main	10 	msmi4959 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	PET 	GIN 	0 	1 	SEX 	SEX 	1 	0
main	11 	msmi4959 	 T1 	 True 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	BID 	NUT 	0 	-99 	-99 	-99 	-99 	0
main	12 	msmi4959 	 T1 	 True 	 0.0 	4.0 	0.4 	False 	False 	True 	both 	(0, 1) 	0 	TEA 	LOT 	0 	-99 	-99 	-99 	-99 	0
main	13 	msmi4959 	 T1 	 True 	 0.0 	4.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	TAG 	TAG 	1 	-99 	-99 	-99 	-99 	0
main	14 	msmi4959 	 T1 	 False 	 0.0 	4.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	WET 	WET 	1 	1 	WAY 	WAY 	1 	0
main	15 	msmi4959 	 T1 	 False 	 0.0 	4.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	KIT 	KIT 	1 	1 	NEW 	NEW 	1 	0
