experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	myan8014 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	BOY 	BIO 	0 	0 	GAS 	ICE 	0 	0
main	1 	myan8014 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	SAW 	SAW 	1 	0 	GUY 	GUY 	1 	0
main	2 	myan8014 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	SEC 	SEC 	1 	1 	VAN 	PDY 	0 	0
main	3 	myan8014 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	SUN 	SUN 	1 	-99 	-99 	-99 	-99 	0
main	4 	myan8014 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	USE 	UPE 	0 	0 	PER 	PRT 	0 	0
main	5 	myan8014 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	HID 	KID 	0 	-99 	-99 	-99 	-99 	0
main	6 	myan8014 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	0 	HEY 	WIN 	0 	-99 	-99 	-99 	-99 	0
main	7 	myan8014 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	RAN 	RED 	0 	1 	SAD 	SAD 	1 	0
main	8 	myan8014 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	0 	FOG 	KAT 	0 	-99 	-99 	-99 	-99 	0
main	9 	myan8014 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	BEE 	BET 	0 	1 	HOW 	HOW 	1 	0
main	10 	myan8014 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	False 	both 	(0, 1) 	0 	HAS 	HAT 	0 	1 	HAT 	BOW 	0 	0
main	11 	myan8014 	 T1 	 False 	 0.0 	4.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	SAW 	SAW 	1 	0 	ANY 	ANY 	1 	0
main	12 	myan8014 	 T1 	 True 	 0.0 	4.0 	0.5 	False 	False 	True 	both 	(0, -1) 	0 	USE 	MEN 	0 	-99 	-99 	-99 	-99 	0
main	13 	myan8014 	 T1 	 True 	 0.0 	5.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	MOM 	MOM 	1 	-99 	-99 	-99 	-99 	0
main	14 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.0 	False 	False 	True 	both 	(0, -1) 	1 	SUN 	SUN 	1 	0 	BET 	BET 	1 	0
main	15 	myan8014 	 T1 	 True 	 0.0 	4.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	PET 	PET 	1 	-99 	-99 	-99 	-99 	0
main	16 	myan8014 	 T1 	 False 	 0.0 	4.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	OFF 	SIT 	0 	1 	TIP 	TIP 	1 	0
main	17 	myan8014 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	MIX 	MIX 	1 	1 	OFF 	OFF 	1 	0
main	18 	myan8014 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	GAS 	GAR 	0 	1 	RAY 	FOR 	0 	0
main	19 	myan8014 	 T1 	 False 	 0.0 	4.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	FED 	FOR 	0 	0 	CAR 	CAR 	1 	0
main	20 	myan8014 	 T1 	 False 	 0.0 	4.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	SUB 	SAN 	0 	0 	VAN 	VAN 	1 	0
main	21 	myan8014 	 T1 	 True 	 0.0 	4.0 	0.1 	False 	False 	True 	both 	(0, 1) 	0 	EYE 	ROT 	0 	-99 	-99 	-99 	-99 	0
main	22 	myan8014 	 T1 	 False 	 0.0 	4.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	BOW 	BAR 	0 	0 	ACT 	CAT 	0 	0
main	23 	myan8014 	 T1 	 False 	 0.0 	4.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	NOT 	NOT 	1 	1 	SAY 	SAY 	1 	0
main	24 	myan8014 	 T1 	 False 	 0.0 	4.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	NAP 	BAY 	0 	1 	TOY 	NOT 	0 	0
main	25 	myan8014 	 T1 	 False 	 0.0 	4.0 	1.0 	False 	False 	False 	both 	(0, 1) 	0 	HIT 	HIM 	0 	1 	TEA 	SAT 	0 	0
main	26 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	SEC 	SWW 	0 	0 	LAD 	HAD 	0 	0
main	27 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.6 	False 	False 	True 	both 	(0, 1) 	1 	CUT 	CUT 	1 	0 	CAR 	CAR 	1 	0
main	28 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.6 	False 	False 	True 	both 	(0, -1) 	1 	FAN 	FRM 	0 	0 	BEG 	BEG 	1 	0
main	29 	myan8014 	 T1 	 True 	 0.0 	5.0 	0.5 	False 	False 	True 	both 	(0, 1) 	0 	JOB 	CAT 	0 	-99 	-99 	-99 	-99 	0
main	30 	myan8014 	 T1 	 True 	 0.0 	5.0 	0.6 	False 	False 	True 	both 	(0, -1) 	0 	MUD 	SEC 	0 	-99 	-99 	-99 	-99 	0
main	31 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	BOW 	BET 	0 	0 	FLY 	FLY 	1 	0
main	32 	myan8014 	 T1 	 True 	 0.0 	5.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	AGE 	AGE 	1 	-99 	-99 	-99 	-99 	0
main	33 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.6 	False 	False 	False 	both 	(0, 1) 	0 	WAY 	WAR 	0 	1 	FAR 	FAR 	1 	0
main	34 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.6 	False 	False 	False 	both 	(0, -1) 	0 	GAL 	GAR 	0 	1 	AIR 	FLA 	0 	0
main	35 	myan8014 	 T1 	 True 	 0.0 	5.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	LOT 	LOT 	1 	-99 	-99 	-99 	-99 	0
main	36 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	SIT 	SIT 	1 	0 	YOU 	YOU 	1 	0
main	37 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.65 	False 	False 	True 	both 	(0, -1) 	1 	DID 	DIG 	0 	0 	SEE 	SEE 	1 	0
main	38 	myan8014 	 T1 	 True 	 0.0 	5.0 	0.65 	False 	False 	False 	both 	(0, 1) 	0 	BOY 	BOY 	1 	-99 	-99 	-99 	-99 	0
main	39 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.6 	False 	False 	False 	both 	(0, 1) 	0 	HEY 	BAT 	0 	1 	ALL 	ALL 	1 	0
main	40 	myan8014 	 T1 	 True 	 0.0 	5.0 	0.6 	False 	False 	True 	both 	(0, -1) 	0 	SUE 	CUE 	0 	-99 	-99 	-99 	-99 	0
main	41 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.65 	False 	False 	False 	both 	(0, 1) 	0 	NOT 	NOT 	1 	1 	EGO 	GEO 	0 	0
main	42 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.65 	False 	False 	False 	both 	(0, -1) 	0 	JAM 	JAM 	1 	1 	SHE 	SHE 	1 	0
main	43 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.6 	False 	False 	True 	both 	(0, 1) 	1 	TIL 	TIP 	0 	0 	LIP 	LIP 	1 	0
main	44 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.6 	False 	False 	True 	both 	(0, 1) 	1 	FOX 	FOX 	1 	0 	AYE 	AGE 	0 	0
main	45 	myan8014 	 T1 	 False 	 0.0 	5.0 	0.55 	False 	False 	False 	both 	(0, -1) 	0 	TEN 	THE 	0 	1 	SEE 	SEE 	1 	0
main	46 	myan8014 	 T1 	 True 	 0.0 	5.0 	0.55 	False 	False 	True 	both 	(0, 1) 	0 	TRY 	RAN 	0 	-99 	-99 	-99 	-99 	0
main	47 	myan8014 	 T1 	 True 	 0.0 	5.0 	0.6 	False 	False 	False 	both 	(0, -1) 	0 	SAW 	SAE 	0 	-99 	-99 	-99 	-99 	0
main	48 	myan8014 	 T1 	 True 	 0.0 	5.0 	0.65 	False 	False 	True 	both 	(0, 1) 	0 	NUN 	OFF 	0 	-99 	-99 	-99 	-99 	0
