experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	nchu3419 	 T1 	 True 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	LET 	LET 	1 	-99 	-99 	-99 	-99 	0
main	1 	nchu3419 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	TWO 	CON 	0 	-99 	-99 	-99 	-99 	0
main	2 	nchu3419 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	BIT 	IDK 	0 	1 	HUT 	HUT 	1 	0
main	3 	nchu3419 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	OUT 	COP 	0 	0 	SHY 	SHY 	1 	0
main	4 	nchu3419 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	HAS 	IDK 	0 	0 	FOG 	FOG 	1 	0
main	5 	nchu3419 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	RIP 	RIP 	1 	1 	DAD 	TOP 	0 	0
main	6 	nchu3419 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	ROW 	IDK 	0 	-99 	-99 	-99 	-99 	0
main	7 	nchu3419 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	GUY 	FLY 	0 	-99 	-99 	-99 	-99 	0
main	8 	nchu3419 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	CRY 	IDK 	0 	1 	BOY 	BOY 	1 	0
main	9 	nchu3419 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	PAN 	IDK 	0 	0 	ALL 	ALL 	1 	0
main	10 	nchu3419 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	SHE 	IDK 	0 	0 	DIG 	DIG 	1 	0
main	11 	nchu3419 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	False 	both 	(0, 1) 	0 	RAY 	CAN 	0 	1 	CAN 	CAN 	1 	0
main	12 	nchu3419 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	EGO 	IDK 	0 	0 	HUG 	HUG 	1 	0
main	13 	nchu3419 	 T1 	 True 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	TON 	TON 	1 	-99 	-99 	-99 	-99 	0
