experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	nleu4592 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	A 	A 	1 	0 	M 	M 	1 	1 	J 	J 	1 	0
main	1 	nleu4592 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	G 	G 	1 	0 	F 	F 	1 	2 	Z 	Z 	1 	0
main	2 	nleu4592 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	Y 	Y 	1 	1 	A 	A 	1 	2 	A 	A 	1 	0
main	3 	nleu4592 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	R 	R 	1 	1 	C 	C 	1 	2 	M 	M 	1 	0
main	4 	nleu4592 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	Z 	Z 	1 	0 	F 	F 	1 	1 	M 	M 	1 	0
main	5 	nleu4592 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	H 	H 	1 	2 	T 	T 	1 	0 	U 	U 	1 	0
main	6 	nleu4592 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	2 	S 	S 	1 	0 	S 	C 	0 	1 	C 	C 	1 	0
main	7 	nleu4592 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	0 	N 	S 	0 	2 	S 	A 	0 	1 	U 	U 	1 	0
main	8 	nleu4592 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	J 	J 	1 	1 	Y 	Y 	1 	2 	T 	T 	1 	0
main	9 	nleu4592 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	G 	G 	1 	0 	F 	F 	1 	2 	Z 	Z 	1 	0
main	10 	nleu4592 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, 1) 	1 	N 	G 	0 	2 	R 	T 	0 	0 	A 	A 	1 	0
main	11 	nleu4592 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	K 	K 	1 	2 	C 	C 	1 	1 	F 	F 	1 	0
main	12 	nleu4592 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	K 	K 	1 	2 	N 	N 	1 	1 	A 	A 	1 	0
main	13 	nleu4592 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	2 	U 	Z 	0 	1 	Y 	N 	0 	0 	G 	G 	1 	0
main	14 	nleu4592 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	False 	both 	(0, -1) 	1 	N 	N 	1 	0 	G 	G 	1 	2 	K 	K 	1 	0
