experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	nsac9446 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	E 	N 	0 	0 	N 	N 	1 	1 	A 	E 	0 	0
main	1 	nsac9446 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	R 	R 	1 	2 	H 	H 	1 	0 	G 	G 	1 	0
main	2 	nsac9446 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	J 	J 	1 	0 	C 	C 	1 	2 	G 	G 	1 	0
main	3 	nsac9446 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	M 	M 	1 	2 	K 	K 	1 	1 	A 	A 	1 	0
main	4 	nsac9446 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	U 	U 	1 	1 	S 	S 	1 	0 	T 	T 	1 	0
main	5 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	2 	S 	S 	1 	0 	Y 	Y 	1 	1 	S 	S 	1 	0
main	6 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	S 	S 	1 	2 	Y 	Y 	1 	1 	A 	A 	1 	0
main	7 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, -1) 	2 	J 	J 	1 	0 	F 	L 	0 	1 	N 	K 	0 	0
main	8 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	H 	J 	0 	1 	H 	K 	0 	2 	H 	A 	0 	0
main	9 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	G 	G 	1 	1 	K 	K 	1 	2 	U 	L 	0 	0
main	10 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	U 	U 	1 	2 	A 	M 	0 	1 	M 	A 	0 	0
main	11 	nsac9446 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	1 	G 	G 	1 	0 	A 	M 	0 	2 	A 	A 	1 	0
main	12 	nsac9446 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	R 	R 	1 	0 	N 	N 	1 	2 	S 	S 	1 	0
main	13 	nsac9446 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, -1) 	0 	J 	J 	1 	2 	U 	U 	1 	1 	Z 	Z 	1 	0
main	14 	nsac9446 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	True 	both 	(0, 1) 	2 	M 	M 	1 	0 	U 	U 	1 	1 	K 	K 	1 	0
main	15 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	2 	E 	E 	1 	1 	A 	U 	0 	0 	U 	S 	0 	0
main	16 	nsac9446 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	False 	both 	(0, -1) 	2 	G 	G 	1 	1 	H 	H 	1 	0 	H 	B 	0 	0
main	17 	nsac9446 	 T1 	 False 	 0.0 	3.0 	0.0 	False 	False 	False 	both 	(0, -1) 	1 	T 	T 	1 	0 	S 	S 	1 	2 	U 	U 	1 	0
main	18 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.6 	False 	False 	True 	both 	(0, 1) 	0 	C 	C 	1 	1 	Y 	Y 	1 	2 	C 	C 	1 	0
main	19 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.6 	False 	False 	True 	both 	(0, 1) 	2 	E 	E 	1 	0 	T 	T 	1 	1 	S 	S 	1 	0
main	20 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	False 	both 	(0, 1) 	1 	Z 	Z 	1 	2 	A 	A 	1 	0 	A 	S 	0 	0
main	21 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	False 	both 	(0, 1) 	1 	E 	E 	1 	0 	M 	M 	1 	2 	H 	H 	1 	0
main	22 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, 1) 	0 	T 	T 	1 	1 	G 	M 	0 	2 	K 	S 	0 	0
main	23 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	H 	S 	0 	1 	R 	R 	1 	2 	K 	Y 	0 	0
main	24 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, -1) 	2 	M 	M 	1 	1 	F 	F 	1 	0 	F 	O 	0 	0
main	25 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	0 	M 	M 	1 	1 	M 	M 	1 	2 	G 	G 	1 	0
main	26 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	0 	G 	G 	1 	1 	Z 	Z 	1 	2 	E 	E 	1 	0
main	27 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, 1) 	2 	F 	F 	1 	1 	Z 	Z 	1 	0 	U 	U 	1 	0
main	28 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	2 	R 	Y 	0 	1 	T 	U 	0 	0 	A 	D 	0 	0
main	29 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, 1) 	1 	S 	S 	1 	2 	H 	H 	1 	0 	C 	E 	0 	0
main	30 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	0 	M 	M 	1 	2 	K 	K 	1 	1 	G 	G 	1 	0
main	31 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, 1) 	1 	U 	U 	1 	0 	G 	G 	1 	2 	E 	E 	1 	0
main	32 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, 1) 	1 	Y 	E 	0 	2 	R 	J 	0 	0 	R 	H 	0 	0
main	33 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	0 	T 	K 	0 	2 	F 	D 	0 	1 	H 	E 	0 	0
main	34 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	False 	both 	(0, -1) 	2 	H 	K 	0 	0 	H 	D 	0 	1 	N 	L 	0 	0
main	35 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	G 	G 	1 	2 	F 	F 	1 	0 	H 	K 	0 	0
main	36 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, 1) 	2 	J 	J 	1 	0 	G 	G 	1 	1 	Y 	K 	0 	0
main	37 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	True 	both 	(0, -1) 	2 	E 	K 	0 	0 	U 	M 	0 	1 	E 	S 	0 	0
main	38 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	0 	U 	U 	1 	2 	N 	M 	0 	1 	M 	S 	0 	0
main	39 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, -1) 	2 	S 	S 	1 	1 	G 	G 	1 	0 	M 	M 	1 	0
main	40 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	2 	C 	C 	1 	1 	Z 	Z 	1 	0 	Y 	Y 	1 	0
main	41 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	2 	H 	H 	1 	0 	S 	S 	1 	1 	N 	N 	1 	0
main	42 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	1 	K 	K 	1 	0 	R 	S 	0 	2 	F 	F 	1 	0
main	43 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	True 	both 	(0, 1) 	1 	N 	S 	0 	0 	H 	N 	0 	2 	F 	L 	0 	0
main	44 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	0 	Y 	Y 	1 	2 	G 	G 	1 	1 	T 	T 	1 	0
main	45 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, -1) 	1 	M 	M 	1 	0 	C 	C 	1 	2 	S 	S 	1 	0
main	46 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	False 	both 	(0, 1) 	0 	A 	A 	1 	2 	Y 	X 	0 	1 	Z 	G 	0 	0
main	47 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	2 	G 	G 	1 	1 	E 	E 	1 	0 	K 	K 	1 	0
main	48 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	0 	M 	M 	1 	1 	N 	N 	1 	2 	H 	S 	0 	0
main	49 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	True 	both 	(0, -1) 	1 	N 	H 	0 	0 	E 	G 	0 	2 	G 	L 	0 	0
main	50 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	1 	S 	S 	1 	2 	M 	M 	1 	0 	Z 	Z 	1 	0
main	51 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	1 	Z 	Z 	1 	0 	H 	H 	1 	2 	T 	T 	1 	0
main	52 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	False 	both 	(0, 1) 	2 	Z 	Z 	1 	0 	J 	H 	0 	1 	C 	T 	0 	0
main	53 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	0 	E 	E 	1 	2 	T 	T 	1 	1 	U 	U 	1 	0
main	54 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	1 	S 	S 	1 	2 	A 	A 	1 	0 	U 	U 	1 	0
main	55 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	False 	both 	(0, 1) 	1 	C 	C 	1 	2 	F 	F 	1 	0 	Z 	Z 	1 	0
main	56 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	True 	both 	(0, 1) 	2 	F 	F 	1 	1 	N 	N 	1 	0 	K 	U 	0 	0
main	57 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, -1) 	0 	Y 	O 	0 	1 	A 	K 	0 	2 	R 	Q 	0 	0
main	58 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	False 	both 	(0, -1) 	0 	C 	C 	1 	2 	U 	U 	1 	1 	K 	E 	0 	0
main	59 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	True 	both 	(0, -1) 	2 	Y 	S 	0 	1 	T 	I 	0 	0 	N 	E 	0 	0
main	60 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	1 	H 	H 	1 	2 	R 	R 	1 	0 	R 	I 	0 	0
main	61 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	0 	A 	A 	1 	2 	F 	F 	1 	1 	M 	M 	1 	0
main	62 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	True 	both 	(0, 1) 	0 	Y 	C 	0 	2 	K 	S 	0 	1 	C 	K 	0 	0
main	63 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	1 	Y 	Y 	1 	0 	Z 	Z 	1 	2 	H 	E 	0 	0
main	64 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	1 	M 	M 	1 	0 	A 	A 	1 	2 	F 	F 	1 	0
main	65 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	False 	both 	(0, 1) 	0 	E 	E 	1 	2 	G 	G 	1 	1 	F 	F 	1 	0
main	66 	nsac9446 	 T1 	 False 	 0.0 	1.0 	-0.0 	False 	False 	False 	both 	(0, 1) 	2 	T 	D 	0 	0 	T 	J 	0 	1 	N 	O 	0 	0
main	67 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, -1) 	0 	F 	M 	0 	1 	A 	K 	0 	2 	C 	S 	0 	0
main	68 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	M 	M 	1 	0 	M 	M 	1 	2 	S 	S 	1 	0
main	69 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, 1) 	0 	J 	J 	1 	1 	S 	M 	0 	2 	N 	S 	0 	0
main	70 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, -1) 	1 	M 	M 	1 	0 	R 	R 	1 	2 	G 	G 	1 	0
main	71 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, -1) 	0 	A 	A 	1 	2 	K 	K 	1 	1 	H 	S 	0 	0
main	72 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, 1) 	2 	M 	A 	0 	0 	M 	M 	1 	1 	E 	E 	1 	0
main	73 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	0 	C 	C 	1 	1 	K 	K 	1 	2 	F 	F 	1 	0
main	74 	nsac9446 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	1 	M 	M 	1 	2 	H 	H 	1 	0 	N 	S 	0 	0
