experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	ocoo2234 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	DUE 	YES 	0 	1 	PEE 	YES 	0 	0
main	1 	ocoo2234 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	AGE 	AGE 	1 	-99 	-99 	-99 	-99 	0
main	2 	ocoo2234 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	SKI 	SKI 	1 	-99 	-99 	-99 	-99 	0
main	3 	ocoo2234 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	WEE 	CON 	0 	-99 	-99 	-99 	-99 	0
main	4 	ocoo2234 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	COW 	COW 	1 	0 	FIT 	FIT 	1 	0
main	5 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	LEG 	DOG 	0 	0 	SEA 	SEA 	1 	0
main	6 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	PRO 	PRO 	1 	0 	GUN 	GUN 	1 	0
main	7 	ocoo2234 	 T1 	 True 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	0 	BAR 	CAN 	0 	-99 	-99 	-99 	-99 	0
main	8 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	GAS 	GUE 	0 	1 	ALL 	CAN 	0 	0
main	9 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	PAL 	PET 	0 	1 	HAS 	HAS 	1 	0
main	10 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	ADD 	AGE 	0 	1 	OLD 	OLD 	1 	0
main	11 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	OWE 	OWL 	0 	0 	FLY 	FLY 	1 	0
main	12 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	PAL 	PUB 	0 	1 	RUB 	PUB 	0 	0
main	13 	ocoo2234 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	DOG 	PET 	0 	-99 	-99 	-99 	-99 	0
main	14 	ocoo2234 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	ODD 	ODD 	1 	-99 	-99 	-99 	-99 	0
main	15 	ocoo2234 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	0 	GYM 	ROD 	0 	-99 	-99 	-99 	-99 	0
main	16 	ocoo2234 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	HIM 	HON 	0 	0 	SIN 	SIN 	1 	0
main	17 	ocoo2234 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	ASS 	ASS 	1 	0 	CAP 	CAP 	1 	0
main	18 	ocoo2234 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	INK 	INK 	1 	1 	SEX 	SEX 	1 	0
main	19 	ocoo2234 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	RUM 	RUM 	1 	1 	DIE 	DIE 	1 	0
main	20 	ocoo2234 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	GAY 	GAY 	1 	0 	END 	END 	1 	0
main	21 	ocoo2234 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	BYE 	BYE 	1 	0 	TIE 	TIE 	1 	0
main	22 	ocoo2234 	 T1 	 True 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	VAN 	VAN 	1 	-99 	-99 	-99 	-99 	0
main	23 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	WON 	WON 	1 	1 	YET 	YET 	1 	0
main	24 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	ROT 	ROT 	1 	1 	GAY 	GAY 	1 	0
main	25 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	GAS 	GAS 	1 	1 	OUR 	OUR 	1 	0
main	26 	ocoo2234 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, 1) 	0 	CON 	CON 	1 	1 	FAR 	FAR 	1 	0
main	27 	ocoo2234 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	1 	HER 	HER 	1 	0 	BAG 	BAG 	1 	0
main	28 	ocoo2234 	 T1 	 False 	 0.0 	1.0 	-0.5 	False 	False 	True 	both 	(0, 1) 	1 	GUY 	BAG 	0 	0 	HOW 	HER 	0 	0
main	29 	ocoo2234 	 T1 	 True 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	0 	AIR 	AIR 	1 	-99 	-99 	-99 	-99 	0
main	30 	ocoo2234 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	1 	USE 	YOU 	0 	0 	PET 	USE 	0 	0
main	31 	ocoo2234 	 T1 	 True 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, 1) 	0 	CON 	HER 	0 	-99 	-99 	-99 	-99 	0
main	32 	ocoo2234 	 T1 	 True 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, -1) 	0 	TIN 	ASK 	0 	-99 	-99 	-99 	-99 	0
main	33 	ocoo2234 	 T1 	 True 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	ASK 	ASK 	1 	-99 	-99 	-99 	-99 	0
main	34 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	FIT 	FIT 	1 	1 	FRY 	FTI 	0 	0
main	35 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	DID 	DID 	1 	0 	RUM 	RUM 	1 	0
main	36 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	FIT 	FIT 	1 	1 	OLD 	FIT 	0 	0
main	37 	ocoo2234 	 T1 	 True 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	CRY 	CRY 	1 	-99 	-99 	-99 	-99 	0
main	38 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	CUT 	CUT 	1 	0 	OWE 	OWE 	1 	0
main	39 	ocoo2234 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	0 	CAR 	CAR 	1 	1 	DUE 	DUE 	1 	0
main	40 	ocoo2234 	 T1 	 True 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, 1) 	0 	PIE 	BOW 	0 	-99 	-99 	-99 	-99 	0
main	41 	ocoo2234 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, 1) 	0 	EGO 	EGO 	1 	1 	EAT 	EAT 	1 	0
main	42 	ocoo2234 	 T1 	 True 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	0 	BUS 	YES 	0 	-99 	-99 	-99 	-99 	0
main	43 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, 1) 	0 	OUT 	OUT 	1 	1 	TAG 	TAG 	1 	0
main	44 	ocoo2234 	 T1 	 True 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	HIM 	HIM 	1 	-99 	-99 	-99 	-99 	0
main	45 	ocoo2234 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	1 	HUT 	OUT 	0 	0 	FAR 	FAR 	1 	0
main	46 	ocoo2234 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	1 	GIN 	HIM 	0 	0 	AIM 	ASK 	0 	0
main	47 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	ASK 	ASK 	1 	0 	PIT 	PIT 	1 	0
main	48 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, -1) 	1 	POP 	APP 	0 	0 	PRO 	PRO 	1 	0
main	49 	ocoo2234 	 T1 	 True 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	0 	CAP 	HAM 	0 	-99 	-99 	-99 	-99 	0
main	50 	ocoo2234 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, 1) 	1 	GOD 	GOD 	1 	0 	LAY 	LAY 	1 	0
main	51 	ocoo2234 	 T1 	 True 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, -1) 	0 	WEE 	EYE 	0 	-99 	-99 	-99 	-99 	0
main	52 	ocoo2234 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	EYE 	EYE 	1 	0 	PIT 	PIT 	1 	0
main	53 	ocoo2234 	 T1 	 True 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, -1) 	0 	CAP 	ARM 	0 	-99 	-99 	-99 	-99 	0
