experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	osmi8344 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	ROW 	ROW 	1 	1 	DRY 	DRY 	1 	0
main	1 	osmi8344 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	LOW 	TEN 	0 	-99 	-99 	-99 	-99 	0
main	2 	osmi8344 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	GAS 	BUD 	0 	-99 	-99 	-99 	-99 	0
main	3 	osmi8344 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	FAR 	FAR 	1 	0 	BUS 	BUS 	1 	0
main	4 	osmi8344 	 T1 	 True 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	CUP 	CUP 	1 	-99 	-99 	-99 	-99 	0
main	5 	osmi8344 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	BOX 	BOX 	1 	1 	BUS 	BUS 	1 	0
main	6 	osmi8344 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	DUE 	DIE 	0 	0 	TRY 	TRY 	1 	0
main	7 	osmi8344 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	0 	TOO 	DRY 	0 	1 	DIE 	DIE 	1 	0
main	8 	osmi8344 	 T1 	 True 	 0.0 	1.0 	-0.55 	False 	False 	False 	both 	(0, 1) 	0 	AIR 	TRY 	0 	-99 	-99 	-99 	-99 	0
main	9 	osmi8344 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, -1) 	1 	SHE 	YES 	0 	0 	DOG 	RED 	0 	0
main	10 	osmi8344 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	False 	both 	(0, -1) 	0 	GYM 	GYM 	1 	1 	BIT 	MAD 	0 	0
main	11 	osmi8344 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	True 	both 	(0, -1) 	1 	BEE 	VEE 	0 	0 	ACT 	ACT 	1 	0
main	12 	osmi8344 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, 1) 	0 	KID 	KID 	1 	1 	ASS 	ASS 	1 	0
main	13 	osmi8344 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, -1) 	0 	DUG 	COG 	0 	1 	WIG 	WIG 	1 	0
main	14 	osmi8344 	 T1 	 False 	 0.0 	1.0 	-0.35 	False 	False 	True 	both 	(0, 1) 	1 	ART 	LEG 	0 	0 	BOY 	BOY 	1 	0
main	15 	osmi8344 	 T1 	 True 	 0.0 	1.0 	-0.35 	False 	False 	False 	both 	(0, 1) 	0 	PIN 	PIN 	1 	-99 	-99 	-99 	-99 	0
main	16 	osmi8344 	 T1 	 False 	 0.0 	1.0 	-0.55 	False 	False 	True 	both 	(0, -1) 	1 	TEN 	MEN 	0 	0 	HAM 	RAN 	0 	0
