experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	pvan7055 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	BEE 	BEE 	1 	1 	JAM 	JAM 	1 	0
main	1 	pvan7055 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	HIT 	OIL 	0 	-99 	-99 	-99 	-99 	0
main	2 	pvan7055 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	TIP 	TIP 	1 	1 	LIP 	LIP 	1 	0
main	3 	pvan7055 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	FAX 	FIX 	0 	0 	ARM 	ARM 	1 	0
main	4 	pvan7055 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	ROW 	FIC 	0 	1 	EGO 	FIC 	0 	0
main	5 	pvan7055 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	PAL 	NNN 	0 	0 	PIT 	NON 	0 	0
main	6 	pvan7055 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	ARE 	ARE 	1 	0 	LAB 	LAB 	1 	0
main	7 	pvan7055 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	HUT 	HUR 	0 	0 	RAY 	RAY 	1 	0
main	8 	pvan7055 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	JOB 	JOB 	1 	-99 	-99 	-99 	-99 	0
main	9 	pvan7055 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	LOT 	LOT 	1 	1 	BID 	BIR 	0 	0
main	10 	pvan7055 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	WHO 	WHO 	1 	-99 	-99 	-99 	-99 	0
main	11 	pvan7055 	 T1 	 True 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	0 	SHE 	SSS 	0 	-99 	-99 	-99 	-99 	0
main	12 	pvan7055 	 T1 	 True 	 0.0 	2.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	GUM 	GUM 	1 	-99 	-99 	-99 	-99 	0
main	13 	pvan7055 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	RUG 	RUB 	0 	1 	PUT 	BUT 	0 	0
main	14 	pvan7055 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	RAP 	RAP 	1 	0 	DRY 	BIT 	0 	0
main	15 	pvan7055 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	PET 	RED 	0 	1 	SKI 	BIT 	0 	0
main	16 	pvan7055 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, 1) 	1 	HUG 	HUG 	1 	0 	SAD 	SAD 	1 	0
main	17 	pvan7055 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	DID 	DID 	1 	1 	RAT 	RAT 	1 	0
main	18 	pvan7055 	 T1 	 True 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, -1) 	0 	FOG 	PET 	0 	-99 	-99 	-99 	-99 	0
main	19 	pvan7055 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	OWN 	OWN 	1 	-99 	-99 	-99 	-99 	0
main	20 	pvan7055 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	PUT 	PUT 	1 	1 	DRY 	DRY 	1 	0
main	21 	pvan7055 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, -1) 	1 	LOT 	LOT 	1 	0 	TEA 	TEA 	1 	0
main	22 	pvan7055 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, 1) 	1 	GIG 	GIG 	1 	0 	BOW 	BOW 	1 	0
main	23 	pvan7055 	 T1 	 True 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, 1) 	0 	AIM 	JAM 	0 	-99 	-99 	-99 	-99 	0
main	24 	pvan7055 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	WIG 	WIG 	1 	-99 	-99 	-99 	-99 	0
main	25 	pvan7055 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	SIN 	SIN 	1 	-99 	-99 	-99 	-99 	0
main	26 	pvan7055 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	BAG 	BAG 	1 	0 	HIP 	HIT 	0 	0
