experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	rdru6902 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	H 	H 	1 	2 	E 	E 	1 	0 	J 	J 	1 	0
main	1 	rdru6902 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	K 	K 	1 	0 	J 	J 	1 	1 	J 	L 	0 	0
main	2 	rdru6902 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	E 	E 	1 	2 	N 	N 	1 	1 	Y 	Y 	1 	0
main	3 	rdru6902 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	A 	A 	1 	1 	Z 	Z 	1 	0 	Y 	Y 	1 	0
main	4 	rdru6902 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	E 	E 	1 	1 	A 	A 	1 	2 	S 	S 	1 	0
main	5 	rdru6902 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	E 	K 	0 	1 	M 	M 	1 	2 	S 	S 	1 	0
main	6 	rdru6902 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	T 	T 	1 	1 	A 	A 	1 	2 	F 	F 	1 	0
main	7 	rdru6902 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	0 	M 	M 	1 	1 	R 	O 	0 	2 	A 	S 	0 	0
main	8 	rdru6902 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	1 	R 	R 	1 	0 	A 	A 	1 	2 	M 	M 	1 	0
main	9 	rdru6902 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	2 	U 	U 	1 	0 	K 	K 	1 	1 	A 	A 	1 	0
main	10 	rdru6902 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, 1) 	2 	G 	G 	1 	0 	H 	H 	1 	1 	M 	M 	1 	0
main	11 	rdru6902 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	0 	S 	A 	0 	2 	M 	S 	0 	1 	F 	R 	0 	0
main	12 	rdru6902 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	2 	A 	A 	1 	0 	T 	T 	1 	1 	Z 	Z 	1 	0
main	13 	rdru6902 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	C 	T 	0 	2 	C 	C 	1 	1 	T 	T 	1 	0
main	14 	rdru6902 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, 1) 	2 	M 	M 	1 	1 	R 	R 	1 	0 	R 	P 	0 	0
main	15 	rdru6902 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, -1) 	0 	S 	S 	1 	1 	J 	M 	0 	2 	N 	K 	0 	0
main	16 	rdru6902 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	True 	both 	(0, 1) 	2 	Z 	Z 	1 	0 	N 	N 	1 	1 	J 	T 	0 	0
main	17 	rdru6902 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	True 	both 	(0, 1) 	1 	N 	N 	1 	2 	C 	C 	1 	0 	H 	H 	1 	0
main	18 	rdru6902 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, 1) 	2 	S 	S 	1 	0 	K 	K 	1 	1 	S 	M 	0 	0
main	19 	rdru6902 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, -1) 	0 	G 	G 	1 	1 	J 	H 	0 	2 	Z 	Z 	1 	0
main	20 	rdru6902 	 T1 	 False 	 0.0 	1.0 	-0.4 	False 	False 	True 	both 	(0, -1) 	1 	F 	K 	0 	2 	K 	H 	0 	0 	F 	C 	0 	0
main	21 	rdru6902 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	2 	K 	H 	0 	1 	Z 	K 	0 	0 	U 	Z 	0 	0
main	22 	rdru6902 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	0 	E 	A 	0 	2 	N 	N 	1 	1 	G 	G 	1 	0
main	23 	rdru6902 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	0 	F 	T 	0 	2 	R 	P 	0 	1 	T 	N 	0 	0
main	24 	rdru6902 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, 1) 	2 	A 	A 	1 	0 	S 	H 	0 	1 	A 	N 	0 	0
main	25 	rdru6902 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	0 	T 	T 	1 	2 	G 	N 	0 	1 	G 	G 	1 	0
main	26 	rdru6902 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, -1) 	2 	U 	U 	1 	0 	H 	H 	1 	1 	F 	F 	1 	0
main	27 	rdru6902 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	1 	J 	A 	0 	2 	F 	H 	0 	0 	G 	S 	0 	0
