experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	rdua8776 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	HER 	HEA 	0 	1 	TEA 	TEA 	1 	0
main	1 	rdua8776 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	TEN 	LIE 	0 	-99 	-99 	-99 	-99 	0
main	2 	rdua8776 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	FAN 	TAE 	0 	0 	TIE 	TIE 	1 	0
main	3 	rdua8776 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	ILL 	TIL 	0 	0 	BIG 	BAG 	0 	0
main	4 	rdua8776 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	RUB 	RUB 	1 	1 	MET 	BEY 	0 	0
main	5 	rdua8776 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	LOT 	HHH 	0 	-99 	-99 	-99 	-99 	0
main	6 	rdua8776 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	JET 	JET 	1 	-99 	-99 	-99 	-99 	0
main	7 	rdua8776 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	JET 	TCC 	0 	0 	FEE 	FEE 	1 	0
main	8 	rdua8776 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	SIX 	TEE 	0 	0 	FRY 	FLG 	0 	0
main	9 	rdua8776 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	0 	BAY 	MUD 	0 	-99 	-99 	-99 	-99 	0
main	10 	rdua8776 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	DUG 	BUG 	0 	1 	TAG 	TAG 	1 	0
main	11 	rdua8776 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	SEE 	SEE 	1 	1 	HAD 	HAD 	1 	0
main	12 	rdua8776 	 T1 	 True 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	CAN 	CAN 	1 	-99 	-99 	-99 	-99 	0
main	13 	rdua8776 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	GET 	GET 	1 	0 	NOW 	GET 	0 	0
main	14 	rdua8776 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	SET 	SEE 	0 	0 	SAW 	SAW 	1 	0
main	15 	rdua8776 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	RAN 	RAN 	1 	1 	SAT 	SET 	0 	0
