experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	rkim5277 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	M 	F 	0 	0 	F 	M 	0 	2 	E 	E 	1 	0
main	1 	rkim5277 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	T 	T 	1 	1 	Y 	Y 	1 	0 	R 	R 	1 	0
main	2 	rkim5277 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	U 	U 	1 	2 	F 	F 	1 	1 	M 	M 	1 	0
main	3 	rkim5277 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	Y 	Y 	1 	2 	T 	T 	1 	1 	K 	K 	1 	0
main	4 	rkim5277 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	A 	A 	1 	2 	E 	E 	1 	1 	H 	H 	1 	0
main	5 	rkim5277 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	M 	M 	1 	1 	Y 	Y 	1 	2 	Y 	Y 	1 	0
main	6 	rkim5277 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	2 	Y 	Y 	1 	1 	S 	S 	1 	0 	K 	K 	1 	0
main	7 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	1 	M 	M 	1 	0 	M 	S 	0 	2 	G 	G 	1 	0
main	8 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.55 	False 	False 	True 	both 	(0, -1) 	2 	M 	K 	0 	0 	E 	I 	0 	1 	H 	G 	0 	0
main	9 	rkim5277 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	2 	A 	S 	0 	0 	R 	R 	1 	1 	J 	J 	1 	0
main	10 	rkim5277 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	1 	N 	M 	0 	0 	K 	K 	1 	2 	E 	E 	1 	0
main	11 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.45 	False 	False 	False 	both 	(0, 1) 	0 	C 	C 	1 	1 	C 	Z 	0 	2 	Z 	E 	0 	0
main	12 	rkim5277 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	2 	E 	E 	1 	1 	G 	G 	1 	0 	K 	K 	1 	0
main	13 	rkim5277 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	0 	E 	E 	1 	2 	J 	J 	1 	1 	S 	S 	1 	0
main	14 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.35 	False 	False 	True 	both 	(0, -1) 	1 	S 	J 	0 	2 	J 	J 	1 	0 	F 	J 	0 	0
main	15 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, 1) 	0 	K 	K 	1 	1 	Y 	Y 	1 	2 	F 	F 	1 	0
main	16 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, -1) 	2 	A 	A 	1 	1 	F 	F 	1 	0 	Z 	S 	0 	0
main	17 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.35 	False 	False 	True 	both 	(0, -1) 	0 	N 	A 	0 	2 	M 	M 	1 	1 	S 	E 	0 	0
main	18 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	True 	both 	(0, 1) 	1 	A 	A 	1 	0 	J 	J 	1 	2 	E 	E 	1 	0
main	19 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	True 	both 	(0, -1) 	0 	G 	G 	1 	2 	M 	M 	1 	1 	G 	G 	1 	0
main	20 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.35 	False 	False 	False 	both 	(0, 1) 	1 	A 	A 	1 	0 	R 	K 	0 	2 	U 	E 	0 	0
main	21 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	False 	both 	(0, -1) 	2 	A 	A 	1 	0 	A 	M 	0 	1 	Z 	E 	0 	0
main	22 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	False 	both 	(0, 1) 	2 	S 	S 	1 	1 	K 	K 	1 	0 	E 	E 	1 	0
main	23 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	False 	both 	(0, -1) 	1 	S 	E 	0 	0 	F 	F 	1 	2 	M 	M 	1 	0
main	24 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	False 	both 	(0, 1) 	0 	A 	A 	1 	2 	M 	M 	1 	1 	F 	F 	1 	0
main	25 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	True 	both 	(0, -1) 	2 	A 	K 	0 	1 	A 	A 	1 	0 	R 	S 	0 	0
main	26 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	2 	M 	S 	0 	1 	F 	F 	1 	0 	U 	U 	1 	0
main	27 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	2 	U 	S 	0 	1 	Y 	Y 	1 	0 	N 	E 	0 	0
main	28 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	False 	both 	(0, -1) 	2 	Y 	K 	0 	1 	N 	N 	1 	0 	K 	S 	0 	0
main	29 	rkim5277 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, -1) 	0 	K 	S 	0 	2 	Z 	Z 	1 	1 	J 	T 	0 	0
