experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	sjoh8557 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	DIG 	DOX 	0 	0 	BOX 	BIG 	0 	0
main	1 	sjoh8557 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	DUG 	DUG 	1 	-99 	-99 	-99 	-99 	0
main	2 	sjoh8557 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	MOB 	NOB 	0 	0 	WAX 	WAX 	1 	0
main	3 	sjoh8557 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	SUB 	SUB 	1 	1 	VAN 	VAN 	1 	0
main	4 	sjoh8557 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	FLU 	FKU 	0 	1 	BOW 	BLO 	0 	0
main	5 	sjoh8557 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	BAR 	BAR 	1 	-99 	-99 	-99 	-99 	0
main	6 	sjoh8557 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	JAW 	JAW 	1 	0 	KID 	KID 	1 	0
main	7 	sjoh8557 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	1 	MUD 	RED 	0 	0 	GUY 	GUS 	0 	0
main	8 	sjoh8557 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	ROT 	ROT 	1 	1 	WAS 	WOM 	0 	0
main	9 	sjoh8557 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	PER 	PAR 	0 	1 	ADD 	ADD 	1 	0
main	10 	sjoh8557 	 T1 	 True 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	0 	FAT 	RAN 	0 	-99 	-99 	-99 	-99 	0
main	11 	sjoh8557 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	SEC 	GYM 	0 	-99 	-99 	-99 	-99 	0
main	12 	sjoh8557 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, -1) 	0 	FEE 	TAX 	0 	-99 	-99 	-99 	-99 	0
main	13 	sjoh8557 	 T1 	 True 	 0.0 	3.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	BAG 	CUE 	0 	-99 	-99 	-99 	-99 	0
main	14 	sjoh8557 	 T1 	 False 	 0.0 	3.0 	0.8 	False 	False 	True 	both 	(0, 1) 	1 	TIL 	TIT 	0 	0 	BUM 	BUM 	1 	0
main	15 	sjoh8557 	 T1 	 False 	 0.0 	3.0 	0.8 	False 	False 	True 	both 	(0, -1) 	1 	GUN 	GUM 	0 	0 	ILL 	ILL 	1 	0
main	16 	sjoh8557 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	BEG 	BUG 	0 	1 	TOY 	TOY 	1 	0
main	17 	sjoh8557 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	PET 	PEE 	0 	1 	WEE 	WEE 	1 	0
main	18 	sjoh8557 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	False 	both 	(0, -1) 	0 	ROD 	FOR 	0 	1 	GUY 	GUY 	1 	0
main	19 	sjoh8557 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	True 	both 	(0, -1) 	1 	WAX 	WAX 	1 	0 	LEG 	LEG 	1 	0
main	20 	sjoh8557 	 T1 	 True 	 0.0 	2.0 	0.6 	False 	False 	False 	both 	(0, 1) 	0 	APE 	APE 	1 	-99 	-99 	-99 	-99 	0
main	21 	sjoh8557 	 T1 	 False 	 0.0 	2.0 	0.6 	False 	False 	False 	both 	(0, 1) 	0 	PIT 	PAE 	0 	1 	NUT 	NUT 	1 	0
main	22 	sjoh8557 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	True 	both 	(0, 1) 	1 	TIN 	RUM 	0 	0 	ROT 	ROT 	1 	0
main	23 	sjoh8557 	 T1 	 True 	 0.0 	2.0 	0.2 	False 	False 	False 	both 	(0, -1) 	0 	ZOO 	ZOO 	1 	-99 	-99 	-99 	-99 	0
main	24 	sjoh8557 	 T1 	 True 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	0 	KID 	SUM 	0 	-99 	-99 	-99 	-99 	0
main	25 	sjoh8557 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	AID 	GOD 	0 	1 	SUN 	SUM 	0 	0
main	26 	sjoh8557 	 T1 	 True 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	0 	USE 	LEG 	0 	-99 	-99 	-99 	-99 	0
main	27 	sjoh8557 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	BAG 	BIG 	0 	1 	GOT 	GOT 	1 	0
main	28 	sjoh8557 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	MOM 	WOM 	0 	1 	RAP 	RAP 	1 	0
main	29 	sjoh8557 	 T1 	 True 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	MAP 	MAP 	1 	-99 	-99 	-99 	-99 	0
main	30 	sjoh8557 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	WON 	WAM 	0 	1 	SIX 	SIX 	1 	0
main	31 	sjoh8557 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	POT 	POT 	1 	0 	PET 	PET 	1 	0
main	32 	sjoh8557 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	OWE 	OWE 	1 	0 	COP 	COP 	1 	0
main	33 	sjoh8557 	 T1 	 True 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	0 	ZIP 	ZIP 	1 	-99 	-99 	-99 	-99 	0
main	34 	sjoh8557 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, 1) 	1 	LAW 	LAW 	1 	0 	DAY 	DAY 	1 	0
main	35 	sjoh8557 	 T1 	 False 	 0.0 	1.0 	-0.5 	False 	False 	True 	both 	(0, 1) 	1 	MAY 	SAW 	0 	0 	SHY 	SIX 	0 	0
main	36 	sjoh8557 	 T1 	 True 	 0.0 	1.0 	-0.4 	False 	False 	False 	both 	(0, 1) 	0 	JAR 	JAX 	0 	-99 	-99 	-99 	-99 	0
main	37 	sjoh8557 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, -1) 	1 	OUT 	OPP 	0 	0 	WAR 	WAR 	1 	0
main	38 	sjoh8557 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	0 	MIX 	MAX 	0 	1 	GUN 	GUN 	1 	0
