experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	sliu7052 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	MET 	MET 	1 	1 	CAP 	CAP 	1 	0
main	1 	sliu7052 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	GAG 	GAG 	1 	-99 	-99 	-99 	-99 	0
main	2 	sliu7052 	 T1 	 True 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	DUE 	DUE 	1 	-99 	-99 	-99 	-99 	0
main	3 	sliu7052 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	ASS 	ASS 	1 	1 	RIP 	RIP 	1 	0
main	4 	sliu7052 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	HIP 	HIP 	1 	0 	BAD 	BAD 	1 	0
main	5 	sliu7052 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	ROT 	ZIP 	0 	-99 	-99 	-99 	-99 	0
main	6 	sliu7052 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	NOW 	NOW 	1 	1 	TAP 	TAP 	1 	0
main	7 	sliu7052 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	WHO 	LIE 	0 	-99 	-99 	-99 	-99 	0
main	8 	sliu7052 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	BUS 	BUS 	1 	0 	OWE 	OWE 	1 	0
main	9 	sliu7052 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	0 	FED 	RED 	0 	1 	FOX 	FOX 	1 	0
main	10 	sliu7052 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	HID 	HAD 	0 	0 	FIT 	FIT 	1 	0
main	11 	sliu7052 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	TEN 	TAN 	0 	0 	SAY 	SAY 	1 	0
main	12 	sliu7052 	 T1 	 True 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, -1) 	0 	NOR 	CAP 	0 	-99 	-99 	-99 	-99 	0
main	13 	sliu7052 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	BEG 	GUN 	0 	1 	GUY 	GUN 	0 	0
main	14 	sliu7052 	 T1 	 True 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	LIE 	LIE 	1 	-99 	-99 	-99 	-99 	0
main	15 	sliu7052 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, -1) 	0 	FRY 	TRY 	0 	1 	FOG 	FIG 	0 	0
main	16 	sliu7052 	 T1 	 True 	 0.0 	3.0 	0.6 	False 	False 	True 	both 	(0, 1) 	0 	KEY 	JOG 	0 	-99 	-99 	-99 	-99 	0
main	17 	sliu7052 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	EGG 	EGG 	1 	0 	JOY 	JOY 	1 	0
main	18 	sliu7052 	 T1 	 False 	 0.0 	4.0 	0.0 	False 	False 	False 	both 	(0, 1) 	0 	CUP 	GUY 	0 	1 	GUY 	GUY 	1 	0
main	19 	sliu7052 	 T1 	 True 	 0.0 	3.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	TOP 	TOP 	1 	-99 	-99 	-99 	-99 	0
main	20 	sliu7052 	 T1 	 False 	 0.0 	3.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	HIM 	HIM 	1 	1 	AYE 	AYE 	1 	0
main	21 	sliu7052 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	AYE 	AYE 	1 	0 	HIP 	HIP 	1 	0
