experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	sliu7190 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	E 	K 	0 	2 	H 	E 	0 	0 	K 	H 	0 	0
main	1 	sliu7190 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	C 	C 	1 	2 	U 	U 	1 	0 	U 	U 	1 	0
main	2 	sliu7190 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	H 	H 	1 	0 	H 	H 	1 	2 	K 	K 	1 	0
main	3 	sliu7190 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	A 	A 	1 	2 	F 	F 	1 	0 	E 	E 	1 	0
main	4 	sliu7190 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	K 	K 	1 	2 	Z 	Z 	1 	0 	C 	C 	1 	0
main	5 	sliu7190 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	A 	H 	0 	0 	K 	T 	0 	2 	H 	S 	0 	0
main	6 	sliu7190 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	A 	A 	1 	2 	F 	F 	1 	0 	S 	S 	1 	0
main	7 	sliu7190 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	G 	G 	1 	1 	J 	J 	1 	2 	G 	G 	1 	0
main	8 	sliu7190 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	G 	G 	1 	1 	S 	S 	1 	0 	E 	E 	1 	0
main	9 	sliu7190 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	A 	A 	1 	1 	G 	G 	1 	2 	M 	M 	1 	0
main	10 	sliu7190 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	F 	F 	1 	1 	F 	F 	1 	2 	S 	S 	1 	0
main	11 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, -1) 	0 	A 	A 	1 	2 	R 	M 	0 	1 	N 	F 	0 	0
main	12 	sliu7190 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	False 	both 	(0, 1) 	1 	Y 	Y 	1 	2 	E 	E 	1 	0 	A 	A 	1 	0
main	13 	sliu7190 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	True 	both 	(0, -1) 	1 	H 	H 	1 	0 	J 	J 	1 	2 	K 	K 	1 	0
main	14 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	1 	F 	F 	1 	0 	M 	M 	1 	2 	U 	U 	1 	0
main	15 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, -1) 	2 	J 	A 	0 	1 	A 	J 	0 	0 	H 	U 	0 	0
main	16 	sliu7190 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	False 	both 	(0, -1) 	1 	R 	R 	1 	0 	E 	E 	1 	2 	N 	N 	1 	0
main	17 	sliu7190 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, 1) 	2 	E 	E 	1 	0 	T 	T 	1 	1 	N 	N 	1 	0
main	18 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	0 	Y 	Y 	1 	2 	J 	J 	1 	1 	H 	N 	0 	0
main	19 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	1 	R 	R 	1 	0 	E 	E 	1 	2 	C 	C 	1 	0
main	20 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.5 	False 	False 	True 	both 	(0, -1) 	0 	M 	M 	1 	2 	A 	A 	1 	1 	K 	C 	0 	0
main	21 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.5 	False 	False 	False 	both 	(0, 1) 	2 	Z 	Z 	1 	0 	C 	U 	0 	1 	J 	C 	0 	0
main	22 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, 1) 	1 	K 	K 	1 	0 	E 	E 	1 	2 	J 	J 	1 	0
main	23 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, 1) 	1 	F 	F 	1 	2 	K 	K 	1 	0 	Y 	J 	0 	0
main	24 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	0 	H 	H 	1 	2 	T 	T 	1 	1 	S 	S 	1 	0
main	25 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, -1) 	0 	Y 	F 	0 	2 	G 	D 	0 	1 	R 	H 	0 	0
main	26 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, 1) 	2 	E 	E 	1 	0 	C 	C 	1 	1 	M 	M 	1 	0
main	27 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	2 	C 	C 	1 	0 	U 	U 	1 	1 	S 	S 	1 	0
main	28 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	1 	Z 	Z 	1 	2 	J 	J 	1 	0 	G 	G 	1 	0
main	29 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, -1) 	0 	C 	C 	1 	2 	Y 	Y 	1 	1 	H 	J 	0 	0
main	30 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.4 	False 	False 	True 	both 	(0, 1) 	2 	U 	C 	0 	0 	T 	F 	0 	1 	R 	M 	0 	0
main	31 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	0 	A 	A 	1 	1 	J 	F 	0 	2 	F 	J 	0 	0
main	32 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	2 	G 	G 	1 	0 	N 	N 	1 	1 	S 	S 	1 	0
main	33 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	1 	J 	S 	0 	2 	R 	F 	0 	0 	U 	N 	0 	0
main	34 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	1 	R 	R 	1 	0 	E 	E 	1 	2 	Y 	Y 	1 	0
main	35 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	1 	R 	R 	1 	2 	U 	U 	1 	0 	J 	J 	1 	0
main	36 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	False 	both 	(0, 1) 	2 	E 	E 	1 	1 	E 	E 	1 	0 	Y 	Y 	1 	0
main	37 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	False 	both 	(0, -1) 	2 	K 	K 	1 	1 	J 	Y 	0 	0 	R 	J 	0 	0
main	38 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	1 	H 	H 	1 	0 	J 	J 	1 	2 	C 	C 	1 	0
main	39 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	2 	H 	H 	1 	1 	F 	J 	0 	0 	R 	G 	0 	0
main	40 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, 1) 	1 	S 	S 	1 	0 	C 	C 	1 	2 	R 	J 	0 	0
main	41 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, -1) 	2 	M 	M 	1 	1 	A 	A 	1 	0 	H 	H 	1 	0
main	42 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	0 	R 	R 	1 	1 	H 	H 	1 	2 	A 	A 	1 	0
main	43 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, -1) 	1 	A 	A 	1 	2 	U 	U 	1 	0 	S 	S 	1 	0
main	44 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	False 	both 	(0, 1) 	2 	T 	R 	0 	1 	J 	H 	0 	0 	H 	H 	1 	0
main	45 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, -1) 	1 	R 	R 	1 	2 	R 	J 	0 	0 	H 	H 	1 	0
main	46 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	2 	A 	A 	1 	1 	A 	A 	1 	0 	F 	F 	1 	0
main	47 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	True 	both 	(0, 1) 	1 	H 	H 	1 	2 	F 	F 	1 	0 	N 	G 	0 	0
main	48 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	True 	both 	(0, 1) 	0 	Z 	Z 	1 	2 	T 	H 	0 	1 	H 	T 	0 	0
main	49 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, -1) 	0 	K 	G 	0 	1 	F 	F 	1 	2 	H 	G 	0 	0
main	50 	sliu7190 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, -1) 	0 	S 	S 	1 	2 	G 	G 	1 	1 	N 	H 	0 	0
