experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	spet8851 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	Z 	Z 	1 	1 	M 	M 	1 	2 	G 	G 	1 	0
main	1 	spet8851 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	J 	J 	1 	1 	K 	K 	1 	0 	K 	L 	0 	0
main	2 	spet8851 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	Y 	Y 	1 	2 	H 	H 	1 	1 	E 	E 	1 	0
main	3 	spet8851 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	T 	T 	1 	2 	G 	G 	1 	0 	N 	N 	1 	0
main	4 	spet8851 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	G 	G 	1 	1 	M 	M 	1 	0 	G 	G 	1 	0
main	5 	spet8851 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	G 	G 	1 	2 	Y 	H 	0 	0 	S 	S 	1 	0
main	6 	spet8851 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	T 	T 	1 	1 	S 	S 	1 	2 	Y 	Y 	1 	0
main	7 	spet8851 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	0 	Z 	T 	0 	2 	A 	Y 	0 	1 	S 	S 	1 	0
main	8 	spet8851 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	2 	M 	M 	1 	1 	T 	T 	1 	0 	C 	C 	1 	0
main	9 	spet8851 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	1 	G 	G 	1 	2 	G 	G 	1 	0 	U 	C 	0 	0
main	10 	spet8851 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	2 	Z 	K 	0 	0 	K 	R 	0 	1 	Z 	S 	0 	0
main	11 	spet8851 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	2 	A 	A 	1 	0 	H 	H 	1 	1 	A 	S 	0 	0
main	12 	spet8851 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	N 	N 	1 	2 	G 	G 	1 	1 	H 	S 	0 	0
