experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	ssal5738 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	K 	K 	1 	0 	F 	F 	1 	1 	H 	H 	1 	0
main	1 	ssal5738 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	H 	H 	1 	1 	Y 	Y 	1 	2 	F 	F 	1 	0
main	2 	ssal5738 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	T 	T 	1 	2 	H 	H 	1 	1 	K 	K 	1 	0
main	3 	ssal5738 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	R 	R 	1 	0 	T 	T 	1 	1 	A 	A 	1 	0
main	4 	ssal5738 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	G 	G 	1 	1 	G 	G 	1 	0 	Z 	Z 	1 	0
main	5 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	J 	U 	0 	0 	U 	U 	1 	1 	U 	U 	1 	0
main	6 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	H 	H 	1 	2 	E 	E 	1 	1 	H 	H 	1 	0
main	7 	ssal5738 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	2 	R 	R 	1 	0 	F 	F 	1 	1 	Z 	Z 	1 	0
main	8 	ssal5738 	 T1 	 False 	 0.0 	1.0 	-0.55 	False 	False 	False 	both 	(0, 1) 	2 	H 	H 	1 	0 	G 	F 	0 	1 	R 	Z 	0 	0
main	9 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, -1) 	2 	K 	K 	1 	0 	F 	F 	1 	1 	K 	H 	0 	0
main	10 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	1 	Z 	Z 	1 	0 	M 	M 	1 	2 	U 	U 	1 	0
main	11 	ssal5738 	 T1 	 False 	 0.0 	1.0 	-0.45 	False 	False 	True 	both 	(0, -1) 	2 	F 	C 	0 	1 	T 	Z 	0 	0 	S 	U 	0 	0
main	12 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	1 	C 	C 	1 	2 	U 	U 	1 	0 	N 	N 	1 	0
main	13 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	2 	J 	J 	1 	0 	K 	K 	1 	1 	Y 	Y 	1 	0
main	14 	ssal5738 	 T1 	 False 	 0.0 	1.0 	-0.35 	False 	False 	False 	both 	(0, 1) 	0 	K 	K 	1 	1 	A 	A 	1 	2 	N 	F 	0 	0
main	15 	ssal5738 	 T1 	 False 	 0.0 	1.0 	-0.35 	False 	False 	False 	both 	(0, -1) 	1 	A 	A 	1 	0 	Y 	F 	0 	2 	J 	K 	0 	0
main	16 	ssal5738 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, 1) 	0 	J 	J 	1 	1 	J 	K 	0 	2 	H 	U 	0 	0
main	17 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.25 	False 	False 	True 	both 	(0, -1) 	0 	Y 	Y 	1 	1 	Z 	Z 	1 	2 	S 	S 	1 	0
main	18 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.25 	False 	False 	True 	both 	(0, 1) 	0 	Z 	Z 	1 	2 	F 	J 	0 	1 	J 	K 	0 	0
main	19 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.55 	False 	False 	True 	both 	(0, -1) 	2 	N 	N 	1 	1 	T 	T 	1 	0 	Y 	Y 	1 	0
main	20 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.55 	False 	False 	True 	both 	(0, 1) 	1 	N 	N 	1 	2 	Y 	Y 	1 	0 	G 	G 	1 	0
main	21 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.25 	False 	False 	False 	both 	(0, -1) 	0 	N 	N 	1 	2 	U 	U 	1 	1 	U 	U 	1 	0
main	22 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.25 	False 	False 	True 	both 	(0, -1) 	2 	J 	J 	1 	1 	G 	G 	1 	0 	T 	Y 	0 	0
main	23 	ssal5738 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, 1) 	1 	Z 	Z 	1 	0 	J 	Y 	0 	2 	E 	J 	0 	0
main	24 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	0 	C 	Z 	0 	1 	M 	M 	1 	2 	C 	C 	1 	0
main	25 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, -1) 	1 	T 	C 	0 	2 	A 	M 	0 	0 	T 	F 	0 	0
main	26 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	True 	both 	(0, -1) 	2 	Z 	Z 	1 	1 	C 	C 	1 	0 	T 	F 	0 	0
main	27 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, 1) 	2 	A 	A 	1 	0 	T 	T 	1 	1 	U 	U 	1 	0
main	28 	ssal5738 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	1 	G 	G 	1 	0 	R 	R 	1 	2 	A 	U 	0 	0
