experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	ssin8609 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	Z 	Z 	1 	1 	Z 	Z 	1 	2 	F 	F 	1 	0
main	1 	ssin8609 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	H 	H 	1 	1 	T 	T 	1 	2 	K 	K 	1 	0
main	2 	ssin8609 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	A 	A 	1 	0 	U 	U 	1 	1 	C 	C 	1 	0
main	3 	ssin8609 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	U 	U 	1 	0 	Y 	Y 	1 	2 	G 	G 	1 	0
main	4 	ssin8609 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	R 	R 	1 	1 	T 	T 	1 	2 	N 	N 	1 	0
main	5 	ssin8609 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	R 	R 	1 	1 	K 	K 	1 	2 	C 	C 	1 	0
main	6 	ssin8609 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	2 	H 	H 	1 	1 	U 	U 	1 	0 	E 	E 	1 	0
main	7 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	1 	G 	G 	1 	2 	N 	H 	0 	0 	C 	E 	0 	0
main	8 	ssin8609 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	S 	S 	1 	1 	F 	F 	1 	2 	Y 	Y 	1 	0
main	9 	ssin8609 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	0 	J 	J 	1 	1 	E 	E 	1 	2 	H 	H 	1 	0
main	10 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	1 	F 	G 	0 	2 	F 	F 	1 	0 	J 	H 	0 	0
main	11 	ssin8609 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	0 	E 	E 	1 	2 	U 	U 	1 	1 	H 	H 	1 	0
main	12 	ssin8609 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	0 	N 	N 	1 	2 	K 	K 	1 	1 	T 	T 	1 	0
main	13 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, -1) 	0 	F 	F 	1 	2 	Y 	Y 	1 	1 	Z 	Z 	1 	0
main	14 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	1 	F 	F 	1 	2 	K 	H 	0 	0 	K 	Y 	0 	0
main	15 	ssin8609 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	False 	both 	(0, -1) 	2 	G 	G 	1 	0 	Z 	Z 	1 	1 	E 	E 	1 	0
main	16 	ssin8609 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	True 	both 	(0, -1) 	0 	N 	N 	1 	1 	T 	T 	1 	2 	U 	U 	1 	0
main	17 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	1 	H 	H 	1 	0 	E 	L 	0 	2 	R 	E 	0 	0
main	18 	ssin8609 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, 1) 	0 	U 	U 	1 	2 	S 	S 	1 	1 	H 	H 	1 	0
main	19 	ssin8609 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, 1) 	0 	U 	I 	0 	2 	K 	K 	1 	1 	A 	A 	1 	0
main	20 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, 1) 	1 	Y 	A 	0 	2 	K 	K 	1 	0 	M 	M 	1 	0
main	21 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, -1) 	1 	A 	A 	1 	0 	T 	T 	1 	2 	N 	N 	1 	0
main	22 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, 1) 	2 	J 	U 	0 	1 	F 	F 	1 	0 	N 	N 	1 	0
main	23 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, 1) 	1 	M 	N 	0 	0 	K 	K 	1 	2 	Z 	Z 	1 	0
main	24 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, -1) 	2 	U 	Z 	0 	1 	E 	Z 	0 	0 	E 	Z 	0 	0
main	25 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, 1) 	2 	R 	R 	1 	1 	M 	M 	1 	0 	S 	Z 	0 	0
main	26 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	2 	T 	T 	1 	1 	M 	M 	1 	0 	U 	S 	0 	0
main	27 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	0 	S 	S 	1 	2 	U 	U 	1 	1 	M 	Z 	0 	0
main	28 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	False 	both 	(0, 1) 	2 	Z 	Z 	1 	1 	G 	G 	1 	0 	A 	A 	1 	0
main	29 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.4 	False 	False 	True 	both 	(0, -1) 	1 	Y 	Z 	0 	0 	C 	C 	1 	2 	M 	U 	0 	0
main	30 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.35 	False 	False 	False 	both 	(0, 1) 	2 	A 	A 	1 	0 	H 	N 	0 	1 	S 	U 	0 	0
main	31 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	0 	J 	J 	1 	1 	U 	N 	0 	2 	H 	U 	0 	0
main	32 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	False 	both 	(0, -1) 	0 	K 	K 	1 	2 	Z 	Z 	1 	1 	J 	J 	1 	0
main	33 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	True 	both 	(0, 1) 	2 	H 	K 	0 	1 	S 	Z 	0 	0 	E 	E 	1 	0
main	34 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	1 	K 	K 	1 	0 	U 	Z 	0 	2 	E 	U 	0 	0
main	35 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	True 	both 	(0, -1) 	0 	A 	A 	1 	1 	C 	C 	1 	2 	T 	T 	1 	0
main	36 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	True 	both 	(0, 1) 	1 	E 	E 	1 	0 	Y 	E 	0 	2 	E 	E 	1 	0
main	37 	ssin8609 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	2 	S 	S 	1 	1 	U 	U 	1 	0 	R 	R 	1 	0
