experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	susu4902 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	GUY 	GUY 	1 	1 	TAN 	TAN 	1 	0
main	1 	susu4902 	 T1 	 True 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	EAT 	OWN 	0 	-99 	-99 	-99 	-99 	0
main	2 	susu4902 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	OWN 	OWN 	1 	1 	TWO 	TWO 	1 	0
main	3 	susu4902 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	DIP 	DIP 	1 	1 	ROB 	ROB 	1 	0
main	4 	susu4902 	 T1 	 True 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	LAD 	LAD 	1 	-99 	-99 	-99 	-99 	0
main	5 	susu4902 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	PIT 	OOO 	0 	1 	CUP 	CUP 	1 	0
main	6 	susu4902 	 T1 	 True 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	BAT 	BAT 	1 	-99 	-99 	-99 	-99 	0
main	7 	susu4902 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	1 	NET 	OOO 	0 	0 	DIG 	DIG 	1 	0
main	8 	susu4902 	 T1 	 False 	 0.0 	1.0 	-0.55 	False 	False 	True 	both 	(0, 1) 	1 	SAT 	OOO 	0 	0 	KEY 	OOO 	0 	0
main	9 	susu4902 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, -1) 	1 	WHO 	OOO 	0 	0 	WIN 	WIN 	1 	0
main	10 	susu4902 	 T1 	 True 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	0 	LAP 	TUB 	0 	-99 	-99 	-99 	-99 	0
main	11 	susu4902 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	True 	both 	(0, -1) 	1 	KIT 	OOO 	0 	0 	BOX 	BOX 	1 	0
main	12 	susu4902 	 T1 	 False 	 0.0 	2.0 	0.65 	False 	False 	True 	both 	(0, 1) 	1 	NUN 	OOO 	0 	0 	GAY 	GAY 	1 	0
main	13 	susu4902 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, -1) 	0 	ACT 	GAB 	0 	1 	YOU 	YOU 	1 	0
main	14 	susu4902 	 T1 	 False 	 0.0 	2.0 	0.15 	False 	False 	False 	both 	(0, -1) 	0 	NUN 	MID 	0 	1 	EGO 	EGO 	1 	0
main	15 	susu4902 	 T1 	 False 	 0.0 	1.0 	-0.35 	False 	False 	True 	both 	(0, -1) 	1 	ANY 	OOO 	0 	0 	ROB 	ROB 	1 	0
