experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	tbar7680 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	S 	S 	1 	2 	N 	N 	1 	1 	M 	M 	1 	0
main	1 	tbar7680 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, 1) 	2 	R 	R 	1 	1 	G 	G 	1 	0 	M 	M 	1 	0
main	2 	tbar7680 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	M 	M 	1 	0 	Y 	Y 	1 	2 	Z 	Z 	1 	0
main	3 	tbar7680 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	H 	H 	1 	2 	M 	M 	1 	0 	S 	S 	1 	0
main	4 	tbar7680 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	K 	K 	1 	0 	R 	R 	1 	2 	Z 	Z 	1 	0
main	5 	tbar7680 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	Z 	Z 	1 	0 	K 	M 	0 	1 	M 	M 	1 	0
main	6 	tbar7680 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	0 	M 	M 	1 	2 	F 	F 	1 	1 	A 	A 	1 	0
main	7 	tbar7680 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, 1) 	1 	K 	Z 	0 	0 	M 	A 	0 	2 	C 	M 	0 	0
main	8 	tbar7680 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	1 	U 	U 	1 	2 	G 	G 	1 	0 	M 	M 	1 	0
main	9 	tbar7680 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	1 	N 	N 	1 	0 	M 	Y 	0 	2 	M 	M 	1 	0
main	10 	tbar7680 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	False 	both 	(0, -1) 	2 	C 	C 	1 	1 	R 	Y 	0 	0 	G 	M 	0 	0
main	11 	tbar7680 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	1 	T 	T 	1 	0 	R 	R 	1 	2 	E 	Z 	0 	0
main	12 	tbar7680 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	2 	J 	J 	1 	1 	C 	C 	1 	0 	C 	D 	0 	0
main	13 	tbar7680 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, -1) 	1 	J 	U 	0 	0 	U 	J 	0 	2 	E 	C 	0 	0
main	14 	tbar7680 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	True 	both 	(0, -1) 	1 	C 	C 	1 	0 	G 	U 	0 	2 	C 	J 	0 	0
main	15 	tbar7680 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	N 	N 	1 	0 	U 	U 	1 	2 	F 	F 	1 	0
main	16 	tbar7680 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	E 	E 	1 	1 	K 	K 	1 	2 	M 	M 	1 	0
