experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	tdam2476 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	HID 	TOP 	0 	0 	HOP 	HIP 	0 	0
main	1 	tdam2476 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	JAR 	SEE 	0 	1 	SEE 	SEE 	1 	0
main	2 	tdam2476 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	BAT 	DOT 	0 	0 	AGE 	AGE 	1 	0
main	3 	tdam2476 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	YET 	YET 	1 	1 	ADD 	DOT 	0 	0
main	4 	tdam2476 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	FEW 	YET 	0 	0 	HAD 	HAD 	1 	0
main	5 	tdam2476 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	ZOO 	DOT 	0 	1 	DIP 	HIP 	0 	0
main	6 	tdam2476 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	TIE 	HIT 	0 	-99 	-99 	-99 	-99 	0
main	7 	tdam2476 	 T1 	 True 	 0.0 	4.0 	0.1 	False 	False 	True 	both 	(0, 1) 	0 	PIG 	EAT 	0 	-99 	-99 	-99 	-99 	0
main	8 	tdam2476 	 T1 	 True 	 0.0 	4.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	LIP 	HIP 	0 	-99 	-99 	-99 	-99 	0
main	9 	tdam2476 	 T1 	 False 	 0.0 	5.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	SIR 	DOT 	0 	1 	WAR 	WAR 	1 	0
main	10 	tdam2476 	 T1 	 False 	 0.0 	4.0 	0.7 	False 	False 	True 	both 	(0, 1) 	1 	TAN 	DOT 	0 	0 	NAP 	NAP 	1 	0
main	11 	tdam2476 	 T1 	 True 	 0.0 	4.0 	0.7 	False 	False 	True 	both 	(0, -1) 	0 	SPY 	RED 	0 	-99 	-99 	-99 	-99 	0
main	12 	tdam2476 	 T1 	 False 	 0.0 	5.0 	0.2 	False 	False 	True 	both 	(0, 1) 	1 	BYE 	EYE 	0 	0 	SUB 	SUB 	1 	0
main	13 	tdam2476 	 T1 	 False 	 0.0 	5.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	NET 	LEG 	0 	1 	LIP 	LIP 	1 	0
main	14 	tdam2476 	 T1 	 False 	 0.0 	4.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	JAR 	JAR 	1 	1 	TOO 	TOO 	1 	0
main	15 	tdam2476 	 T1 	 True 	 0.0 	4.0 	0.7 	False 	False 	True 	both 	(0, 1) 	0 	PIN 	PIK 	0 	-99 	-99 	-99 	-99 	0
main	16 	tdam2476 	 T1 	 True 	 0.0 	5.0 	0.1 	False 	False 	True 	both 	(0, -1) 	0 	KEY 	DOT 	0 	-99 	-99 	-99 	-99 	0
