experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	ting2644 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	U 	U 	1 	0 	E 	E 	1 	1 	S 	S 	1 	0
main	1 	ting2644 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	S 	S 	1 	0 	T 	T 	1 	1 	E 	E 	1 	0
main	2 	ting2644 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	F 	F 	1 	2 	H 	H 	1 	0 	U 	U 	1 	0
main	3 	ting2644 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	C 	C 	1 	0 	Z 	Z 	1 	1 	K 	K 	1 	0
main	4 	ting2644 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	E 	E 	1 	2 	F 	F 	1 	1 	N 	N 	1 	0
main	5 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	2 	H 	H 	1 	0 	F 	F 	1 	1 	Y 	Y 	1 	0
main	6 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	E 	E 	1 	2 	A 	S 	0 	1 	E 	A 	0 	0
main	7 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	R 	S 	0 	0 	U 	U 	1 	2 	G 	G 	1 	0
main	8 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	1 	G 	G 	1 	0 	H 	H 	1 	2 	E 	S 	0 	0
main	9 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	2 	N 	N 	1 	0 	S 	H 	0 	1 	H 	E 	0 	0
main	10 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	2 	H 	S 	0 	0 	F 	H 	0 	1 	J 	J 	1 	0
main	11 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	J 	H 	0 	2 	Z 	Z 	1 	0 	G 	J 	0 	0
main	12 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	U 	U 	1 	1 	S 	S 	1 	2 	T 	T 	1 	0
main	13 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	N 	N 	1 	1 	R 	R 	1 	2 	Z 	Z 	1 	0
main	14 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	1 	N 	N 	1 	2 	A 	A 	1 	0 	R 	R 	1 	0
main	15 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	Z 	Z 	1 	0 	H 	H 	1 	2 	F 	F 	1 	0
main	16 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	M 	M 	1 	0 	J 	J 	1 	2 	Y 	Y 	1 	0
main	17 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	H 	H 	1 	2 	N 	G 	0 	1 	G 	N 	0 	0
main	18 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	2 	M 	M 	1 	1 	R 	R 	1 	0 	M 	G 	0 	0
main	19 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	N 	R 	0 	0 	S 	S 	1 	2 	A 	G 	0 	0
main	20 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.7 	False 	False 	True 	both 	(0, -1) 	2 	S 	S 	1 	0 	T 	T 	1 	1 	G 	G 	1 	0
main	21 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	C 	C 	1 	1 	Z 	Z 	1 	2 	R 	R 	1 	0
main	22 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, -1) 	1 	K 	K 	1 	0 	T 	T 	1 	2 	Z 	Z 	1 	0
main	23 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, 1) 	0 	C 	C 	1 	1 	M 	M 	1 	2 	U 	U 	1 	0
main	24 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, -1) 	2 	S 	S 	1 	1 	U 	U 	1 	0 	S 	S 	1 	0
main	25 	ting2644 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, 1) 	2 	J 	J 	1 	0 	T 	T 	1 	1 	M 	M 	1 	0
main	26 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, -1) 	0 	G 	G 	1 	1 	M 	M 	1 	2 	M 	E 	0 	0
main	27 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, -1) 	1 	G 	G 	1 	0 	R 	R 	1 	2 	Z 	Z 	1 	0
main	28 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	0 	N 	N 	1 	1 	E 	E 	1 	2 	J 	J 	1 	0
main	29 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, 1) 	1 	M 	M 	1 	2 	A 	A 	1 	0 	S 	S 	1 	0
main	30 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	J 	J 	1 	1 	C 	C 	1 	2 	U 	U 	1 	0
main	31 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.2 	False 	False 	False 	both 	(0, -1) 	1 	T 	N 	0 	2 	Z 	Z 	1 	0 	K 	K 	1 	0
main	32 	ting2644 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	2 	H 	N 	0 	1 	H 	R 	0 	0 	T 	Z 	0 	0
main	33 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	0 	A 	A 	1 	2 	U 	F 	0 	1 	F 	U 	0 	0
main	34 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, 1) 	1 	M 	M 	1 	2 	T 	T 	1 	0 	R 	R 	1 	0
main	35 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, 1) 	0 	E 	E 	1 	1 	M 	M 	1 	2 	U 	U 	1 	0
main	36 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	C 	C 	1 	1 	H 	H 	1 	2 	C 	C 	1 	0
main	37 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	2 	N 	S 	0 	0 	H 	H 	1 	1 	N 	S 	0 	0
main	38 	ting2644 	 T1 	 False 	 0.0 	2.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	M 	M 	1 	2 	K 	K 	1 	0 	K 	S 	0 	0
