experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	tyan2194 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	N 	N 	1 	1 	T 	T 	1 	2 	N 	N 	1 	0
main	1 	tyan2194 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	H 	H 	1 	0 	Y 	Y 	1 	2 	E 	E 	1 	0
main	2 	tyan2194 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	K 	K 	1 	2 	Z 	Z 	1 	0 	K 	K 	1 	0
main	3 	tyan2194 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	G 	G 	1 	1 	J 	J 	1 	2 	K 	K 	1 	0
main	4 	tyan2194 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	A 	A 	1 	1 	G 	G 	1 	0 	Z 	Z 	1 	0
main	5 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	2 	G 	G 	1 	0 	A 	A 	1 	1 	K 	K 	1 	0
main	6 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	1 	E 	G 	0 	0 	R 	R 	1 	2 	E 	R 	0 	0
main	7 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	R 	R 	1 	1 	T 	T 	1 	2 	Y 	Y 	1 	0
main	8 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	R 	R 	1 	1 	M 	M 	1 	0 	Y 	Y 	1 	0
main	9 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	2 	J 	I 	0 	1 	G 	G 	1 	0 	Y 	J 	0 	0
main	10 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	J 	J 	1 	0 	E 	E 	1 	1 	N 	N 	1 	0
main	11 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	2 	N 	N 	1 	1 	E 	E 	1 	0 	J 	J 	1 	0
main	12 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, -1) 	1 	U 	J 	0 	2 	K 	K 	1 	0 	M 	E 	0 	0
main	13 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	2 	G 	G 	1 	0 	Y 	Y 	1 	1 	A 	E 	0 	0
main	14 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, -1) 	2 	Y 	Y 	1 	0 	T 	T 	1 	1 	N 	N 	1 	0
main	15 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	0 	Z 	Z 	1 	1 	Y 	Y 	1 	2 	E 	E 	1 	0
main	16 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	A 	Z 	0 	0 	A 	E 	0 	2 	H 	N 	0 	0
main	17 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.6 	False 	False 	True 	both 	(0, 1) 	0 	U 	U 	1 	2 	F 	F 	1 	1 	G 	G 	1 	0
main	18 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.6 	False 	False 	True 	both 	(0, -1) 	0 	E 	E 	1 	2 	Y 	Y 	1 	1 	E 	E 	1 	0
main	19 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, 1) 	2 	M 	M 	1 	0 	Y 	Y 	1 	1 	Z 	Z 	1 	0
main	20 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, 1) 	0 	Z 	Z 	1 	2 	M 	M 	1 	1 	T 	T 	1 	0
main	21 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	H 	A 	0 	0 	T 	T 	1 	2 	K 	K 	1 	0
main	22 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	1 	G 	G 	1 	2 	K 	K 	1 	0 	H 	T 	0 	0
main	23 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, -1) 	2 	H 	H 	1 	1 	Z 	H 	0 	0 	K 	K 	1 	0
main	24 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, 1) 	0 	R 	E 	0 	1 	T 	Z 	0 	2 	A 	T 	0 	0
main	25 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	F 	F 	1 	0 	C 	C 	1 	2 	E 	E 	1 	0
main	26 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, -1) 	2 	J 	J 	1 	0 	J 	A 	0 	1 	R 	R 	1 	0
main	27 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	True 	both 	(0, -1) 	0 	E 	M 	0 	1 	T 	S 	0 	2 	S 	S 	1 	0
main	28 	tyan2194 	 T1 	 False 	 0.0 	2.0 	0.35 	False 	False 	False 	both 	(0, 1) 	0 	R 	R 	1 	1 	M 	M 	1 	2 	H 	S 	0 	0
