experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	tyin4383 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	TUB 	IDK 	0 	0 	MAD 	IDK 	0 	0
main	1 	tyin4383 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	BET 	BET 	1 	0 	TIP 	TIP 	1 	0
main	2 	tyin4383 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	OFF 	OFF 	1 	1 	FAN 	FAN 	1 	0
main	3 	tyin4383 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	TEA 	TEA 	1 	1 	PRO 	PRO 	1 	0
main	4 	tyin4383 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	GAY 	GAY 	1 	1 	GET 	GET 	1 	0
main	5 	tyin4383 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	SUM 	OUT 	0 	-99 	-99 	-99 	-99 	0
main	6 	tyin4383 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	BUG 	BUG 	1 	-99 	-99 	-99 	-99 	0
main	7 	tyin4383 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	DOC 	FUR 	0 	-99 	-99 	-99 	-99 	0
main	8 	tyin4383 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	True 	both 	(0, -1) 	1 	TOO 	TOO 	1 	0 	ADD 	ADD 	1 	0
main	9 	tyin4383 	 T1 	 False 	 0.0 	3.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	SAT 	SAT 	1 	1 	SIT 	SIT 	1 	0
main	10 	tyin4383 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	LET 	LET 	1 	-99 	-99 	-99 	-99 	0
main	11 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	SIN 	SIN 	1 	0 	HIS 	HIS 	1 	0
main	12 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	False 	both 	(0, 1) 	0 	HIP 	SIP 	0 	1 	EAR 	HER 	0 	0
main	13 	tyin4383 	 T1 	 True 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, -1) 	0 	HUG 	END 	0 	-99 	-99 	-99 	-99 	0
main	14 	tyin4383 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, -1) 	0 	BID 	BID 	1 	1 	FAN 	FAN 	1 	0
main	15 	tyin4383 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, 1) 	1 	HOP 	HOP 	1 	0 	CRY 	CRY 	1 	0
main	16 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	ACE 	ACE 	1 	1 	BEG 	BEG 	1 	0
main	17 	tyin4383 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	0 	BAD 	POT 	0 	-99 	-99 	-99 	-99 	0
main	18 	tyin4383 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	False 	both 	(0, 1) 	0 	PIT 	PIT 	1 	1 	EGG 	EGG 	1 	0
main	19 	tyin4383 	 T1 	 False 	 0.0 	3.0 	0.2 	False 	False 	True 	both 	(0, 1) 	1 	GUM 	GUM 	1 	0 	ART 	ART 	1 	0
main	20 	tyin4383 	 T1 	 True 	 0.0 	3.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	WHY 	WHY 	1 	-99 	-99 	-99 	-99 	0
main	21 	tyin4383 	 T1 	 False 	 0.0 	3.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	BOX 	BOX 	1 	0 	RIP 	RIP 	1 	0
main	22 	tyin4383 	 T1 	 True 	 0.0 	2.0 	1.0 	False 	False 	False 	both 	(0, -1) 	0 	TIL 	TIL 	1 	-99 	-99 	-99 	-99 	0
main	23 	tyin4383 	 T1 	 False 	 0.0 	2.0 	1.0 	False 	False 	True 	both 	(0, -1) 	1 	ANY 	ANY 	1 	0 	FAR 	FAR 	1 	0
main	24 	tyin4383 	 T1 	 True 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	ICE 	ICE 	1 	-99 	-99 	-99 	-99 	0
main	25 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	HIS 	HIS 	1 	1 	SIN 	SIN 	1 	0
main	26 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, -1) 	1 	SON 	SOY 	0 	0 	BOY 	BOY 	1 	0
main	27 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	True 	both 	(0, 1) 	1 	SKY 	SKY 	1 	0 	RAY 	RAY 	1 	0
main	28 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, 1) 	1 	TRY 	TRY 	1 	0 	INN 	INN 	1 	0
main	29 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	NEW 	NEW 	1 	0 	BIG 	BIG 	1 	0
main	30 	tyin4383 	 T1 	 True 	 0.0 	2.0 	0.6 	False 	False 	True 	both 	(0, 1) 	0 	FUN 	HAT 	0 	-99 	-99 	-99 	-99 	0
main	31 	tyin4383 	 T1 	 True 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	PAD 	PAD 	1 	-99 	-99 	-99 	-99 	0
main	32 	tyin4383 	 T1 	 True 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, -1) 	0 	VAN 	JOY 	0 	-99 	-99 	-99 	-99 	0
main	33 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	SEA 	SEA 	1 	1 	WAX 	HAX 	0 	0
main	34 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	HER 	HER 	1 	1 	LIE 	LIE 	1 	0
main	35 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	TIE 	TIE 	1 	1 	GET 	GET 	1 	0
main	36 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.7 	False 	False 	True 	both 	(0, -1) 	1 	DOC 	DOC 	1 	0 	TOY 	TOY 	1 	0
main	37 	tyin4383 	 T1 	 True 	 0.0 	2.0 	0.6 	False 	False 	False 	both 	(0, 1) 	0 	HAD 	HAD 	1 	-99 	-99 	-99 	-99 	0
main	38 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.6 	False 	False 	False 	both 	(0, 1) 	0 	FAT 	FAT 	1 	1 	FEW 	FEW 	1 	0
main	39 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	SUN 	SUN 	1 	0 	BYE 	BYE 	1 	0
main	40 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	JOB 	JOB 	1 	1 	NOW 	NOW 	1 	0
main	41 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	PIT 	PIT 	1 	0 	GAS 	GAS 	1 	0
main	42 	tyin4383 	 T1 	 False 	 0.0 	2.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	LAP 	LAP 	1 	0 	GIN 	GIN 	1 	0
