experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	tzhu8009 	 T1 	 False 	 0.0 	39 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	G 	I 	0 	1 	E 	I 	0 	0
main	1 	tzhu8009 	 T1 	 False 	 0.0 	30 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	J 	B 	0 	0 	G 	B 	0 	0
main	2 	tzhu8009 	 T1 	 False 	 0.0 	24 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	G 	B 	0 	1 	Z 	Z 	1 	0
main	3 	tzhu8009 	 T1 	 False 	 0.0 	24 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	T 	T 	1 	0 	N 	U 	0 	0
main	4 	tzhu8009 	 T1 	 True 	 0.0 	18 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	M 	N 	0 	-99 	-99 	-99 	-99 	0
main	5 	tzhu8009 	 T1 	 True 	 0.0 	3.0 	0.9 	False 	False 	True 	both 	(0, -1) 	0 	G 	U 	0 	-99 	-99 	-99 	-99 	0
main	6 	tzhu8009 	 T1 	 False 	 0.0 	4.0 	0.5 	False 	False 	False 	both 	(0, 1) 	0 	N 	J 	0 	1 	Z 	I 	0 	0
main	7 	tzhu8009 	 T1 	 True 	 0.0 	5.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	U 	U 	1 	-99 	-99 	-99 	-99 	0
main	8 	tzhu8009 	 T1 	 False 	 0.0 	4.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	M 	H 	0 	1 	C 	H 	0 	0
main	9 	tzhu8009 	 T1 	 True 	 0.0 	5.0 	0.0 	False 	False 	True 	both 	(0, 1) 	0 	R 	B 	0 	-99 	-99 	-99 	-99 	0
main	10 	tzhu8009 	 T1 	 False 	 0.0 	5.0 	0.5 	False 	False 	True 	both 	(0, -1) 	1 	C 	I 	0 	0 	J 	I 	0 	0
main	11 	tzhu8009 	 T1 	 False 	 0.0 	6.0 	0.0 	False 	False 	True 	both 	(0, -1) 	1 	R 	R 	1 	0 	S 	T 	0 	0
main	12 	tzhu8009 	 T1 	 False 	 0.0 	6.0 	0.0 	False 	False 	False 	both 	(0, -1) 	0 	T 	T 	1 	1 	A 	B 	0 	0
main	13 	tzhu8009 	 T1 	 False 	 0.0 	5.0 	0.5 	False 	False 	True 	both 	(0, 1) 	1 	H 	K 	0 	0 	U 	H 	0 	0
main	14 	tzhu8009 	 T1 	 False 	 0.0 	5.0 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	R 	R 	1 	0 	A 	O 	0 	0
main	15 	tzhu8009 	 T1 	 False 	 0.0 	5.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	K 	R 	0 	1 	T 	K 	0 	0
main	16 	tzhu8009 	 T1 	 True 	 0.0 	6.0 	0.3 	False 	False 	True 	both 	(0, -1) 	0 	H 	B 	0 	-99 	-99 	-99 	-99 	0
main	17 	tzhu8009 	 T1 	 True 	 0.0 	6.0 	0.7 	False 	False 	True 	both 	(0, 1) 	0 	A 	T 	0 	-99 	-99 	-99 	-99 	0
main	18 	tzhu8009 	 T1 	 False 	 0.0 	7.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	U 	K 	0 	0 	U 	U 	1 	0
main	19 	tzhu8009 	 T1 	 True 	 0.0 	7.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	H 	H 	1 	-99 	-99 	-99 	-99 	0
main	20 	tzhu8009 	 T1 	 False 	 0.0 	6.0 	0.8 	False 	False 	False 	both 	(0, 1) 	0 	H 	H 	1 	1 	N 	U 	0 	0
main	21 	tzhu8009 	 T1 	 True 	 0.0 	6.0 	0.8 	False 	False 	False 	both 	(0, -1) 	0 	F 	T 	0 	-99 	-99 	-99 	-99 	0
main	22 	tzhu8009 	 T1 	 False 	 0.0 	7.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	S 	R 	0 	1 	R 	B 	0 	0
main	23 	tzhu8009 	 T1 	 False 	 0.0 	7.0 	0.4 	False 	False 	True 	both 	(0, 1) 	1 	H 	B 	0 	0 	S 	R 	0 	0
main	24 	tzhu8009 	 T1 	 False 	 0.0 	7.0 	0.7 	False 	False 	True 	both 	(0, 1) 	1 	K 	K 	1 	0 	S 	S 	1 	0
main	25 	tzhu8009 	 T1 	 True 	 0.0 	7.0 	0.7 	False 	False 	False 	both 	(0, -1) 	0 	F 	T 	0 	-99 	-99 	-99 	-99 	0
main	26 	tzhu8009 	 T1 	 False 	 0.0 	7.0 	1.0 	False 	False 	True 	both 	(0, -1) 	1 	Y 	Y 	1 	0 	M 	B 	0 	0
