experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	responseOrder2	answer2	response2	correct2	timingBlips
main	0 	vbon2746 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, 1) 	2 	N 	N 	1 	0 	R 	R 	1 	1 	U 	N 	0 	0
main	1 	vbon2746 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	2 	Y 	Y 	1 	1 	R 	Y 	0 	0 	F 	F 	1 	0
main	2 	vbon2746 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	J 	J 	1 	0 	K 	K 	1 	2 	J 	J 	1 	0
main	3 	vbon2746 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	False 	both 	(0, -1) 	1 	T 	T 	1 	0 	A 	A 	1 	2 	C 	C 	1 	0
main	4 	vbon2746 	 T1 	 False 	 0.0 	12 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	G 	G 	1 	0 	T 	T 	1 	2 	A 	A 	1 	0
main	5 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	F 	F 	1 	2 	K 	K 	1 	0 	A 	A 	1 	0
main	6 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.3 	False 	False 	False 	both 	(0, 1) 	0 	R 	R 	1 	1 	U 	U 	1 	2 	K 	K 	1 	0
main	7 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.3 	False 	False 	True 	both 	(0, -1) 	1 	F 	F 	1 	2 	H 	H 	1 	0 	J 	A 	0 	0
main	8 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.55 	False 	False 	False 	both 	(0, -1) 	2 	Y 	R 	0 	0 	A 	R 	0 	1 	E 	R 	0 	0
main	9 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	1 	N 	N 	1 	0 	Y 	Y 	1 	2 	Y 	A 	0 	0
main	10 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	2 	E 	E 	1 	1 	Y 	Y 	1 	0 	Z 	Z 	1 	0
main	11 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.45 	False 	False 	False 	both 	(0, 1) 	1 	S 	S 	1 	0 	K 	A 	0 	2 	M 	K 	0 	0
main	12 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, 1) 	0 	H 	H 	1 	1 	Y 	Y 	1 	2 	T 	T 	1 	0
main	13 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, -1) 	0 	N 	N 	1 	2 	E 	E 	1 	1 	M 	M 	1 	0
main	14 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.35 	False 	False 	True 	both 	(0, -1) 	2 	G 	K 	0 	0 	N 	H 	0 	1 	N 	E 	0 	0
main	15 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, -1) 	1 	M 	M 	1 	0 	Z 	R 	0 	2 	F 	F 	1 	0
main	16 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, 1) 	1 	Y 	Y 	1 	2 	Z 	Z 	1 	0 	N 	E 	0 	0
main	17 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.35 	False 	False 	False 	both 	(0, 1) 	1 	A 	A 	1 	2 	M 	M 	1 	0 	A 	A 	1 	0
main	18 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.35 	False 	False 	True 	both 	(0, 1) 	2 	M 	M 	1 	1 	S 	S 	1 	0 	T 	T 	1 	0
main	19 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.55 	False 	False 	False 	both 	(0, -1) 	2 	U 	Y 	0 	1 	A 	J 	0 	0 	H 	H 	1 	0
main	20 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.45 	False 	False 	False 	both 	(0, 1) 	2 	S 	S 	1 	1 	M 	Z 	0 	0 	U 	E 	0 	0
main	21 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.35 	False 	False 	True 	both 	(0, -1) 	0 	J 	Y 	0 	2 	T 	R 	0 	1 	F 	F 	1 	0
main	22 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	False 	both 	(0, -1) 	1 	C 	C 	1 	2 	Z 	Z 	1 	0 	M 	E 	0 	0
main	23 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	False 	both 	(0, 1) 	0 	Z 	S 	0 	1 	H 	H 	1 	2 	Z 	Y 	0 	0
main	24 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	False 	both 	(0, 1) 	1 	C 	C 	1 	0 	J 	I 	0 	2 	Y 	S 	0 	0
main	25 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, -1) 	1 	F 	F 	1 	2 	M 	M 	1 	0 	U 	S 	0 	0
main	26 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, 1) 	0 	U 	U 	1 	2 	T 	T 	1 	1 	F 	S 	0 	0
main	27 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	True 	both 	(0, -1) 	0 	H 	H 	1 	1 	F 	T 	0 	2 	T 	S 	0 	0
main	28 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, 1) 	0 	A 	A 	1 	1 	Y 	T 	0 	2 	C 	C 	1 	0
main	29 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, -1) 	1 	K 	K 	1 	0 	S 	S 	1 	2 	C 	L 	0 	0
main	30 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	True 	both 	(0, 1) 	2 	J 	J 	1 	1 	G 	G 	1 	0 	R 	R 	1 	0
main	31 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	True 	both 	(0, 1) 	0 	M 	M 	1 	1 	G 	G 	1 	2 	Z 	Z 	1 	0
main	32 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.25 	False 	False 	True 	both 	(0, 1) 	1 	T 	K 	0 	0 	F 	J 	0 	2 	T 	L 	0 	0
main	33 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.2 	False 	False 	True 	both 	(0, -1) 	0 	R 	C 	0 	1 	T 	I 	0 	2 	Z 	G 	0 	0
main	34 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	False 	both 	(0, -1) 	1 	J 	J 	1 	2 	K 	R 	0 	0 	R 	Z 	0 	0
main	35 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	0 	G 	G 	1 	1 	F 	I 	0 	2 	Z 	Z 	1 	0
main	36 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	True 	both 	(0, -1) 	1 	C 	C 	1 	2 	T 	J 	0 	0 	R 	K 	0 	0
main	37 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, 1) 	1 	A 	A 	1 	2 	U 	U 	1 	0 	N 	Z 	0 	0
main	38 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, 1) 	2 	H 	H 	1 	0 	C 	U 	0 	1 	K 	L 	0 	0
main	39 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, -1) 	1 	R 	R 	1 	0 	A 	A 	1 	2 	H 	T 	0 	0
main	40 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	2 	M 	M 	1 	0 	E 	E 	1 	1 	G 	G 	1 	0
main	41 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, -1) 	2 	E 	E 	1 	1 	Y 	Y 	1 	0 	M 	E 	0 	0
main	42 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, -1) 	1 	F 	T 	0 	2 	G 	T 	0 	0 	J 	G 	0 	0
main	43 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	False 	both 	(0, -1) 	2 	S 	S 	1 	1 	N 	N 	1 	0 	N 	S 	0 	0
main	44 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	1 	U 	U 	1 	2 	J 	U 	0 	0 	Z 	S 	0 	0
main	45 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	False 	both 	(0, 1) 	1 	U 	U 	1 	0 	M 	M 	1 	2 	A 	S 	0 	0
main	46 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.05 	False 	False 	True 	both 	(0, -1) 	2 	M 	M 	1 	1 	A 	A 	1 	0 	K 	K 	1 	0
main	47 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	0 	U 	U 	1 	1 	M 	M 	1 	2 	T 	T 	1 	0
main	48 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, 1) 	2 	T 	T 	1 	1 	F 	F 	1 	0 	N 	M 	0 	0
main	49 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	False 	both 	(0, -1) 	2 	H 	H 	1 	0 	J 	J 	1 	1 	H 	M 	0 	0
main	50 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, 1) 	1 	J 	J 	1 	2 	S 	S 	1 	0 	S 	S 	1 	0
main	51 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, 1) 	0 	C 	C 	1 	2 	H 	H 	1 	1 	E 	E 	1 	0
main	52 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, -1) 	1 	G 	G 	1 	0 	M 	M 	1 	2 	C 	C 	1 	0
main	53 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.15 	False 	False 	True 	both 	(0, -1) 	2 	N 	J 	0 	1 	Z 	J 	0 	0 	J 	Z 	0 	0
main	54 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, -1) 	2 	Y 	Y 	1 	0 	S 	S 	1 	1 	H 	M 	0 	0
main	55 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.1 	False 	False 	False 	both 	(0, 1) 	0 	G 	G 	1 	1 	K 	H 	0 	2 	Y 	S 	0 	0
main	56 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, -1) 	2 	U 	U 	1 	0 	A 	A 	1 	1 	M 	S 	0 	0
main	57 	vbon2746 	 T1 	 False 	 0.0 	1.0 	-0.05 	False 	False 	True 	both 	(0, 1) 	2 	R 	R 	1 	0 	S 	Z 	0 	1 	N 	S 	0 	0
main	58 	vbon2746 	 T1 	 False 	 0.0 	2.0 	0.0 	False 	False 	True 	both 	(0, -1) 	2 	S 	S 	1 	0 	A 	A 	1 	1 	Y 	Y 	1 	0
