experimentPhase	trialnum	subject	task	oneTarget	noisePercent	ISIframes	ltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	answer0	response0	correct0	responseOrder1	answer1	response1	correct1	timingBlips
main	0 	xixu3619 	 T1 	 False 	 0.0 	26 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	DUG 	HHH 	0 	0 	SHE 	ELI 	0 	0
main	1 	xixu3619 	 T1 	 False 	 0.0 	20 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	DUE 	SKR 	0 	0 	BAT 	HHH 	0 	0
main	2 	xixu3619 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, -1) 	1 	BUY 	KID 	0 	0 	KID 	KID 	1 	0
main	3 	xixu3619 	 T1 	 False 	 0.0 	16 	0.9 	False 	False 	True 	both 	(0, 1) 	1 	NOT 	CAT 	0 	0 	BAT 	HOT 	0 	0
main	4 	xixu3619 	 T1 	 True 	 0.0 	12 	0.9 	False 	False 	False 	both 	(0, 1) 	0 	POD 	POD 	1 	-99 	-99 	-99 	-99 	0
main	5 	xixu3619 	 T1 	 False 	 0.0 	2.0 	0.9 	False 	False 	False 	both 	(0, -1) 	0 	MAP 	GOD 	0 	1 	FOG 	POD 	0 	0
main	6 	xixu3619 	 T1 	 True 	 0.0 	3.0 	0.5 	False 	False 	False 	both 	(0, -1) 	0 	OLD 	FFF 	0 	-99 	-99 	-99 	-99 	0
main	7 	xixu3619 	 T1 	 True 	 0.0 	4.0 	0.1 	False 	False 	True 	both 	(0, -1) 	0 	WAY 	GYM 	0 	-99 	-99 	-99 	-99 	0
main	8 	xixu3619 	 T1 	 False 	 0.0 	4.0 	0.7 	False 	False 	False 	both 	(0, 1) 	0 	LIP 	GOG 	0 	1 	FOG 	FOG 	1 	0
main	9 	xixu3619 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	False 	both 	(0, -1) 	0 	ODD 	SKR 	0 	1 	FEW 	SKR 	0 	0
main	10 	xixu3619 	 T1 	 True 	 0.0 	4.0 	0.6 	False 	False 	True 	both 	(0, 1) 	0 	BOX 	PAD 	0 	-99 	-99 	-99 	-99 	0
main	11 	xixu3619 	 T1 	 False 	 0.0 	5.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	FIT 	CRY 	0 	1 	CRY 	CRY 	1 	0
main	12 	xixu3619 	 T1 	 False 	 0.0 	5.0 	0.1 	False 	False 	True 	both 	(0, -1) 	1 	BEG 	LOG 	0 	0 	LOG 	LOG 	1 	0
main	13 	xixu3619 	 T1 	 False 	 0.0 	4.0 	0.6 	False 	False 	True 	both 	(0, 1) 	1 	WAS 	HAS 	0 	0 	WAS 	WAS 	1 	0
main	14 	xixu3619 	 T1 	 False 	 0.0 	4.0 	0.6 	False 	False 	False 	both 	(0, 1) 	0 	MAN 	ROW 	0 	1 	ROW 	ROW 	1 	0
main	15 	xixu3619 	 T1 	 False 	 0.0 	4.0 	0.1 	False 	False 	False 	both 	(0, 1) 	0 	GUT 	SON 	0 	1 	SON 	GOD 	0 	0
